project,table,variable
BiB_PrimarySchoolYears,ef_task_corsi_bib,BiBPersonID
BiB_PrimarySchoolYears,ef_task_corsi_bib,PSYChildID
BiB_PrimarySchoolYears,ef_task_corsi_bib,PSYSchoolID
BiB_PrimarySchoolYears,ef_task_corsi_bib,PSYClassID
BiB_PrimarySchoolYears,ef_task_corsi_bib,TestYearGroup
BiB_PrimarySchoolYears,ef_task_corsi_bib,TestAcadTerm
BiB_PrimarySchoolYears,ef_task_corsi_bib,TestYear
BiB_PrimarySchoolYears,ef_task_corsi_bib,TestMonth
BiB_PrimarySchoolYears,ef_task_corsi_bib,PSYTestDay
BiB_PrimarySchoolYears,ef_task_corsi_bib,AgeYears
BiB_PrimarySchoolYears,ef_task_corsi_bib,AgeMonths
BiB_PrimarySchoolYears,ef_task_corsi_bib,PSYTabletID
BiB_PrimarySchoolYears,ef_task_corsi_bib,EFSessionID
BiB_PrimarySchoolYears,ef_task_corsi_bib,corsi_summary
BiB_PrimarySchoolYears,ef_task_corsi_bib,corsi_rowcount
