project,table,variable
BiB_PrimarySchoolYears,ef_task_corsi,PSYChildID
BiB_PrimarySchoolYears,ef_task_corsi,PSYSchoolID
BiB_PrimarySchoolYears,ef_task_corsi,PSYClassID
BiB_PrimarySchoolYears,ef_task_corsi,TestYearGroup
BiB_PrimarySchoolYears,ef_task_corsi,TestAcadTerm
BiB_PrimarySchoolYears,ef_task_corsi,TestYear
BiB_PrimarySchoolYears,ef_task_corsi,TestMonth
BiB_PrimarySchoolYears,ef_task_corsi,PSYTestDay
BiB_PrimarySchoolYears,ef_task_corsi,AgeYears
BiB_PrimarySchoolYears,ef_task_corsi,AgeMonths
BiB_PrimarySchoolYears,ef_task_corsi,PSYTabletID
BiB_PrimarySchoolYears,ef_task_corsi,EFSessionID
BiB_PrimarySchoolYears,ef_task_corsi,corsi_summary
BiB_PrimarySchoolYears,ef_task_corsi,corsi_rowcount
