variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_PrimarySchoolYears.ef_task_fdr.PSYChildID,BiB_PrimarySchoolYears.ef_task_fdr,BiB_PrimarySchoolYears,ef_task_fdr,PSYChildID,,text,,,15519,15519
BiB_PrimarySchoolYears.ef_task_fdr.PSYSchoolID,BiB_PrimarySchoolYears.ef_task_fdr,BiB_PrimarySchoolYears,ef_task_fdr,PSYSchoolID,Primary School Years: School pseudonym,integer,,administration,15519,15519
BiB_PrimarySchoolYears.ef_task_fdr.PSYClassID,BiB_PrimarySchoolYears.ef_task_fdr,BiB_PrimarySchoolYears,ef_task_fdr,PSYClassID,Primary School Years: Class pseudonym,integer,,administration,15519,15519
BiB_PrimarySchoolYears.ef_task_fdr.TestYearGroup,BiB_PrimarySchoolYears.ef_task_fdr,BiB_PrimarySchoolYears,ef_task_fdr,TestYearGroup,Year group of FDR completion,integer,,administration,15519,15519
BiB_PrimarySchoolYears.ef_task_fdr.TestAcadTerm,BiB_PrimarySchoolYears.ef_task_fdr,BiB_PrimarySchoolYears,ef_task_fdr,TestAcadTerm,Academic term of FDR completion,categorical,[1 Autumn] [2 Spring] [3 Summer],administration,15519,15519
BiB_PrimarySchoolYears.ef_task_fdr.TestYear,BiB_PrimarySchoolYears.ef_task_fdr,BiB_PrimarySchoolYears,ef_task_fdr,TestYear,Calendar year of FDR completion,integer,,administration,15519,15519
BiB_PrimarySchoolYears.ef_task_fdr.TestMonth,BiB_PrimarySchoolYears.ef_task_fdr,BiB_PrimarySchoolYears,ef_task_fdr,TestMonth,Calendar month of FDR completion,integer,,administration,15519,15519
BiB_PrimarySchoolYears.ef_task_fdr.PSYTestDay,BiB_PrimarySchoolYears.ef_task_fdr,BiB_PrimarySchoolYears,ef_task_fdr,PSYTestDay,Days elapsed since study start + 50000,integer,,administration,15519,15519
BiB_PrimarySchoolYears.ef_task_fdr.AgeYears,BiB_PrimarySchoolYears.ef_task_fdr,BiB_PrimarySchoolYears,ef_task_fdr,AgeYears,Child age in years at FDR completion,integer,,age,15519,15519
BiB_PrimarySchoolYears.ef_task_fdr.AgeMonths,BiB_PrimarySchoolYears.ef_task_fdr,BiB_PrimarySchoolYears,ef_task_fdr,AgeMonths,Child age in months at FDR completion,integer,,age,15519,15519
BiB_PrimarySchoolYears.ef_task_fdr.PSYTabletID,BiB_PrimarySchoolYears.ef_task_fdr,BiB_PrimarySchoolYears,ef_task_fdr,PSYTabletID,Tablet computer used for testing,integer,,administration,15519,15519
BiB_PrimarySchoolYears.ef_task_fdr.EFSessionID,BiB_PrimarySchoolYears.ef_task_fdr,BiB_PrimarySchoolYears,ef_task_fdr,EFSessionID,Testing software session ID,integer,,administration,15519,15519
BiB_PrimarySchoolYears.ef_task_fdr.fdr_summary,BiB_PrimarySchoolYears.ef_task_fdr,BiB_PrimarySchoolYears,ef_task_fdr,fdr_summary,Summary test score for FDR,float,,cognitive_skills,15476,15476
BiB_PrimarySchoolYears.ef_task_fdr.fdr_rowcount,BiB_PrimarySchoolYears.ef_task_fdr,BiB_PrimarySchoolYears,ef_task_fdr,fdr_rowcount,Number of rows in FDR trials raw data file for the session,integer,,cognitive_skills,15519,15519
