project,table,variable
BiB_PrimarySchoolYears,ef_task_fdr,PSYChildID
BiB_PrimarySchoolYears,ef_task_fdr,PSYSchoolID
BiB_PrimarySchoolYears,ef_task_fdr,PSYClassID
BiB_PrimarySchoolYears,ef_task_fdr,TestYearGroup
BiB_PrimarySchoolYears,ef_task_fdr,TestAcadTerm
BiB_PrimarySchoolYears,ef_task_fdr,TestYear
BiB_PrimarySchoolYears,ef_task_fdr,TestMonth
BiB_PrimarySchoolYears,ef_task_fdr,PSYTestDay
BiB_PrimarySchoolYears,ef_task_fdr,AgeYears
BiB_PrimarySchoolYears,ef_task_fdr,AgeMonths
BiB_PrimarySchoolYears,ef_task_fdr,PSYTabletID
BiB_PrimarySchoolYears,ef_task_fdr,EFSessionID
BiB_PrimarySchoolYears,ef_task_fdr,fdr_summary
BiB_PrimarySchoolYears,ef_task_fdr,fdr_rowcount
