project,table,variable
BiB_PrimarySchoolYears,ef_task_inhibition_bib,BiBPersonID
BiB_PrimarySchoolYears,ef_task_inhibition_bib,PSYChildID
BiB_PrimarySchoolYears,ef_task_inhibition_bib,PSYSchoolID
BiB_PrimarySchoolYears,ef_task_inhibition_bib,PSYClassID
BiB_PrimarySchoolYears,ef_task_inhibition_bib,TestYearGroup
BiB_PrimarySchoolYears,ef_task_inhibition_bib,TestAcadTerm
BiB_PrimarySchoolYears,ef_task_inhibition_bib,TestYear
BiB_PrimarySchoolYears,ef_task_inhibition_bib,TestMonth
BiB_PrimarySchoolYears,ef_task_inhibition_bib,PSYTestDay
BiB_PrimarySchoolYears,ef_task_inhibition_bib,AgeYears
BiB_PrimarySchoolYears,ef_task_inhibition_bib,AgeMonths
BiB_PrimarySchoolYears,ef_task_inhibition_bib,PSYTabletID
BiB_PrimarySchoolYears,ef_task_inhibition_bib,EFSessionID
BiB_PrimarySchoolYears,ef_task_inhibition_bib,inhibition_summary
BiB_PrimarySchoolYears,ef_task_inhibition_bib,inhibition_rowcount
BiB_PrimarySchoolYears,ef_task_inhibition_bib,inhib_corr
BiB_PrimarySchoolYears,ef_task_inhibition_bib,inhib_corr_c
BiB_PrimarySchoolYears,ef_task_inhibition_bib,inhib_corr_inc
BiB_PrimarySchoolYears,ef_task_inhibition_bib,inhib_incorr
BiB_PrimarySchoolYears,ef_task_inhibition_bib,inhib_incorr_c
BiB_PrimarySchoolYears,ef_task_inhibition_bib,inhib_incorr_inc
BiB_PrimarySchoolYears,ef_task_inhibition_bib,inhib_mean_rt
BiB_PrimarySchoolYears,ef_task_inhibition_bib,inhib_mean_rt_c
BiB_PrimarySchoolYears,ef_task_inhibition_bib,inhib_mean_rt_inc
