variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_PrimarySchoolYears.ef_task_inhibition.PSYChildID,BiB_PrimarySchoolYears.ef_task_inhibition,BiB_PrimarySchoolYears,ef_task_inhibition,PSYChildID,,text,,,14538,14538
BiB_PrimarySchoolYears.ef_task_inhibition.PSYSchoolID,BiB_PrimarySchoolYears.ef_task_inhibition,BiB_PrimarySchoolYears,ef_task_inhibition,PSYSchoolID,Primary School Years: School pseudonym,integer,,administration,14538,14538
BiB_PrimarySchoolYears.ef_task_inhibition.PSYClassID,BiB_PrimarySchoolYears.ef_task_inhibition,BiB_PrimarySchoolYears,ef_task_inhibition,PSYClassID,Primary School Years: Class pseudonym,integer,,administration,14538,14538
BiB_PrimarySchoolYears.ef_task_inhibition.TestYearGroup,BiB_PrimarySchoolYears.ef_task_inhibition,BiB_PrimarySchoolYears,ef_task_inhibition,TestYearGroup,Year group of Inhibition completion,integer,,administration,14538,14538
BiB_PrimarySchoolYears.ef_task_inhibition.TestAcadTerm,BiB_PrimarySchoolYears.ef_task_inhibition,BiB_PrimarySchoolYears,ef_task_inhibition,TestAcadTerm,Academic term of Inhibition completion,categorical,[1 Autumn] [2 Spring] [3 Summer],administration,14538,14538
BiB_PrimarySchoolYears.ef_task_inhibition.TestYear,BiB_PrimarySchoolYears.ef_task_inhibition,BiB_PrimarySchoolYears,ef_task_inhibition,TestYear,Calendar year of Inhibition completion,integer,,administration,14538,14538
BiB_PrimarySchoolYears.ef_task_inhibition.TestMonth,BiB_PrimarySchoolYears.ef_task_inhibition,BiB_PrimarySchoolYears,ef_task_inhibition,TestMonth,Calendar month of Inhibition completion,integer,,administration,14538,14538
BiB_PrimarySchoolYears.ef_task_inhibition.PSYTestDay,BiB_PrimarySchoolYears.ef_task_inhibition,BiB_PrimarySchoolYears,ef_task_inhibition,PSYTestDay,Days elapsed since study start + 50000,integer,,administration,14538,14538
BiB_PrimarySchoolYears.ef_task_inhibition.AgeYears,BiB_PrimarySchoolYears.ef_task_inhibition,BiB_PrimarySchoolYears,ef_task_inhibition,AgeYears,Child age in years at Inhibition completion,integer,,age,14538,14538
BiB_PrimarySchoolYears.ef_task_inhibition.AgeMonths,BiB_PrimarySchoolYears.ef_task_inhibition,BiB_PrimarySchoolYears,ef_task_inhibition,AgeMonths,Child age in months at Inhibition completion,integer,,age,14538,14538
BiB_PrimarySchoolYears.ef_task_inhibition.PSYTabletID,BiB_PrimarySchoolYears.ef_task_inhibition,BiB_PrimarySchoolYears,ef_task_inhibition,PSYTabletID,Tablet computer used for testing,integer,,administration,14538,14538
BiB_PrimarySchoolYears.ef_task_inhibition.EFSessionID,BiB_PrimarySchoolYears.ef_task_inhibition,BiB_PrimarySchoolYears,ef_task_inhibition,EFSessionID,Testing software session ID,integer,,administration,14538,14538
BiB_PrimarySchoolYears.ef_task_inhibition.inhibition_summary,BiB_PrimarySchoolYears.ef_task_inhibition,BiB_PrimarySchoolYears,ef_task_inhibition,inhibition_summary,Summary test score for Inhibition,float,,cognitive_skills,14535,14535
BiB_PrimarySchoolYears.ef_task_inhibition.inhibition_rowcount,BiB_PrimarySchoolYears.ef_task_inhibition,BiB_PrimarySchoolYears,ef_task_inhibition,inhibition_rowcount,Number of rows in Inhibition trials raw data file for the session,integer,,cognitive_skills,14538,14538
BiB_PrimarySchoolYears.ef_task_inhibition.inhib_corr,BiB_PrimarySchoolYears.ef_task_inhibition,BiB_PrimarySchoolYears,ef_task_inhibition,inhib_corr,Total number of trials correct on Inhibition task,integer,,cognitive_skills,14538,14538
BiB_PrimarySchoolYears.ef_task_inhibition.inhib_corr_c,BiB_PrimarySchoolYears.ef_task_inhibition,BiB_PrimarySchoolYears,ef_task_inhibition,inhib_corr_c,Number correct on congruent Inhibition trials,integer,,cognitive_skills,14538,14538
BiB_PrimarySchoolYears.ef_task_inhibition.inhib_corr_inc,BiB_PrimarySchoolYears.ef_task_inhibition,BiB_PrimarySchoolYears,ef_task_inhibition,inhib_corr_inc,Number correct on incongruent Inhibition trials,integer,,cognitive_skills,14538,14538
BiB_PrimarySchoolYears.ef_task_inhibition.inhib_incorr,BiB_PrimarySchoolYears.ef_task_inhibition,BiB_PrimarySchoolYears,ef_task_inhibition,inhib_incorr,Total number of trials incorrect on Inhibition task,integer,,cognitive_skills,14538,14538
BiB_PrimarySchoolYears.ef_task_inhibition.inhib_incorr_c,BiB_PrimarySchoolYears.ef_task_inhibition,BiB_PrimarySchoolYears,ef_task_inhibition,inhib_incorr_c,Number incorrect on congruent Inhibition trials,integer,,cognitive_skills,14538,14538
BiB_PrimarySchoolYears.ef_task_inhibition.inhib_incorr_inc,BiB_PrimarySchoolYears.ef_task_inhibition,BiB_PrimarySchoolYears,ef_task_inhibition,inhib_incorr_inc,Number incorrect on incongruent Inhibition trials,integer,,cognitive_skills,14538,14538
BiB_PrimarySchoolYears.ef_task_inhibition.inhib_mean_rt,BiB_PrimarySchoolYears.ef_task_inhibition,BiB_PrimarySchoolYears,ef_task_inhibition,inhib_mean_rt,Mean reaction time on all correct Inhibition trials,float,,cognitive_skills,14526,14526
BiB_PrimarySchoolYears.ef_task_inhibition.inhib_mean_rt_c,BiB_PrimarySchoolYears.ef_task_inhibition,BiB_PrimarySchoolYears,ef_task_inhibition,inhib_mean_rt_c,Mean reaction time on congruent correct Inhibition trials,float,,cognitive_skills,14505,14505
BiB_PrimarySchoolYears.ef_task_inhibition.inhib_mean_rt_inc,BiB_PrimarySchoolYears.ef_task_inhibition,BiB_PrimarySchoolYears,ef_task_inhibition,inhib_mean_rt_inc,Mean reaction time on incongruent correct Inhibition trials,float,,cognitive_skills,14459,14459
