project,table,variable
BiB_PrimarySchoolYears,ef_task_inhibition,PSYChildID
BiB_PrimarySchoolYears,ef_task_inhibition,PSYSchoolID
BiB_PrimarySchoolYears,ef_task_inhibition,PSYClassID
BiB_PrimarySchoolYears,ef_task_inhibition,TestYearGroup
BiB_PrimarySchoolYears,ef_task_inhibition,TestAcadTerm
BiB_PrimarySchoolYears,ef_task_inhibition,TestYear
BiB_PrimarySchoolYears,ef_task_inhibition,TestMonth
BiB_PrimarySchoolYears,ef_task_inhibition,PSYTestDay
BiB_PrimarySchoolYears,ef_task_inhibition,AgeYears
BiB_PrimarySchoolYears,ef_task_inhibition,AgeMonths
BiB_PrimarySchoolYears,ef_task_inhibition,PSYTabletID
BiB_PrimarySchoolYears,ef_task_inhibition,EFSessionID
BiB_PrimarySchoolYears,ef_task_inhibition,inhibition_summary
BiB_PrimarySchoolYears,ef_task_inhibition,inhibition_rowcount
BiB_PrimarySchoolYears,ef_task_inhibition,inhib_corr
BiB_PrimarySchoolYears,ef_task_inhibition,inhib_corr_c
BiB_PrimarySchoolYears,ef_task_inhibition,inhib_corr_inc
BiB_PrimarySchoolYears,ef_task_inhibition,inhib_incorr
BiB_PrimarySchoolYears,ef_task_inhibition,inhib_incorr_c
BiB_PrimarySchoolYears,ef_task_inhibition,inhib_incorr_inc
BiB_PrimarySchoolYears,ef_task_inhibition,inhib_mean_rt
BiB_PrimarySchoolYears,ef_task_inhibition,inhib_mean_rt_c
BiB_PrimarySchoolYears,ef_task_inhibition,inhib_mean_rt_inc
