project,table,variable
BiB_PrimarySchoolYears,ef_task_ps_bib,BiBPersonID
BiB_PrimarySchoolYears,ef_task_ps_bib,PSYChildID
BiB_PrimarySchoolYears,ef_task_ps_bib,PSYSchoolID
BiB_PrimarySchoolYears,ef_task_ps_bib,PSYClassID
BiB_PrimarySchoolYears,ef_task_ps_bib,TestYearGroup
BiB_PrimarySchoolYears,ef_task_ps_bib,TestAcadTerm
BiB_PrimarySchoolYears,ef_task_ps_bib,TestYear
BiB_PrimarySchoolYears,ef_task_ps_bib,TestMonth
BiB_PrimarySchoolYears,ef_task_ps_bib,PSYTestDay
BiB_PrimarySchoolYears,ef_task_ps_bib,AgeYears
BiB_PrimarySchoolYears,ef_task_ps_bib,AgeMonths
BiB_PrimarySchoolYears,ef_task_ps_bib,PSYTabletID
BiB_PrimarySchoolYears,ef_task_ps_bib,EFSessionID
BiB_PrimarySchoolYears,ef_task_ps_bib,ps_summary
BiB_PrimarySchoolYears,ef_task_ps_bib,ps_rowcount
BiB_PrimarySchoolYears,ef_task_ps_bib,ps_corr
BiB_PrimarySchoolYears,ef_task_ps_bib,ps_incorr
BiB_PrimarySchoolYears,ef_task_ps_bib,ps_mean_rt
BiB_PrimarySchoolYears,ef_task_ps_bib,ps_mean_rt_corr
BiB_PrimarySchoolYears,ef_task_ps_bib,ps_mean_rt_incorr
