project,table,variable
BiB_PrimarySchoolYears,ef_task_ps,PSYChildID
BiB_PrimarySchoolYears,ef_task_ps,PSYSchoolID
BiB_PrimarySchoolYears,ef_task_ps,PSYClassID
BiB_PrimarySchoolYears,ef_task_ps,TestYearGroup
BiB_PrimarySchoolYears,ef_task_ps,TestAcadTerm
BiB_PrimarySchoolYears,ef_task_ps,TestYear
BiB_PrimarySchoolYears,ef_task_ps,TestMonth
BiB_PrimarySchoolYears,ef_task_ps,PSYTestDay
BiB_PrimarySchoolYears,ef_task_ps,AgeYears
BiB_PrimarySchoolYears,ef_task_ps,AgeMonths
BiB_PrimarySchoolYears,ef_task_ps,PSYTabletID
BiB_PrimarySchoolYears,ef_task_ps,EFSessionID
BiB_PrimarySchoolYears,ef_task_ps,ps_summary
BiB_PrimarySchoolYears,ef_task_ps,ps_rowcount
BiB_PrimarySchoolYears,ef_task_ps,ps_corr
BiB_PrimarySchoolYears,ef_task_ps,ps_incorr
BiB_PrimarySchoolYears,ef_task_ps,ps_mean_rt
BiB_PrimarySchoolYears,ef_task_ps,ps_mean_rt_corr
BiB_PrimarySchoolYears,ef_task_ps,ps_mean_rt_incorr
