variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_PrimarySchoolYears.sdq_data_bib.BiBPersonID,BiB_PrimarySchoolYears.sdq_data_bib,BiB_PrimarySchoolYears,sdq_data_bib,BiBPersonID,,text,,administration,7040,7006
BiB_PrimarySchoolYears.sdq_data_bib.PSYChildID,BiB_PrimarySchoolYears.sdq_data_bib,BiB_PrimarySchoolYears,sdq_data_bib,PSYChildID,,text,,,7040,7006
BiB_PrimarySchoolYears.sdq_data_bib.PSYSchoolID,BiB_PrimarySchoolYears.sdq_data_bib,BiB_PrimarySchoolYears,sdq_data_bib,PSYSchoolID,Primary School Years: School pseudonym,integer,,administration,1107,1073
BiB_PrimarySchoolYears.sdq_data_bib.PSYClassID,BiB_PrimarySchoolYears.sdq_data_bib,BiB_PrimarySchoolYears,sdq_data_bib,PSYClassID,Primary School Years: Class pseudonym,integer,,administration,1107,1073
BiB_PrimarySchoolYears.sdq_data_bib.TestYearGroup,BiB_PrimarySchoolYears.sdq_data_bib,BiB_PrimarySchoolYears,sdq_data_bib,TestYearGroup,Year group of SDQ completion,integer,,administration,1107,1073
BiB_PrimarySchoolYears.sdq_data_bib.TestAcadTerm,BiB_PrimarySchoolYears.sdq_data_bib,BiB_PrimarySchoolYears,sdq_data_bib,TestAcadTerm,Academic term of SDQ completion,categorical,[1 Autumn] [2 Spring] [3 Summer],administration,1107,1073
BiB_PrimarySchoolYears.sdq_data_bib.TestYear,BiB_PrimarySchoolYears.sdq_data_bib,BiB_PrimarySchoolYears,sdq_data_bib,TestYear,Calendar year of SDQ completion,integer,,administration,1107,1073
BiB_PrimarySchoolYears.sdq_data_bib.TestMonth,BiB_PrimarySchoolYears.sdq_data_bib,BiB_PrimarySchoolYears,sdq_data_bib,TestMonth,Calendar month of SDQ completion,integer,,administration,1107,1073
BiB_PrimarySchoolYears.sdq_data_bib.PSYTestDay,BiB_PrimarySchoolYears.sdq_data_bib,BiB_PrimarySchoolYears,sdq_data_bib,PSYTestDay,Days elapsed since study start + 50000,integer,,administration,1107,1073
BiB_PrimarySchoolYears.sdq_data_bib.AgeYears,BiB_PrimarySchoolYears.sdq_data_bib,BiB_PrimarySchoolYears,sdq_data_bib,AgeYears,Child age in years at SDQ completion,integer,,age,1107,1073
BiB_PrimarySchoolYears.sdq_data_bib.AgeMonths,BiB_PrimarySchoolYears.sdq_data_bib,BiB_PrimarySchoolYears,sdq_data_bib,AgeMonths,Child age in months at SDQ completion,integer,,age,1107,1073
BiB_PrimarySchoolYears.sdq_data_bib.n_sdq,BiB_PrimarySchoolYears.sdq_data_bib,BiB_PrimarySchoolYears,sdq_data_bib,n_sdq,Number of SDQ records for child at this wave,integer,,administration,1107,1073
BiB_PrimarySchoolYears.sdq_data_bib.order_sdq,BiB_PrimarySchoolYears.sdq_data_bib,BiB_PrimarySchoolYears,sdq_data_bib,order_sdq,Date order of SDQ records for child at this wave,integer,,administration,1107,1073
BiB_PrimarySchoolYears.sdq_data_bib.dc_mode,BiB_PrimarySchoolYears.sdq_data_bib,BiB_PrimarySchoolYears,sdq_data_bib,dc_mode,Data capture mode: on screen or paper,categorical,[1 On paper (pilot)] [2 On screen] [3 On paper],administration,1107,1073
BiB_PrimarySchoolYears.sdq_data_bib.respondent_id,BiB_PrimarySchoolYears.sdq_data_bib,BiB_PrimarySchoolYears,sdq_data_bib,respondent_id,SDQ respondent identifier,integer,,administration,986,986
BiB_PrimarySchoolYears.sdq_data_bib.resp_role,BiB_PrimarySchoolYears.sdq_data_bib,BiB_PrimarySchoolYears,sdq_data_bib,resp_role,SDQ respondent professional role,categorical,[1 Class Teacher] [2 Head of Year] [3 Other] [4 Teaching Assistant],administration,986,986
BiB_PrimarySchoolYears.sdq_data_bib.resp_gender,BiB_PrimarySchoolYears.sdq_data_bib,BiB_PrimarySchoolYears,sdq_data_bib,resp_gender,SDQ respondent gender,categorical,[1 Female] [2 Male],administration,986,986
BiB_PrimarySchoolYears.sdq_data_bib.resp_age,BiB_PrimarySchoolYears.sdq_data_bib,BiB_PrimarySchoolYears,sdq_data_bib,resp_age,SDQ respondent age,integer,,administration,986,986
BiB_PrimarySchoolYears.sdq_data_bib.resp_qualy,BiB_PrimarySchoolYears.sdq_data_bib,BiB_PrimarySchoolYears,sdq_data_bib,resp_qualy,SDQ respondent years since qualified,integer,,administration,986,986
BiB_PrimarySchoolYears.sdq_data_bib.resp_eth,BiB_PrimarySchoolYears.sdq_data_bib,BiB_PrimarySchoolYears,sdq_data_bib,resp_eth,SDQ respondent ethnicity,categorical,[1 Black] [2 Indian] [3 Mixed White and Black] [4 Other] [5 Pakistani] [6 White British] [7 White Other],administration,986,986
BiB_PrimarySchoolYears.sdq_data_bib.psysdqASDQ1_01,BiB_PrimarySchoolYears.sdq_data_bib,BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_01,Considerate of other people's feelings,categorical,[0 Not true] [1 Somewhat true] [2 Certainly true],personality_temperament,1107,1073
BiB_PrimarySchoolYears.sdq_data_bib.psysdqASDQ1_02,BiB_PrimarySchoolYears.sdq_data_bib,BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_02,"Restless, overactive, cannot stay still for long",categorical,[0 Not true] [1 Somewhat true] [2 Certainly true],personality_temperament,1107,1073
