project,table,variable
BiB_PrimarySchoolYears,sdq_data_bib,BiBPersonID
BiB_PrimarySchoolYears,sdq_data_bib,PSYChildID
BiB_PrimarySchoolYears,sdq_data_bib,PSYSchoolID
BiB_PrimarySchoolYears,sdq_data_bib,PSYClassID
BiB_PrimarySchoolYears,sdq_data_bib,TestYearGroup
BiB_PrimarySchoolYears,sdq_data_bib,TestAcadTerm
BiB_PrimarySchoolYears,sdq_data_bib,TestYear
BiB_PrimarySchoolYears,sdq_data_bib,TestMonth
BiB_PrimarySchoolYears,sdq_data_bib,PSYTestDay
BiB_PrimarySchoolYears,sdq_data_bib,AgeYears
BiB_PrimarySchoolYears,sdq_data_bib,AgeMonths
BiB_PrimarySchoolYears,sdq_data_bib,n_sdq
BiB_PrimarySchoolYears,sdq_data_bib,order_sdq
BiB_PrimarySchoolYears,sdq_data_bib,dc_mode
BiB_PrimarySchoolYears,sdq_data_bib,respondent_id
BiB_PrimarySchoolYears,sdq_data_bib,resp_role
BiB_PrimarySchoolYears,sdq_data_bib,resp_gender
BiB_PrimarySchoolYears,sdq_data_bib,resp_age
BiB_PrimarySchoolYears,sdq_data_bib,resp_qualy
BiB_PrimarySchoolYears,sdq_data_bib,resp_eth
BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_01
BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_02
BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_03
BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_04
BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_05
BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_06
BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_07
BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_08
BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_09
BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_10
BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_11
BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_12
BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_13
BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_14
BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_15
BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_16
BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_17
BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_18
BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_19
BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_20
BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_21
BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_22
BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_23
BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_24
BiB_PrimarySchoolYears,sdq_data_bib,psysdqASDQ1_25
BiB_PrimarySchoolYears,sdq_data_bib,psysdqBOverallDiffic
BiB_PrimarySchoolYears,sdq_data_bib,psysdqBDifficultLng
BiB_PrimarySchoolYears,sdq_data_bib,psysdqBDfficultDistr
BiB_PrimarySchoolYears,sdq_data_bib,psysdqBDfficultInter_1
BiB_PrimarySchoolYears,sdq_data_bib,psysdqBDfficultInter_2
BiB_PrimarySchoolYears,sdq_data_bib,psysdqBDfficltBurden
BiB_PrimarySchoolYears,sdq_data_bib,psysdqsc_empr
BiB_PrimarySchoolYears,sdq_data_bib,psysdqsc_cond
BiB_PrimarySchoolYears,sdq_data_bib,psysdqsc_hypr
BiB_PrimarySchoolYears,sdq_data_bib,psysdqsc_peer
BiB_PrimarySchoolYears,sdq_data_bib,psysdqsc_pros
BiB_PrimarySchoolYears,sdq_data_bib,psysdqsc_ext
BiB_PrimarySchoolYears,sdq_data_bib,psysdqsc_int
BiB_PrimarySchoolYears,sdq_data_bib,psysdqsc_total
BiB_PrimarySchoolYears,sdq_data_bib,psysdqsc_impact
