project,table,variable
BiB_PrimarySchoolYears,sdq_data,PSYChildID
BiB_PrimarySchoolYears,sdq_data,PSYSchoolID
BiB_PrimarySchoolYears,sdq_data,PSYClassID
BiB_PrimarySchoolYears,sdq_data,TestYearGroup
BiB_PrimarySchoolYears,sdq_data,TestAcadTerm
BiB_PrimarySchoolYears,sdq_data,TestYear
BiB_PrimarySchoolYears,sdq_data,TestMonth
BiB_PrimarySchoolYears,sdq_data,PSYTestDay
BiB_PrimarySchoolYears,sdq_data,AgeYears
BiB_PrimarySchoolYears,sdq_data,AgeMonths
BiB_PrimarySchoolYears,sdq_data,n_sdq
BiB_PrimarySchoolYears,sdq_data,order_sdq
BiB_PrimarySchoolYears,sdq_data,dc_mode
BiB_PrimarySchoolYears,sdq_data,respondent_id
BiB_PrimarySchoolYears,sdq_data,resp_role
BiB_PrimarySchoolYears,sdq_data,resp_gender
BiB_PrimarySchoolYears,sdq_data,resp_age
BiB_PrimarySchoolYears,sdq_data,resp_qualy
BiB_PrimarySchoolYears,sdq_data,resp_eth
BiB_PrimarySchoolYears,sdq_data,psysdqASDQ1_01
BiB_PrimarySchoolYears,sdq_data,psysdqASDQ1_02
BiB_PrimarySchoolYears,sdq_data,psysdqASDQ1_03
BiB_PrimarySchoolYears,sdq_data,psysdqASDQ1_04
BiB_PrimarySchoolYears,sdq_data,psysdqASDQ1_05
BiB_PrimarySchoolYears,sdq_data,psysdqASDQ1_06
BiB_PrimarySchoolYears,sdq_data,psysdqASDQ1_07
BiB_PrimarySchoolYears,sdq_data,psysdqASDQ1_08
BiB_PrimarySchoolYears,sdq_data,psysdqASDQ1_09
BiB_PrimarySchoolYears,sdq_data,psysdqASDQ1_10
BiB_PrimarySchoolYears,sdq_data,psysdqASDQ1_11
BiB_PrimarySchoolYears,sdq_data,psysdqASDQ1_12
BiB_PrimarySchoolYears,sdq_data,psysdqASDQ1_13
BiB_PrimarySchoolYears,sdq_data,psysdqASDQ1_14
BiB_PrimarySchoolYears,sdq_data,psysdqASDQ1_15
BiB_PrimarySchoolYears,sdq_data,psysdqASDQ1_16
BiB_PrimarySchoolYears,sdq_data,psysdqASDQ1_17
BiB_PrimarySchoolYears,sdq_data,psysdqASDQ1_18
BiB_PrimarySchoolYears,sdq_data,psysdqASDQ1_19
BiB_PrimarySchoolYears,sdq_data,psysdqASDQ1_20
BiB_PrimarySchoolYears,sdq_data,psysdqASDQ1_21
BiB_PrimarySchoolYears,sdq_data,psysdqASDQ1_22
BiB_PrimarySchoolYears,sdq_data,psysdqASDQ1_23
BiB_PrimarySchoolYears,sdq_data,psysdqASDQ1_24
BiB_PrimarySchoolYears,sdq_data,psysdqASDQ1_25
BiB_PrimarySchoolYears,sdq_data,psysdqBOverallDiffic
BiB_PrimarySchoolYears,sdq_data,psysdqBDifficultLng
BiB_PrimarySchoolYears,sdq_data,psysdqBDfficultDistr
BiB_PrimarySchoolYears,sdq_data,psysdqBDfficultInter_1
BiB_PrimarySchoolYears,sdq_data,psysdqBDfficultInter_2
BiB_PrimarySchoolYears,sdq_data,psysdqBDfficltBurden
BiB_PrimarySchoolYears,sdq_data,psysdqsc_empr
BiB_PrimarySchoolYears,sdq_data,psysdqsc_cond
BiB_PrimarySchoolYears,sdq_data,psysdqsc_hypr
BiB_PrimarySchoolYears,sdq_data,psysdqsc_peer
BiB_PrimarySchoolYears,sdq_data,psysdqsc_pros
BiB_PrimarySchoolYears,sdq_data,psysdqsc_ext
BiB_PrimarySchoolYears,sdq_data,psysdqsc_int
BiB_PrimarySchoolYears,sdq_data,psysdqsc_total
BiB_PrimarySchoolYears,sdq_data,psysdqsc_impact
