project,table,variable
BiB_Proteomics,CM_Project2,BiBPersonID
BiB_Proteomics,CM_Project2,PregnancyID
BiB_Proteomics,CM_Project2,Ethnicity
BiB_Proteomics,CM_Project2,GDM
BiB_Proteomics,CM_Project2,has_GWAS
BiB_Proteomics,CM_Project2,Gest_Hypertension
BiB_Proteomics,CM_Project2,Pre_Eclampsia
BiB_Proteomics,CM_Project2,Congenital_Anomalies_Reg
BiB_Proteomics,CM_Project2,Stillbirth
BiB_Proteomics,CM_Project2,Gest_LastCompWk
BiB_Proteomics,CM_Project2,Preterm_Birth
BiB_Proteomics,CM_Project2,Presence_One_Outcome
BiB_Proteomics,CM_Project2,has_outcomes
BiB_Proteomics,CM_Project2,OlinkID
BiB_Proteomics,CM_Project2,UniProt
BiB_Proteomics,CM_Project2,Assay
BiB_Proteomics,CM_Project2,MissingFreq
BiB_Proteomics,CM_Project2,Panel
BiB_Proteomics,CM_Project2,Panel_Lot_Nr
BiB_Proteomics,CM_Project2,PlateID
BiB_Proteomics,CM_Project2,QC_Warning
BiB_Proteomics,CM_Project2,LOD
BiB_Proteomics,CM_Project2,NPX
BiB_Proteomics,CM_Project2,Normalization
BiB_Proteomics,CM_Project2,Assay_Warning
