project,table,variable
BiB_Proteomics,HT_PlateControl_Controls,SampleID
BiB_Proteomics,HT_PlateControl_Controls,SampleType
BiB_Proteomics,HT_PlateControl_Controls,OlinkID
BiB_Proteomics,HT_PlateControl_Controls,UniProt
BiB_Proteomics,HT_PlateControl_Controls,Assay
BiB_Proteomics,HT_PlateControl_Controls,Protein
BiB_Proteomics,HT_PlateControl_Controls,Count
BiB_Proteomics,HT_PlateControl_Controls,NPX
BiB_Proteomics,HT_PlateControl_Controls,PCNormalizedNPX
BiB_Proteomics,HT_PlateControl_Controls,AssayQC
BiB_Proteomics,HT_PlateControl_Controls,SampleQC
BiB_Proteomics,HT_PlateControl_Controls,Batch
