project,table,variable
BiB_SDQs,BiB1000_sdq,BiBPersonID
BiB_SDQs,BiB1000_sdq,AgeMonths
BiB_SDQs,BiB1000_sdq,AgeYears
BiB_SDQs,BiB1000_sdq,sdq_consid
BiB_SDQs,BiB1000_sdq,sdq_restles
BiB_SDQs,BiB1000_sdq,sdq_somatic
BiB_SDQs,BiB1000_sdq,sdq_shares
BiB_SDQs,BiB1000_sdq,sdq_tantrum
BiB_SDQs,BiB1000_sdq,sdq_loner
BiB_SDQs,BiB1000_sdq,sdq_obeys
BiB_SDQs,BiB1000_sdq,sdq_worries
BiB_SDQs,BiB1000_sdq,sdq_caring
BiB_SDQs,BiB1000_sdq,sdq_fidgety
BiB_SDQs,BiB1000_sdq,sdq_friend
BiB_SDQs,BiB1000_sdq,sdq_fights
BiB_SDQs,BiB1000_sdq,sdq_unhappy
BiB_SDQs,BiB1000_sdq,sdq_popular
BiB_SDQs,BiB1000_sdq,sdq_distrac
BiB_SDQs,BiB1000_sdq,sdq_clingy
BiB_SDQs,BiB1000_sdq,sdq_kind
BiB_SDQs,BiB1000_sdq,sdq_argue
BiB_SDQs,BiB1000_sdq,sdq_bullied
BiB_SDQs,BiB1000_sdq,sdq_helpout
BiB_SDQs,BiB1000_sdq,sdq_reflect
BiB_SDQs,BiB1000_sdq,sdq_spiteful
BiB_SDQs,BiB1000_sdq,sdq_oldbest
BiB_SDQs,BiB1000_sdq,sdq_afraid
BiB_SDQs,BiB1000_sdq,sdq_attention
BiB_SDQs,BiB1000_sdq,diffemotions
BiB_SDQs,BiB1000_sdq,difflength
BiB_SDQs,BiB1000_sdq,sdq_distress
BiB_SDQs,BiB1000_sdq,sdq_homelife
BiB_SDQs,BiB1000_sdq,sdq_friendships
BiB_SDQs,BiB1000_sdq,sdq_learning
BiB_SDQs,BiB1000_sdq,sdq_leisure
BiB_SDQs,BiB1000_sdq,diffburden
BiB_SDQs,BiB1000_sdq,Total_Difficulties_Score
BiB_SDQs,BiB1000_sdq,Emotional_Score
BiB_SDQs,BiB1000_sdq,Conduct_Score
BiB_SDQs,BiB1000_sdq,Hyperactivity_Score
BiB_SDQs,BiB1000_sdq,Peer_Problems_Score
BiB_SDQs,BiB1000_sdq,Prosocial_Score
BiB_SDQs,BiB1000_sdq,Impact_Score
BiB_SDQs,BiB1000_sdq,Total_FourCat
BiB_SDQs,BiB1000_sdq,Emotional_FourCat
BiB_SDQs,BiB1000_sdq,Conduct_FourCat
BiB_SDQs,BiB1000_sdq,Hyperactivity_FourCat
BiB_SDQs,BiB1000_sdq,PeerProblem_FourCat
BiB_SDQs,BiB1000_sdq,Prosocial_FourCat
BiB_SDQs,BiB1000_sdq,Impact_FourCat
BiB_SDQs,BiB1000_sdq,QuestSource
BiB_SDQs,BiB1000_sdq,CompletedBy
BiB_SDQs,BiB1000_sdq,Emotional_Pro
BiB_SDQs,BiB1000_sdq,Conduct_Pro
BiB_SDQs,BiB1000_sdq,Hyperactivity_Pro
BiB_SDQs,BiB1000_sdq,PeerProblems_Pro
BiB_SDQs,BiB1000_sdq,Prosocial_Pro
