project,table,variable
BiB_SDQs,COVID_phase3_sdq,BiBPersonID
BiB_SDQs,COVID_phase3_sdq,date_est
BiB_SDQs,COVID_phase3_sdq,AgeMonths
BiB_SDQs,COVID_phase3_sdq,AgeYears
BiB_SDQs,COVID_phase3_sdq,sdq_gender
BiB_SDQs,COVID_phase3_sdq,sdq_consid
BiB_SDQs,COVID_phase3_sdq,sdq_restles
BiB_SDQs,COVID_phase3_sdq,sdq_somatic
BiB_SDQs,COVID_phase3_sdq,sdq_shares
BiB_SDQs,COVID_phase3_sdq,sdq_tantrum
BiB_SDQs,COVID_phase3_sdq,sdq_loner
BiB_SDQs,COVID_phase3_sdq,sdq_obeys
BiB_SDQs,COVID_phase3_sdq,sdq_worries
BiB_SDQs,COVID_phase3_sdq,sdq_caring
BiB_SDQs,COVID_phase3_sdq,sdq_fidgety
BiB_SDQs,COVID_phase3_sdq,sdq_friend
BiB_SDQs,COVID_phase3_sdq,sdq_fights
BiB_SDQs,COVID_phase3_sdq,sdq_unhappy
BiB_SDQs,COVID_phase3_sdq,sdq_popular
BiB_SDQs,COVID_phase3_sdq,sdq_distrac
BiB_SDQs,COVID_phase3_sdq,sdq_clingy
BiB_SDQs,COVID_phase3_sdq,sdq_kind
BiB_SDQs,COVID_phase3_sdq,sdq_lies
BiB_SDQs,COVID_phase3_sdq,sdq_bullied
BiB_SDQs,COVID_phase3_sdq,sdq_helpout
BiB_SDQs,COVID_phase3_sdq,sdq_reflect
BiB_SDQs,COVID_phase3_sdq,sdq_steals
BiB_SDQs,COVID_phase3_sdq,sdq_oldbest
BiB_SDQs,COVID_phase3_sdq,sdq_afraid
BiB_SDQs,COVID_phase3_sdq,sdq_attention
BiB_SDQs,COVID_phase3_sdq,diffemotions
BiB_SDQs,COVID_phase3_sdq,difflength
BiB_SDQs,COVID_phase3_sdq,sdq_distress
BiB_SDQs,COVID_phase3_sdq,sdq_homelife
BiB_SDQs,COVID_phase3_sdq,sdq_friendship
BiB_SDQs,COVID_phase3_sdq,sdq_classroom
BiB_SDQs,COVID_phase3_sdq,sdq_leisure
BiB_SDQs,COVID_phase3_sdq,diffburden
BiB_SDQs,COVID_phase3_sdq,end_sbmit_sdq
BiB_SDQs,COVID_phase3_sdq,childsdq_complete
BiB_SDQs,COVID_phase3_sdq,Total_Difficulties_Score
BiB_SDQs,COVID_phase3_sdq,Externalising_Score
BiB_SDQs,COVID_phase3_sdq,Internalising_Score
BiB_SDQs,COVID_phase3_sdq,Impact_Score
BiB_SDQs,COVID_phase3_sdq,Emotional_Score
BiB_SDQs,COVID_phase3_sdq,Conduct_Score
BiB_SDQs,COVID_phase3_sdq,Hyperactivity_Score
BiB_SDQs,COVID_phase3_sdq,Peer_Problems_Score
BiB_SDQs,COVID_phase3_sdq,Prosocial_Score
BiB_SDQs,COVID_phase3_sdq,Total_ThreeCat
BiB_SDQs,COVID_phase3_sdq,Emotional_ThreeCat
BiB_SDQs,COVID_phase3_sdq,Conduct_ThreeCat
BiB_SDQs,COVID_phase3_sdq,Hyperactivity_ThreeCat
BiB_SDQs,COVID_phase3_sdq,PeerProblem_ThreeCat
BiB_SDQs,COVID_phase3_sdq,Prosocial_ThreeCat
BiB_SDQs,COVID_phase3_sdq,Impact_ThreeCat
BiB_SDQs,COVID_phase3_sdq,Total_FourCat
BiB_SDQs,COVID_phase3_sdq,Emotional_FourCat
BiB_SDQs,COVID_phase3_sdq,Conduct_FourCat
BiB_SDQs,COVID_phase3_sdq,Hyperactivity_FourCat
BiB_SDQs,COVID_phase3_sdq,PeerProblems_FourCat
BiB_SDQs,COVID_phase3_sdq,Prosocial_FourCat
BiB_SDQs,COVID_phase3_sdq,Impact_FourCat
BiB_SDQs,COVID_phase3_sdq,QuestSource
BiB_SDQs,COVID_phase3_sdq,CompletedBy
BiB_SDQs,COVID_phase3_sdq,Emotional_Pro
BiB_SDQs,COVID_phase3_sdq,Conduct_Pro
BiB_SDQs,COVID_phase3_sdq,Hyperactivity_Pro
BiB_SDQs,COVID_phase3_sdq,PeerProblems_Pro
BiB_SDQs,COVID_phase3_sdq,Prosocial_Pro
