project,table,variable
BiB_SDQs,GrowingUp_sdq,BiBPersonID
BiB_SDQs,GrowingUp_sdq,date
BiB_SDQs,GrowingUp_sdq,AgeYears
BiB_SDQs,GrowingUp_sdq,AgeMonths
BiB_SDQs,GrowingUp_sdq,sdq_consid
BiB_SDQs,GrowingUp_sdq,sdq_fidgety
BiB_SDQs,GrowingUp_sdq,sdq_friend
BiB_SDQs,GrowingUp_sdq,sdq_fights
BiB_SDQs,GrowingUp_sdq,sdq_unhappy
BiB_SDQs,GrowingUp_sdq,sdq_popular
BiB_SDQs,GrowingUp_sdq,sdq_distrac
BiB_SDQs,GrowingUp_sdq,sdq_clingy
BiB_SDQs,GrowingUp_sdq,sdq_kind
BiB_SDQs,GrowingUp_sdq,sdq_lies
BiB_SDQs,GrowingUp_sdq,sdq_bullied
BiB_SDQs,GrowingUp_sdq,sdq_restles
BiB_SDQs,GrowingUp_sdq,sdq_helpout
BiB_SDQs,GrowingUp_sdq,sdq_reflect
BiB_SDQs,GrowingUp_sdq,sdq_steals
BiB_SDQs,GrowingUp_sdq,sdq_oldbest
BiB_SDQs,GrowingUp_sdq,sdq_afraid
BiB_SDQs,GrowingUp_sdq,sdq_attends
BiB_SDQs,GrowingUp_sdq,sdq_somatic
BiB_SDQs,GrowingUp_sdq,sdq_shares
BiB_SDQs,GrowingUp_sdq,sdq_tantrum
BiB_SDQs,GrowingUp_sdq,sdq_loner
BiB_SDQs,GrowingUp_sdq,sdq_obeys
BiB_SDQs,GrowingUp_sdq,sdq_worries
BiB_SDQs,GrowingUp_sdq,sdq_caring
BiB_SDQs,GrowingUp_sdq,diffemotions
BiB_SDQs,GrowingUp_sdq,difflength
BiB_SDQs,GrowingUp_sdq,sdq_distress
BiB_SDQs,GrowingUp_sdq,sdq_homelife
BiB_SDQs,GrowingUp_sdq,sdq_friendship
BiB_SDQs,GrowingUp_sdq,sdq_classroom
BiB_SDQs,GrowingUp_sdq,sdq_leisure
BiB_SDQs,GrowingUp_sdq,diffburden
BiB_SDQs,GrowingUp_sdq,Emotional_Score
BiB_SDQs,GrowingUp_sdq,Conduct_Score
BiB_SDQs,GrowingUp_sdq,Hyperactivity_Score
BiB_SDQs,GrowingUp_sdq,Peer_Problem_Score
BiB_SDQs,GrowingUp_sdq,Prosocial_Score
BiB_SDQs,GrowingUp_sdq,Total_Difficulties_Score
BiB_SDQs,GrowingUp_sdq,Externalising_Score
BiB_SDQs,GrowingUp_sdq,Internalising_Score
BiB_SDQs,GrowingUp_sdq,Impact_Score
BiB_SDQs,GrowingUp_sdq,Total_ThreeCat
BiB_SDQs,GrowingUp_sdq,Emotional_ThreeCat
BiB_SDQs,GrowingUp_sdq,Conduct_ThreeCat
BiB_SDQs,GrowingUp_sdq,Hyperactivity_ThreeCat
BiB_SDQs,GrowingUp_sdq,PeerProblem_ThreeCat
BiB_SDQs,GrowingUp_sdq,Prosocial_ThreeCat
BiB_SDQs,GrowingUp_sdq,Impact_ThreeCat
BiB_SDQs,GrowingUp_sdq,Total_FourCat
BiB_SDQs,GrowingUp_sdq,Emotional_FourCat
BiB_SDQs,GrowingUp_sdq,Conduct_FourCat
BiB_SDQs,GrowingUp_sdq,Hyperactivity_FourCat
BiB_SDQs,GrowingUp_sdq,PeerProblem_FourCat
BiB_SDQs,GrowingUp_sdq,Prosocial_FourCat
BiB_SDQs,GrowingUp_sdq,Impact_FourCat
BiB_SDQs,GrowingUp_sdq,QuestSource
BiB_SDQs,GrowingUp_sdq,CompletedBy
