project,table,variable
BiB_SDQs,PrimarySchoolYears_sdq,PSYChildID
BiB_SDQs,PrimarySchoolYears_sdq,PSYSchoolID
BiB_SDQs,PrimarySchoolYears_sdq,PSYClassID
BiB_SDQs,PrimarySchoolYears_sdq,TestYearGroup
BiB_SDQs,PrimarySchoolYears_sdq,TestAcadTerm
BiB_SDQs,PrimarySchoolYears_sdq,TestYear
BiB_SDQs,PrimarySchoolYears_sdq,TestMonth
BiB_SDQs,PrimarySchoolYears_sdq,PSYTestDay
BiB_SDQs,PrimarySchoolYears_sdq,AgeYears
BiB_SDQs,PrimarySchoolYears_sdq,AgeMonths
BiB_SDQs,PrimarySchoolYears_sdq,n_sdq
BiB_SDQs,PrimarySchoolYears_sdq,order_sdq
BiB_SDQs,PrimarySchoolYears_sdq,dc_mode
BiB_SDQs,PrimarySchoolYears_sdq,respondent_id
BiB_SDQs,PrimarySchoolYears_sdq,resp_role
BiB_SDQs,PrimarySchoolYears_sdq,resp_gender
BiB_SDQs,PrimarySchoolYears_sdq,resp_age
BiB_SDQs,PrimarySchoolYears_sdq,resp_qualy
BiB_SDQs,PrimarySchoolYears_sdq,resp_eth
BiB_SDQs,PrimarySchoolYears_sdq,psysdqASDQ1_01
BiB_SDQs,PrimarySchoolYears_sdq,psysdqASDQ1_02
BiB_SDQs,PrimarySchoolYears_sdq,psysdqASDQ1_03
BiB_SDQs,PrimarySchoolYears_sdq,psysdqASDQ1_04
BiB_SDQs,PrimarySchoolYears_sdq,psysdqASDQ1_05
BiB_SDQs,PrimarySchoolYears_sdq,psysdqASDQ1_06
BiB_SDQs,PrimarySchoolYears_sdq,psysdqASDQ1_07
BiB_SDQs,PrimarySchoolYears_sdq,psysdqASDQ1_08
BiB_SDQs,PrimarySchoolYears_sdq,psysdqASDQ1_09
BiB_SDQs,PrimarySchoolYears_sdq,psysdqASDQ1_10
BiB_SDQs,PrimarySchoolYears_sdq,psysdqASDQ1_11
BiB_SDQs,PrimarySchoolYears_sdq,psysdqASDQ1_12
BiB_SDQs,PrimarySchoolYears_sdq,psysdqASDQ1_13
BiB_SDQs,PrimarySchoolYears_sdq,psysdqASDQ1_14
BiB_SDQs,PrimarySchoolYears_sdq,psysdqASDQ1_15
BiB_SDQs,PrimarySchoolYears_sdq,psysdqASDQ1_16
BiB_SDQs,PrimarySchoolYears_sdq,psysdqASDQ1_17
BiB_SDQs,PrimarySchoolYears_sdq,psysdqASDQ1_18
BiB_SDQs,PrimarySchoolYears_sdq,psysdqASDQ1_19
BiB_SDQs,PrimarySchoolYears_sdq,psysdqASDQ1_20
BiB_SDQs,PrimarySchoolYears_sdq,psysdqASDQ1_21
BiB_SDQs,PrimarySchoolYears_sdq,psysdqASDQ1_22
BiB_SDQs,PrimarySchoolYears_sdq,psysdqASDQ1_23
BiB_SDQs,PrimarySchoolYears_sdq,psysdqASDQ1_24
BiB_SDQs,PrimarySchoolYears_sdq,psysdqASDQ1_25
BiB_SDQs,PrimarySchoolYears_sdq,psysdqBOverallDiffic
BiB_SDQs,PrimarySchoolYears_sdq,psysdqBDifficultLng
BiB_SDQs,PrimarySchoolYears_sdq,psysdqBDfficultDistr
BiB_SDQs,PrimarySchoolYears_sdq,psysdqBDfficultInter_1
BiB_SDQs,PrimarySchoolYears_sdq,psysdqBDfficultInter_2
BiB_SDQs,PrimarySchoolYears_sdq,psysdqBDfficltBurden
BiB_SDQs,PrimarySchoolYears_sdq,psysdqsc_empr
BiB_SDQs,PrimarySchoolYears_sdq,psysdqsc_cond
BiB_SDQs,PrimarySchoolYears_sdq,psysdqsc_hypr
BiB_SDQs,PrimarySchoolYears_sdq,psysdqsc_peer
BiB_SDQs,PrimarySchoolYears_sdq,psysdqsc_pros
BiB_SDQs,PrimarySchoolYears_sdq,psysdqsc_ext
BiB_SDQs,PrimarySchoolYears_sdq,psysdqsc_int
BiB_SDQs,PrimarySchoolYears_sdq,psysdqsc_total
BiB_SDQs,PrimarySchoolYears_sdq,psysdqsc_impact
