project,table,variable
BiB_StartingSchool,stschool_ckat,SSChildID
BiB_StartingSchool,stschool_ckat,BiBPersonID
BiB_StartingSchool,stschool_ckat,has_stschool_ckat
BiB_StartingSchool,stschool_ckat,has_ssckat
BiB_StartingSchool,stschool_ckat,ssckatraim01scrapDT1
BiB_StartingSchool,stschool_ckat,ssckatraim01scrapMT1
BiB_StartingSchool,stschool_ckat,ssckatraim01scrapNJ1
BiB_StartingSchool,stschool_ckat,ssckatraim01scrapPL1
BiB_StartingSchool,stschool_ckat,ssckatraim01scrapPLT1
BiB_StartingSchool,stschool_ckat,ssckatraim01scrapPS1
BiB_StartingSchool,stschool_ckat,ssckatraim01scrapRT1
BiB_StartingSchool,stschool_ckat,ssckatraim01scrapTPS1
BiB_StartingSchool,stschool_ckat,ssckatraim02baseDT2
BiB_StartingSchool,stschool_ckat,ssckatraim02baseMT2
BiB_StartingSchool,stschool_ckat,ssckatraim02baseNJ2
BiB_StartingSchool,stschool_ckat,ssckatraim02basePL2
BiB_StartingSchool,stschool_ckat,ssckatraim02basePLT2
BiB_StartingSchool,stschool_ckat,ssckatraim02basePS2
BiB_StartingSchool,stschool_ckat,ssckatraim02baseRT2
BiB_StartingSchool,stschool_ckat,ssckatraim02baseTPS2
BiB_StartingSchool,stschool_ckat,ssckatraim03baseDT3
BiB_StartingSchool,stschool_ckat,ssckatraim03baseMT3
BiB_StartingSchool,stschool_ckat,ssckatraim03baseNJ3
BiB_StartingSchool,stschool_ckat,ssckatraim03basePL3
BiB_StartingSchool,stschool_ckat,ssckatraim03basePLT3
BiB_StartingSchool,stschool_ckat,ssckatraim03basePS3
BiB_StartingSchool,stschool_ckat,ssckatraim03baseRT3
BiB_StartingSchool,stschool_ckat,ssckatraim03baseTPS3
BiB_StartingSchool,stschool_ckat,ssckatraim04baseDT4
BiB_StartingSchool,stschool_ckat,ssckatraim04baseMT4
BiB_StartingSchool,stschool_ckat,ssckatraim04baseNJ4
BiB_StartingSchool,stschool_ckat,ssckatraim04basePL4
BiB_StartingSchool,stschool_ckat,ssckatraim04basePLT4
BiB_StartingSchool,stschool_ckat,ssckatraim04basePS4
BiB_StartingSchool,stschool_ckat,ssckatraim04baseRT4
BiB_StartingSchool,stschool_ckat,ssckatraim04baseTPS4
BiB_StartingSchool,stschool_ckat,ssckatraim05baseDT5
BiB_StartingSchool,stschool_ckat,ssckatraim05baseMT5
BiB_StartingSchool,stschool_ckat,ssckatraim05baseNJ5
BiB_StartingSchool,stschool_ckat,ssckatraim05basePL5
BiB_StartingSchool,stschool_ckat,ssckatraim05basePLT5
BiB_StartingSchool,stschool_ckat,ssckatraim05basePS5
BiB_StartingSchool,stschool_ckat,ssckatraim05baseRT5
BiB_StartingSchool,stschool_ckat,ssckatraim05baseTPS5
BiB_StartingSchool,stschool_ckat,ssckatraim06baseDT6
BiB_StartingSchool,stschool_ckat,ssckatraim06baseMT6
BiB_StartingSchool,stschool_ckat,ssckatraim06baseNJ6
BiB_StartingSchool,stschool_ckat,ssckatraim06basePL6
BiB_StartingSchool,stschool_ckat,ssckatraim06basePLT6
BiB_StartingSchool,stschool_ckat,ssckatraim06basePS6
BiB_StartingSchool,stschool_ckat,ssckatraim06baseRT6
BiB_StartingSchool,stschool_ckat,ssckatraim06baseTPS6
BiB_StartingSchool,stschool_ckat,ssckatraim07baseDT7
BiB_StartingSchool,stschool_ckat,ssckatraim07baseMT7
BiB_StartingSchool,stschool_ckat,ssckatraim07baseNJ7
BiB_StartingSchool,stschool_ckat,ssckatraim07basePL7
BiB_StartingSchool,stschool_ckat,ssckatraim07basePLT7
BiB_StartingSchool,stschool_ckat,ssckatraim07basePS7
BiB_StartingSchool,stschool_ckat,ssckatraim07baseRT7
BiB_StartingSchool,stschool_ckat,ssckatraim07baseTPS7
BiB_StartingSchool,stschool_ckat,ssckatraim08baseDT8
BiB_StartingSchool,stschool_ckat,ssckatraim08baseMT8
BiB_StartingSchool,stschool_ckat,ssckatraim08baseNJ8
BiB_StartingSchool,stschool_ckat,ssckatraim08basePL8
BiB_StartingSchool,stschool_ckat,ssckatraim08basePLT8
BiB_StartingSchool,stschool_ckat,ssckatraim08basePS8
BiB_StartingSchool,stschool_ckat,ssckatraim08baseRT8
BiB_StartingSchool,stschool_ckat,ssckatraim08baseTPS8
BiB_StartingSchool,stschool_ckat,ssckatraim09baseDT9
BiB_StartingSchool,stschool_ckat,ssckatraim09baseMT9
BiB_StartingSchool,stschool_ckat,ssckatraim09baseNJ9
BiB_StartingSchool,stschool_ckat,ssckatraim09basePL9
BiB_StartingSchool,stschool_ckat,ssckatraim09basePLT9
BiB_StartingSchool,stschool_ckat,ssckatraim09basePS9
BiB_StartingSchool,stschool_ckat,ssckatraim09baseRT9
BiB_StartingSchool,stschool_ckat,ssckatraim09baseTPS9
BiB_StartingSchool,stschool_ckat,ssckatraim10baseDT10
BiB_StartingSchool,stschool_ckat,ssckatraim10baseMT10
BiB_StartingSchool,stschool_ckat,ssckatraim10baseNJ10
BiB_StartingSchool,stschool_ckat,ssckatraim10basePL10
BiB_StartingSchool,stschool_ckat,ssckatraim10basePLT10
BiB_StartingSchool,stschool_ckat,ssckatraim10basePS10
BiB_StartingSchool,stschool_ckat,ssckatraim10baseRT10
BiB_StartingSchool,stschool_ckat,ssckatraim10baseTPS10
BiB_StartingSchool,stschool_ckat,ssckatraim11baseDT11
BiB_StartingSchool,stschool_ckat,ssckatraim11baseMT11
BiB_StartingSchool,stschool_ckat,ssckatraim11baseNJ11
BiB_StartingSchool,stschool_ckat,ssckatraim11basePL11
BiB_StartingSchool,stschool_ckat,ssckatraim11basePLT11
BiB_StartingSchool,stschool_ckat,ssckatraim11basePS11
BiB_StartingSchool,stschool_ckat,ssckatraim11baseRT11
BiB_StartingSchool,stschool_ckat,ssckatraim11baseTPS11
BiB_StartingSchool,stschool_ckat,ssckatraim12baseDT12
BiB_StartingSchool,stschool_ckat,ssckatraim12baseMT12
BiB_StartingSchool,stschool_ckat,ssckatraim12baseNJ12
BiB_StartingSchool,stschool_ckat,ssckatraim12basePL12
BiB_StartingSchool,stschool_ckat,ssckatraim12basePLT12
BiB_StartingSchool,stschool_ckat,ssckatraim12basePS12
BiB_StartingSchool,stschool_ckat,ssckatraim12baseRT12
BiB_StartingSchool,stschool_ckat,ssckatraim12baseTPS12
BiB_StartingSchool,stschool_ckat,ssckatraim13baseDT13
BiB_StartingSchool,stschool_ckat,ssckatraim13baseMT13
BiB_StartingSchool,stschool_ckat,ssckatraim13baseNJ13
BiB_StartingSchool,stschool_ckat,ssckatraim13basePL13
BiB_StartingSchool,stschool_ckat,ssckatraim13basePLT13
BiB_StartingSchool,stschool_ckat,ssckatraim13basePS13
BiB_StartingSchool,stschool_ckat,ssckatraim13baseRT13
BiB_StartingSchool,stschool_ckat,ssckatraim13baseTPS13
BiB_StartingSchool,stschool_ckat,ssckatraim14baseDT14
BiB_StartingSchool,stschool_ckat,ssckatraim14baseMT14
BiB_StartingSchool,stschool_ckat,ssckatraim14baseNJ14
BiB_StartingSchool,stschool_ckat,ssckatraim14basePL14
BiB_StartingSchool,stschool_ckat,ssckatraim14basePLT14
BiB_StartingSchool,stschool_ckat,ssckatraim14basePS14
BiB_StartingSchool,stschool_ckat,ssckatraim14baseRT14
BiB_StartingSchool,stschool_ckat,ssckatraim14baseTPS14
BiB_StartingSchool,stschool_ckat,ssckatraim15baseDT15
BiB_StartingSchool,stschool_ckat,ssckatraim15baseMT15
BiB_StartingSchool,stschool_ckat,ssckatraim15baseNJ15
BiB_StartingSchool,stschool_ckat,ssckatraim15basePL15
BiB_StartingSchool,stschool_ckat,ssckatraim15basePLT15
BiB_StartingSchool,stschool_ckat,ssckatraim15basePS15
BiB_StartingSchool,stschool_ckat,ssckatraim15baseRT15
BiB_StartingSchool,stschool_ckat,ssckatraim15baseTPS15
BiB_StartingSchool,stschool_ckat,ssckatraim16baseDT16
BiB_StartingSchool,stschool_ckat,ssckatraim16baseMT16
BiB_StartingSchool,stschool_ckat,ssckatraim16baseNJ16
BiB_StartingSchool,stschool_ckat,ssckatraim16basePL16
BiB_StartingSchool,stschool_ckat,ssckatraim16basePLT16
BiB_StartingSchool,stschool_ckat,ssckatraim16basePS16
BiB_StartingSchool,stschool_ckat,ssckatraim16baseRT16
BiB_StartingSchool,stschool_ckat,ssckatraim16baseTPS16
BiB_StartingSchool,stschool_ckat,ssckatraim17baseDT17
BiB_StartingSchool,stschool_ckat,ssckatraim17baseMT17
BiB_StartingSchool,stschool_ckat,ssckatraim17baseNJ17
BiB_StartingSchool,stschool_ckat,ssckatraim17basePL17
BiB_StartingSchool,stschool_ckat,ssckatraim17basePLT17
BiB_StartingSchool,stschool_ckat,ssckatraim17basePS17
BiB_StartingSchool,stschool_ckat,ssckatraim17baseRT17
BiB_StartingSchool,stschool_ckat,ssckatraim17baseTPS17
BiB_StartingSchool,stschool_ckat,ssckatraim18baseDT18
BiB_StartingSchool,stschool_ckat,ssckatraim18baseMT18
BiB_StartingSchool,stschool_ckat,ssckatraim18baseNJ18
BiB_StartingSchool,stschool_ckat,ssckatraim18basePL18
BiB_StartingSchool,stschool_ckat,ssckatraim18basePLT18
BiB_StartingSchool,stschool_ckat,ssckatraim18basePS18
BiB_StartingSchool,stschool_ckat,ssckatraim18baseRT18
BiB_StartingSchool,stschool_ckat,ssckatraim18baseTPS18
BiB_StartingSchool,stschool_ckat,ssckatraim19baseDT19
BiB_StartingSchool,stschool_ckat,ssckatraim19baseMT19
BiB_StartingSchool,stschool_ckat,ssckatraim19baseNJ19
BiB_StartingSchool,stschool_ckat,ssckatraim19basePL19
BiB_StartingSchool,stschool_ckat,ssckatraim19basePLT19
BiB_StartingSchool,stschool_ckat,ssckatraim19basePS19
BiB_StartingSchool,stschool_ckat,ssckatraim19baseRT19
BiB_StartingSchool,stschool_ckat,ssckatraim19baseTPS19
BiB_StartingSchool,stschool_ckat,ssckatraim20baseDT20
BiB_StartingSchool,stschool_ckat,ssckatraim20baseMT20
BiB_StartingSchool,stschool_ckat,ssckatraim20baseNJ20
BiB_StartingSchool,stschool_ckat,ssckatraim20basePL20
BiB_StartingSchool,stschool_ckat,ssckatraim20basePLT20
BiB_StartingSchool,stschool_ckat,ssckatraim20basePS20
BiB_StartingSchool,stschool_ckat,ssckatraim20baseRT20
BiB_StartingSchool,stschool_ckat,ssckatraim20baseTPS20
BiB_StartingSchool,stschool_ckat,ssckatraim21baseDT21
BiB_StartingSchool,stschool_ckat,ssckatraim21baseMT21
BiB_StartingSchool,stschool_ckat,ssckatraim21baseNJ21
BiB_StartingSchool,stschool_ckat,ssckatraim21basePL21
BiB_StartingSchool,stschool_ckat,ssckatraim21basePLT21
BiB_StartingSchool,stschool_ckat,ssckatraim21basePS21
BiB_StartingSchool,stschool_ckat,ssckatraim21baseRT21
BiB_StartingSchool,stschool_ckat,ssckatraim21baseTPS21
BiB_StartingSchool,stschool_ckat,ssckatraim22baseDT22
BiB_StartingSchool,stschool_ckat,ssckatraim22baseMT22
BiB_StartingSchool,stschool_ckat,ssckatraim22baseNJ22
BiB_StartingSchool,stschool_ckat,ssckatraim22basePL22
BiB_StartingSchool,stschool_ckat,ssckatraim22basePLT22
BiB_StartingSchool,stschool_ckat,ssckatraim22basePS22
BiB_StartingSchool,stschool_ckat,ssckatraim22baseRT22
BiB_StartingSchool,stschool_ckat,ssckatraim22baseTPS22
BiB_StartingSchool,stschool_ckat,ssckatraim23baseDT23
BiB_StartingSchool,stschool_ckat,ssckatraim23baseMT23
BiB_StartingSchool,stschool_ckat,ssckatraim23baseNJ23
BiB_StartingSchool,stschool_ckat,ssckatraim23basePL23
BiB_StartingSchool,stschool_ckat,ssckatraim23basePLT23
BiB_StartingSchool,stschool_ckat,ssckatraim23basePS23
BiB_StartingSchool,stschool_ckat,ssckatraim23baseRT23
BiB_StartingSchool,stschool_ckat,ssckatraim23baseTPS23
BiB_StartingSchool,stschool_ckat,ssckatraim24baseDT24
BiB_StartingSchool,stschool_ckat,ssckatraim24baseMT24
BiB_StartingSchool,stschool_ckat,ssckatraim24baseNJ24
BiB_StartingSchool,stschool_ckat,ssckatraim24basePL24
BiB_StartingSchool,stschool_ckat,ssckatraim24basePLT24
BiB_StartingSchool,stschool_ckat,ssckatraim24basePS24
BiB_StartingSchool,stschool_ckat,ssckatraim24baseRT24
BiB_StartingSchool,stschool_ckat,ssckatraim24baseTPS24
BiB_StartingSchool,stschool_ckat,ssckatraim25baseDT25
BiB_StartingSchool,stschool_ckat,ssckatraim25baseMT25
BiB_StartingSchool,stschool_ckat,ssckatraim25baseNJ25
BiB_StartingSchool,stschool_ckat,ssckatraim25basePL25
BiB_StartingSchool,stschool_ckat,ssckatraim25basePLT25
BiB_StartingSchool,stschool_ckat,ssckatraim25basePS25
BiB_StartingSchool,stschool_ckat,ssckatraim25baseRT25
BiB_StartingSchool,stschool_ckat,ssckatraim25baseTPS25
BiB_StartingSchool,stschool_ckat,ssckatraim26baseDT26
BiB_StartingSchool,stschool_ckat,ssckatraim26baseMT26
BiB_StartingSchool,stschool_ckat,ssckatraim26baseNJ26
BiB_StartingSchool,stschool_ckat,ssckatraim26basePL26
BiB_StartingSchool,stschool_ckat,ssckatraim26basePLT26
BiB_StartingSchool,stschool_ckat,ssckatraim26basePS26
BiB_StartingSchool,stschool_ckat,ssckatraim26baseRT26
BiB_StartingSchool,stschool_ckat,ssckatraim26baseTPS26
BiB_StartingSchool,stschool_ckat,ssckatraim27baseDT27
BiB_StartingSchool,stschool_ckat,ssckatraim27baseMT27
BiB_StartingSchool,stschool_ckat,ssckatraim27baseNJ27
BiB_StartingSchool,stschool_ckat,ssckatraim27basePL27
BiB_StartingSchool,stschool_ckat,ssckatraim27basePLT27
BiB_StartingSchool,stschool_ckat,ssckatraim27basePS27
BiB_StartingSchool,stschool_ckat,ssckatraim27baseRT27
BiB_StartingSchool,stschool_ckat,ssckatraim27baseTPS27
BiB_StartingSchool,stschool_ckat,ssckatraim28baseDT28
BiB_StartingSchool,stschool_ckat,ssckatraim28baseMT28
BiB_StartingSchool,stschool_ckat,ssckatraim28baseNJ28
BiB_StartingSchool,stschool_ckat,ssckatraim28basePL28
BiB_StartingSchool,stschool_ckat,ssckatraim28basePLT28
BiB_StartingSchool,stschool_ckat,ssckatraim28basePS28
