project,table,variable
BiB_StartingSchool,stschool_info,SSChildID
BiB_StartingSchool,stschool_info,BiBPersonID
BiB_StartingSchool,stschool_info,has_stschool_info
BiB_StartingSchool,stschool_info,agecm_ssbpvs
BiB_StartingSchool,stschool_info,agecm_ssckat
BiB_StartingSchool,stschool_info,agecm_ssclid
BiB_StartingSchool,stschool_info,agecm_sscsdq
BiB_StartingSchool,stschool_info,has_ssbpvs
BiB_StartingSchool,stschool_info,has_ssckat
BiB_StartingSchool,stschool_info,has_ssclid
BiB_StartingSchool,stschool_info,has_sscsdq
BiB_StartingSchool,stschool_info,has_stschl
BiB_StartingSchool,stschool_info,ssgender
BiB_StartingSchool,stschool_info,ssschoolid
BiB_StartingSchool,stschool_info,sstermofbirth
