variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiB_StartingSchool.stschool_sdq.SSChildID,BiB_StartingSchool.stschool_sdq,BiB_StartingSchool,stschool_sdq,SSChildID,Starting School Child ID,text,,,2340,2340
BiB_StartingSchool.stschool_sdq.BiBPersonID,BiB_StartingSchool.stschool_sdq,BiB_StartingSchool,stschool_sdq,BiBPersonID,,text,,administration,2340,2340
BiB_StartingSchool.stschool_sdq.has_stschool_sdq,BiB_StartingSchool.stschool_sdq,BiB_StartingSchool,stschool_sdq,has_stschool_sdq,Has starting school: sdq,integer,,administration,2340,2340
BiB_StartingSchool.stschool_sdq.has_sscsdq,BiB_StartingSchool.stschool_sdq,BiB_StartingSchool,stschool_sdq,has_sscsdq,Has Starting School SDQ,categorical,[1 has],administration,2340,2340
BiB_StartingSchool.stschool_sdq.sssdqcasecondprob,BiB_StartingSchool.stschool_sdq,BiB_StartingSchool,stschool_sdq,sssdqcasecondprob,SDQ Conduct Subscale Caseness,categorical,[1 Normal] [2 Borderline] [3 Abnormal],personality_temperament,2337,2337
BiB_StartingSchool.stschool_sdq.sssdqcaseemotional,BiB_StartingSchool.stschool_sdq,BiB_StartingSchool,stschool_sdq,sssdqcaseemotional,SDQ Emotional Subscale Caseness,categorical,[1 Normal] [2 Borderline] [3 Abnormal],personality_temperament,2336,2336
BiB_StartingSchool.stschool_sdq.sssdqcasehyper,BiB_StartingSchool.stschool_sdq,BiB_StartingSchool,stschool_sdq,sssdqcasehyper,SDQ Hyperactivty Subscale Caseness,categorical,[1 Normal] [2 Borderline] [3 Abnormal],personality_temperament,2337,2337
BiB_StartingSchool.stschool_sdq.sssdqcaseimpact,BiB_StartingSchool.stschool_sdq,BiB_StartingSchool,stschool_sdq,sssdqcaseimpact,SDQ Impact Supplement Caseness,categorical,[1 Normal] [2 Borderline] [3 Abnormal],personality_temperament,2337,2337
BiB_StartingSchool.stschool_sdq.sssdqcasepeerprob,BiB_StartingSchool.stschool_sdq,BiB_StartingSchool,stschool_sdq,sssdqcasepeerprob,SDQ Peer Subscale Caseness,categorical,[1 Normal] [2 Borderline] [3 Abnormal],personality_temperament,2338,2338
BiB_StartingSchool.stschool_sdq.sssdqcaseprosocial,BiB_StartingSchool.stschool_sdq,BiB_StartingSchool,stschool_sdq,sssdqcaseprosocial,SDQ Prosocial Subscale Caseness,categorical,[1 Normal] [2 Borderline] [3 Abnormal],personality_temperament,2338,2338
BiB_StartingSchool.stschool_sdq.sssdqcasetotal,BiB_StartingSchool.stschool_sdq,BiB_StartingSchool,stschool_sdq,sssdqcasetotal,SDQ Total Difficulty Score Caseness,categorical,[1 Normal] [2 Borderline] [3 Abnormal],personality_temperament,2335,2335
BiB_StartingSchool.stschool_sdq.sssdqcompage,BiB_StartingSchool.stschool_sdq,BiB_StartingSchool,stschool_sdq,sssdqcompage,SDQ Completer Age,categorical,[1 20-25 yrs] [2 26-30 yrs] [3 31-35 yrs] [4 36-40 yrs] [5 41-45 yrs] [6 46-50 yrs] [7 51-55 yrs] [8 56-60 yrs] [9 60+ yrs],administration,1218,1218
BiB_StartingSchool.stschool_sdq.sssdqcompethn,BiB_StartingSchool.stschool_sdq,BiB_StartingSchool,stschool_sdq,sssdqcompethn,SDQ Completer Ethnicity,categorical,[1 White - British] [2 White - Other] [3 Mixed - White and Black] [4 Mixed - White and South Asian] [5 Black] [6 Indian] [7 Pakistani] [8 Bangladeshi] [9 Other],administration,1191,1191
BiB_StartingSchool.stschool_sdq.sssdqcompgender,BiB_StartingSchool.stschool_sdq,BiB_StartingSchool,stschool_sdq,sssdqcompgender,SDQ Completer Gender,categorical,[1 Male] [2 Female],administration,1730,1730
BiB_StartingSchool.stschool_sdq.sssdqcompleter,BiB_StartingSchool.stschool_sdq,BiB_StartingSchool,stschool_sdq,sssdqcompleter,SDQ Completer ID,integer,,administration,2340,2340
