project,table,variable
BiB_StartingSchool,stschool_sdq,SSChildID
BiB_StartingSchool,stschool_sdq,BiBPersonID
BiB_StartingSchool,stschool_sdq,has_stschool_sdq
BiB_StartingSchool,stschool_sdq,has_sscsdq
BiB_StartingSchool,stschool_sdq,sssdqcasecondprob
BiB_StartingSchool,stschool_sdq,sssdqcaseemotional
BiB_StartingSchool,stschool_sdq,sssdqcasehyper
BiB_StartingSchool,stschool_sdq,sssdqcaseimpact
BiB_StartingSchool,stschool_sdq,sssdqcasepeerprob
BiB_StartingSchool,stschool_sdq,sssdqcaseprosocial
BiB_StartingSchool,stschool_sdq,sssdqcasetotal
BiB_StartingSchool,stschool_sdq,sssdqcompage
BiB_StartingSchool,stschool_sdq,sssdqcompethn
BiB_StartingSchool,stschool_sdq,sssdqcompgender
BiB_StartingSchool,stschool_sdq,sssdqcompleter
BiB_StartingSchool,stschool_sdq,sssdqcompposition
BiB_StartingSchool,stschool_sdq,sssdqcp_fights
BiB_StartingSchool,stschool_sdq,sssdqcp_lies
BiB_StartingSchool,stschool_sdq,sssdqcp_steals
BiB_StartingSchool,stschool_sdq,sssdqcp_temper
BiB_StartingSchool,stschool_sdq,sssdqcp_wellbeh
BiB_StartingSchool,stschool_sdq,sssdqcpscale
BiB_StartingSchool,stschool_sdq,sssdqem_aches
BiB_StartingSchool,stschool_sdq,sssdqem_fears
BiB_StartingSchool,stschool_sdq,sssdqem_nervous
BiB_StartingSchool,stschool_sdq,sssdqem_unhappy
BiB_StartingSchool,stschool_sdq,sssdqem_worries
BiB_StartingSchool,stschool_sdq,sssdqemscale
BiB_StartingSchool,stschool_sdq,sssdqexternalising
BiB_StartingSchool,stschool_sdq,sssdqhy_attention
BiB_StartingSchool,stschool_sdq,sssdqhy_distracted
BiB_StartingSchool,stschool_sdq,sssdqhy_fidget
BiB_StartingSchool,stschool_sdq,sssdqhy_restless
BiB_StartingSchool,stschool_sdq,sssdqhy_thinks
BiB_StartingSchool,stschool_sdq,sssdqhyscale
BiB_StartingSchool,stschool_sdq,sssdqim_burden
BiB_StartingSchool,stschool_sdq,sssdqim_distress
BiB_StartingSchool,stschool_sdq,sssdqim_duration
BiB_StartingSchool,stschool_sdq,sssdqim_intclass
BiB_StartingSchool,stschool_sdq,sssdqim_intpeer
BiB_StartingSchool,stschool_sdq,sssdqim_overall
BiB_StartingSchool,stschool_sdq,sssdqimscale
BiB_StartingSchool,stschool_sdq,sssdqinternalising
BiB_StartingSchool,stschool_sdq,sssdqpp_adults
BiB_StartingSchool,stschool_sdq,sssdqpp_bullied
BiB_StartingSchool,stschool_sdq,sssdqpp_friend
BiB_StartingSchool,stschool_sdq,sssdqpp_liked
BiB_StartingSchool,stschool_sdq,sssdqpp_solitary
BiB_StartingSchool,stschool_sdq,sssdqppscale
BiB_StartingSchool,stschool_sdq,sssdqps_considerate
BiB_StartingSchool,stschool_sdq,sssdqps_helphurt
BiB_StartingSchool,stschool_sdq,sssdqps_kind
BiB_StartingSchool,stschool_sdq,sssdqps_offershelp
BiB_StartingSchool,stschool_sdq,sssdqps_shares
BiB_StartingSchool,stschool_sdq,sssdqpsscale
BiB_StartingSchool,stschool_sdq,sssdqtotaldiff
