project,table,variable
BiBBS_Baseline,pregnancy_survey,par_2bfeed6month
BiBBS_Baseline,pregnancy_survey,par_3_present
BiBBS_Baseline,pregnancy_survey,par_3timingpreg
BiBBS_Baseline,pregnancy_survey,par_3intentpreg
BiBBS_Baseline,pregnancy_survey,par_3discuspreg
BiBBS_Baseline,pregnancy_survey,ght_1_present
BiBBS_Baseline,pregnancy_survey,ght_1generalhealth
BiBBS_Baseline,pregnancy_survey,ght_1smokeinpreg
BiBBS_Baseline,pregnancy_survey,ght_2_present
BiBBS_Baseline,pregnancy_survey,ght_2dentalhealth
BiBBS_Baseline,pregnancy_survey,ght_2partnerhealth
BiBBS_Baseline,pregnancy_survey,ght_2eversmoke
BiBBS_Baseline,pregnancy_survey,ght_2howoftenifeversmoke
BiBBS_Baseline,pregnancy_survey,ght_2smokeinhouse
BiBBS_Baseline,pregnancy_survey,ght_2alcbeforepreg
BiBBS_Baseline,pregnancy_survey,ght_2alcinpreg
BiBBS_Baseline,pregnancy_survey,ght_3_present
BiBBS_Baseline,pregnancy_survey,ght_3nonpresdrugs
BiBBS_Baseline,pregnancy_survey,phq_present
BiBBS_Baseline,pregnancy_survey,phq_total
BiBBS_Baseline,pregnancy_survey,phq_category
BiBBS_Baseline,pregnancy_survey,phq_q1
BiBBS_Baseline,pregnancy_survey,phq_q2
BiBBS_Baseline,pregnancy_survey,phq_q3
BiBBS_Baseline,pregnancy_survey,phq_q4
BiBBS_Baseline,pregnancy_survey,phq_q5
BiBBS_Baseline,pregnancy_survey,phq_q6
BiBBS_Baseline,pregnancy_survey,phq_q7
BiBBS_Baseline,pregnancy_survey,phq_q8
BiBBS_Baseline,pregnancy_survey,phq_difficulties
BiBBS_Baseline,pregnancy_survey,gad_present
BiBBS_Baseline,pregnancy_survey,gad_total
BiBBS_Baseline,pregnancy_survey,gad_category
BiBBS_Baseline,pregnancy_survey,gad_nervous
BiBBS_Baseline,pregnancy_survey,gad_notstopworry
BiBBS_Baseline,pregnancy_survey,gad_worrythings
BiBBS_Baseline,pregnancy_survey,gad_troublerelax
BiBBS_Baseline,pregnancy_survey,gad_restless
BiBBS_Baseline,pregnancy_survey,gad_irritable
BiBBS_Baseline,pregnancy_survey,gad_afraid
BiBBS_Baseline,pregnancy_survey,wem_present
BiBBS_Baseline,pregnancy_survey,wem_wemwb_a
BiBBS_Baseline,pregnancy_survey,wem_wemwb_b
BiBBS_Baseline,pregnancy_survey,wem_wemwb_c
BiBBS_Baseline,pregnancy_survey,wem_wemwb_d
BiBBS_Baseline,pregnancy_survey,wem_wemwb_e
BiBBS_Baseline,pregnancy_survey,wem_wemwb_f
BiBBS_Baseline,pregnancy_survey,wem_wemwb_g
BiBBS_Baseline,pregnancy_survey,wem_wemwb_h
BiBBS_Baseline,pregnancy_survey,wem_wemwb_i
BiBBS_Baseline,pregnancy_survey,wem_wemwb_j
BiBBS_Baseline,pregnancy_survey,wem_wemwb_k
BiBBS_Baseline,pregnancy_survey,wem_wemwb_l
BiBBS_Baseline,pregnancy_survey,wem_wemwb_m
BiBBS_Baseline,pregnancy_survey,wem_wemwb_n
BiBBS_Baseline,pregnancy_survey,ffq_1_present
BiBBS_Baseline,pregnancy_survey,ffq_1foodfrq_b
BiBBS_Baseline,pregnancy_survey,ffq_1foodfrq_c
BiBBS_Baseline,pregnancy_survey,ffq_1foodfrq_d
BiBBS_Baseline,pregnancy_survey,ffq_1foodfrq_e
BiBBS_Baseline,pregnancy_survey,ffq_1foodfrq_f
BiBBS_Baseline,pregnancy_survey,ffq_1foodfrq_o
BiBBS_Baseline,pregnancy_survey,ffq_1foodfrq_q
BiBBS_Baseline,pregnancy_survey,ffq_1foodfrq_r
BiBBS_Baseline,pregnancy_survey,ffq_1foodfrq_t
BiBBS_Baseline,pregnancy_survey,ffq_1foodfrq_u
BiBBS_Baseline,pregnancy_survey,ffq_2_present
BiBBS_Baseline,pregnancy_survey,ffq_2foodfrq_a
BiBBS_Baseline,pregnancy_survey,ffq_2foodfrq_g
BiBBS_Baseline,pregnancy_survey,ffq_2foodfrq_h
BiBBS_Baseline,pregnancy_survey,ffq_2foodfrq_i
BiBBS_Baseline,pregnancy_survey,ffq_2foodfrq_j
BiBBS_Baseline,pregnancy_survey,ffq_2foodfrq_k
BiBBS_Baseline,pregnancy_survey,ffq_2foodfrq_l
BiBBS_Baseline,pregnancy_survey,ffq_2foodfrq_m
BiBBS_Baseline,pregnancy_survey,ffq_2foodfrq_n
BiBBS_Baseline,pregnancy_survey,ffq_2foodfrq_p
BiBBS_Baseline,pregnancy_survey,ffq_2foodfrq_s
BiBBS_Baseline,pregnancy_survey,eq5d_mobility
BiBBS_Baseline,pregnancy_survey,eq5d_selfcare
BiBBS_Baseline,pregnancy_survey,eq5d_usualactivity
BiBBS_Baseline,pregnancy_survey,eq5d_paindiscomfort
BiBBS_Baseline,pregnancy_survey,eq5d_anxietydepression
BiBBS_Baseline,pregnancy_survey,BiBBSPersonID
BiBBS_Baseline,pregnancy_survey,BiBBSPregNumber
BiBBS_Baseline,pregnancy_survey,BiBBSPregnancyID
BiBBS_Baseline,pregnancy_survey,adm_medqdate
BiBBS_Baseline,pregnancy_survey,adm_medqage
BiBBS_Baseline,pregnancy_survey,adm_version
BiBBS_Baseline,pregnancy_survey,adm_qlang
BiBBS_Baseline,pregnancy_survey,adm_qlangoth
BiBBS_Baseline,pregnancy_survey,adm_qintused
BiBBS_Baseline,pregnancy_survey,adm_qinttype
BiBBS_Baseline,pregnancy_survey,adm_qpresent
BiBBS_Baseline,pregnancy_survey,adm_qintcode
BiBBS_Baseline,pregnancy_survey,adm_qmescode
BiBBS_Baseline,pregnancy_survey,mes1_present
BiBBS_Baseline,pregnancy_survey,mes1_heighttaken
BiBBS_Baseline,pregnancy_survey,mes1_qheight
BiBBS_Baseline,pregnancy_survey,mes1_weighttaken
BiBBS_Baseline,pregnancy_survey,mes1_qweight
BiBBS_Baseline,pregnancy_survey,mes1_bmicalc
BiBBS_Baseline,pregnancy_survey,mes1_bmi
BiBBS_Baseline,pregnancy_survey,mes1_bmicat5
BiBBS_Baseline,pregnancy_survey,mes1_bmicat3
BiBBS_Baseline,pregnancy_survey,mes1_triceptaken
BiBBS_Baseline,pregnancy_survey,mes1_qtricep
BiBBS_Baseline,pregnancy_survey,mes2_present
BiBBS_Baseline,pregnancy_survey,mes2_armcirctaken
BiBBS_Baseline,pregnancy_survey,mes2_qarmcirc
BiBBS_Baseline,pregnancy_survey,mes3_present
BiBBS_Baseline,pregnancy_survey,mes3_veggietaken
BiBBS_Baseline,pregnancy_survey,mes3_veggie
BiBBS_Baseline,pregnancy_survey,eth_ethnic
BiBBS_Baseline,pregnancy_survey,eth_ethnicoth
BiBBS_Baseline,pregnancy_survey,eth_eth4cat
BiBBS_Baseline,pregnancy_survey,eth_countryborn
BiBBS_Baseline,pregnancy_survey,eth_countryother
BiBBS_Baseline,pregnancy_survey,eth_bornuk
BiBBS_Baseline,pregnancy_survey,eth_ageuk
BiBBS_Baseline,pregnancy_survey,eth_pcountrypresent
BiBBS_Baseline,pregnancy_survey,eth_mcountry
BiBBS_Baseline,pregnancy_survey,eth_fcountry
BiBBS_Baseline,pregnancy_survey,eth_pcountryother
BiBBS_Baseline,pregnancy_survey,eth_religionpresent
BiBBS_Baseline,pregnancy_survey,eth_religion
BiBBS_Baseline,pregnancy_survey,eth_relother
BiBBS_Baseline,pregnancy_survey,eth_praypresent
BiBBS_Baseline,pregnancy_survey,eth_pray
BiBBS_Baseline,pregnancy_survey,hsh_total_n
BiBBS_Baseline,pregnancy_survey,hsh_total_gp
BiBBS_Baseline,pregnancy_survey,hsh_livnatfath_v1
BiBBS_Baseline,pregnancy_survey,hsh_livnatfath_v2
BiBBS_Baseline,pregnancy_survey,hsh_1_present
BiBBS_Baseline,pregnancy_survey,hsh_under16
BiBBS_Baseline,pregnancy_survey,hhold_present
BiBBS_Baseline,pregnancy_survey,fat_relationship
BiBBS_Baseline,pregnancy_survey,fat_haspartner
BiBBS_Baseline,pregnancy_survey,fat_dob
BiBBS_Baseline,pregnancy_survey,fat_related
BiBBS_Baseline,pregnancy_survey,fat_relatedhow
BiBBS_Baseline,pregnancy_survey,fat_cbirth
BiBBS_Baseline,pregnancy_survey,fat_cbirth_other
BiBBS_Baseline,pregnancy_survey,res_cpostode
BiBBS_Baseline,pregnancy_survey,res_clsoaname
BiBBS_Baseline,pregnancy_survey,res_clsoacode
BiBBS_Baseline,pregnancy_survey,res_cward
BiBBS_Baseline,pregnancy_survey,res_cdistrict
BiBBS_Baseline,pregnancy_survey,res_cIMD19rank
BiBBS_Baseline,pregnancy_survey,res_cIMD19decile
BiBBS_Baseline,pregnancy_survey,res_cpropmonths
BiBBS_Baseline,pregnancy_survey,res_cpropgp
BiBBS_Baseline,pregnancy_survey,res_4_present
BiBBS_Baseline,pregnancy_survey,res_4nbedroom
BiBBS_Baseline,pregnancy_survey,res_4nmoved
BiBBS_Baseline,pregnancy_survey,res_4planmove
BiBBS_Baseline,pregnancy_survey,res4ppostode
BiBBS_Baseline,pregnancy_survey,res_4plsoacode
BiBBS_Baseline,pregnancy_survey,res_4pward
BiBBS_Baseline,pregnancy_survey,res_4pdistrict
BiBBS_Baseline,pregnancy_survey,res_4pregion
BiBBS_Baseline,pregnancy_survey,res_4pcountry
BiBBS_Baseline,pregnancy_survey,res_3_present
BiBBS_Baseline,pregnancy_survey,res_3typehome
BiBBS_Baseline,pregnancy_survey,res_3ownhome
BiBBS_Baseline,pregnancy_survey,res_3landlord
BiBBS_Baseline,pregnancy_survey,res_3tenure
BiBBS_Baseline,pregnancy_survey,res_3reasonmove
BiBBS_Baseline,pregnancy_survey,res_3reasonoher
BiBBS_Baseline,pregnancy_survey,loc_areasatf
BiBBS_Baseline,pregnancy_survey,loc_greensatf
BiBBS_Baseline,pregnancy_survey,loc_2_present
BiBBS_Baseline,pregnancy_survey,loc_2arearep
BiBBS_Baseline,pregnancy_survey,loc_2parksumm
BiBBS_Baseline,pregnancy_survey,loc_2parkwint
BiBBS_Baseline,pregnancy_survey,loc_2safeout
BiBBS_Baseline,pregnancy_survey,lng_1firstlang_english
BiBBS_Baseline,pregnancy_survey,lng_1firstlang_punjabi
BiBBS_Baseline,pregnancy_survey,lng_1firstlang_urdu
BiBBS_Baseline,pregnancy_survey,lng_1firstlang_polish
BiBBS_Baseline,pregnancy_survey,lng_1firstlang_slovak
BiBBS_Baseline,pregnancy_survey,lng_1firstlang_hungarian
BiBBS_Baseline,pregnancy_survey,lng_1firstlang_romanian
BiBBS_Baseline,pregnancy_survey,lng_1firstlang_russian
BiBBS_Baseline,pregnancy_survey,lng_1firstlang_gujarati
BiBBS_Baseline,pregnancy_survey,lng_1firstlang_spanish
BiBBS_Baseline,pregnancy_survey,lng_1firstlang_pashto
BiBBS_Baseline,pregnancy_survey,lng_1firstlang_bengali
BiBBS_Baseline,pregnancy_survey,lng_1firstlang_arabic
BiBBS_Baseline,pregnancy_survey,lng_1firstlang_other
BiBBS_Baseline,pregnancy_survey,lng_1firstlang_other_text
BiBBS_Baseline,pregnancy_survey,lng_1firstlang_number
BiBBS_Baseline,pregnancy_survey,lng_1firstlang_group
BiBBS_Baseline,pregnancy_survey,lng_1homelang_english
BiBBS_Baseline,pregnancy_survey,lng_1homelang_punjabi
BiBBS_Baseline,pregnancy_survey,lng_1homelang_urdu
BiBBS_Baseline,pregnancy_survey,lng_1homelang_polish
BiBBS_Baseline,pregnancy_survey,lng_1homelang_slovak
BiBBS_Baseline,pregnancy_survey,lng_1homelang_hungarian
BiBBS_Baseline,pregnancy_survey,lng_1homelang_romanian
BiBBS_Baseline,pregnancy_survey,lng_1homelang_russian
BiBBS_Baseline,pregnancy_survey,lng_1homelang_gujarati
BiBBS_Baseline,pregnancy_survey,lng_1homelang_spanish
BiBBS_Baseline,pregnancy_survey,lng_1homelang_pashto
BiBBS_Baseline,pregnancy_survey,lng_1homelang_bengali
BiBBS_Baseline,pregnancy_survey,lng_1homelang_arabic
BiBBS_Baseline,pregnancy_survey,lng_1homelang_other
BiBBS_Baseline,pregnancy_survey,lng_1homelang_other_text
BiBBS_Baseline,pregnancy_survey,lng_1englishlrws_listen
BiBBS_Baseline,pregnancy_survey,lng_1englishlrws_read
BiBBS_Baseline,pregnancy_survey,lng_1englishlrws_write
BiBBS_Baseline,pregnancy_survey,lng_1englishlrws_speak
BiBBS_Baseline,pregnancy_survey,lng_1readtochild
BiBBS_Baseline,pregnancy_survey,lng_2_present
BiBBS_Baseline,pregnancy_survey,lng_2outside_english
BiBBS_Baseline,pregnancy_survey,lng_2outside_punjabi
BiBBS_Baseline,pregnancy_survey,lng_2outside_urdu
BiBBS_Baseline,pregnancy_survey,lng_2outside_polish
BiBBS_Baseline,pregnancy_survey,lng_2outside_slovak
BiBBS_Baseline,pregnancy_survey,lng_2outside_hungarian
BiBBS_Baseline,pregnancy_survey,lng_2outside_romanian
BiBBS_Baseline,pregnancy_survey,lng_2outside_russian
BiBBS_Baseline,pregnancy_survey,lng_2outside_gujarati
BiBBS_Baseline,pregnancy_survey,lng_2outside_spanish
BiBBS_Baseline,pregnancy_survey,lng_2outside_pashto
BiBBS_Baseline,pregnancy_survey,lng_2outside_bengali
BiBBS_Baseline,pregnancy_survey,lng_2outside_arabic
BiBBS_Baseline,pregnancy_survey,lng_2outside_other
BiBBS_Baseline,pregnancy_survey,lng_2outside_other_text
BiBBS_Baseline,pregnancy_survey,lng_3_present
BiBBS_Baseline,pregnancy_survey,lng_3child_english
BiBBS_Baseline,pregnancy_survey,lng_3child_punjabi
BiBBS_Baseline,pregnancy_survey,lng_3child_urdu
BiBBS_Baseline,pregnancy_survey,lng_3child_polish
BiBBS_Baseline,pregnancy_survey,lng_3child_slovak
BiBBS_Baseline,pregnancy_survey,lng_3child_hungarian
BiBBS_Baseline,pregnancy_survey,lng_3child_romanian
BiBBS_Baseline,pregnancy_survey,lng_3child_russian
BiBBS_Baseline,pregnancy_survey,lng_3child_gujarati
BiBBS_Baseline,pregnancy_survey,lng_3child_spanish
BiBBS_Baseline,pregnancy_survey,lng_3child_pashto
BiBBS_Baseline,pregnancy_survey,lng_3child_bengali
BiBBS_Baseline,pregnancy_survey,lng_3child_arabic
BiBBS_Baseline,pregnancy_survey,lng_3child_other
BiBBS_Baseline,pregnancy_survey,lng_3firstlng_listen
BiBBS_Baseline,pregnancy_survey,lng_3firstlng_read
BiBBS_Baseline,pregnancy_survey,lng_3firstlng_write
BiBBS_Baseline,pregnancy_survey,lng_3firstlng_speak
BiBBS_Baseline,pregnancy_survey,lng_3importeng
BiBBS_Baseline,pregnancy_survey,lng_3bookadults
BiBBS_Baseline,pregnancy_survey,lng_3bookpleasure
BiBBS_Baseline,pregnancy_survey,lng_3bookchild
BiBBS_Baseline,pregnancy_survey,lng_1readtochild2
BiBBS_Baseline,pregnancy_survey,edu_mhighested
BiBBS_Baseline,pregnancy_survey,edu_fhighested
BiBBS_Baseline,pregnancy_survey,edu_medcountry
BiBBS_Baseline,pregnancy_survey,edu_fedcountry
BiBBS_Baseline,pregnancy_survey,emp_1_present
BiBBS_Baseline,pregnancy_survey,emp_1employed
BiBBS_Baseline,pregnancy_survey,emp_1pemployed
BiBBS_Baseline,pregnancy_survey,emp_2_present
BiBBS_Baseline,pregnancy_survey,emp_2employstatus_d
BiBBS_Baseline,pregnancy_survey,emp_2NSSEC_Occupation_d
BiBBS_Baseline,pregnancy_survey,emp_2employstatusp_d
BiBBS_Baseline,pregnancy_survey,emp_2NSSEC_Occupationp_d
BiBBS_Baseline,pregnancy_survey,emp_2geverworked
BiBBS_Baseline,pregnancy_survey,emp_2gcurrentmatsicklv
BiBBS_Baseline,pregnancy_survey,emp_2gemployee
BiBBS_Baseline,pregnancy_survey,emp_2gnoemployees
BiBBS_Baseline,pregnancy_survey,emp_2gnoemployeesselfempl
BiBBS_Baseline,pregnancy_survey,emp_2gsuperviseempl
BiBBS_Baseline,pregnancy_survey,emp_2gpartneremployee
BiBBS_Baseline,pregnancy_survey,emp_2gpartneremployees
BiBBS_Baseline,pregnancy_survey,emp_2gpartemployselfemplo
BiBBS_Baseline,pregnancy_survey,emp_2gpartnersupervise
BiBBS_Baseline,pregnancy_survey,emp_3_present
BiBBS_Baseline,pregnancy_survey,emp_3gpartnereverwork
BiBBS_Baseline,pregnancy_survey,fin_1_present
BiBBS_Baseline,pregnancy_survey,fin_1finman
BiBBS_Baseline,pregnancy_survey,fin_2_present
BiBBS_Baseline,pregnancy_survey,fin_2fincomp
BiBBS_Baseline,pregnancy_survey,fin_2foodlast
BiBBS_Baseline,pregnancy_survey,fin_2foodbalance
BiBBS_Baseline,pregnancy_survey,fin_2foodcutsize
BiBBS_Baseline,pregnancy_survey,fin_2cutmeals
BiBBS_Baseline,pregnancy_survey,fin_2ladderlocal
BiBBS_Baseline,pregnancy_survey,fin_2ladderengld
BiBBS_Baseline,pregnancy_survey,soc_1_present
