variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiBBS_CohortInfo.mother.BiBBSPersonID,BiBBS_CohortInfo.mother,BiBBS_CohortInfo,mother,BiBBSPersonID,,text,,,2425,2425
BiBBS_CohortInfo.mother.date_of_birth,BiBBS_CohortInfo.mother,BiBBS_CohortInfo,mother,date_of_birth,Mother date of birth,date,,,2425,2425
BiBBS_CohortInfo.mother.m_birth_year,BiBBS_CohortInfo.mother,BiBBS_CohortInfo,mother,m_birth_year,Mother year of birth,integer,,administration,2425,2425
BiBBS_CohortInfo.mother.m_birth_month,BiBBS_CohortInfo.mother,BiBBS_CohortInfo,mother,m_birth_month,Mother month of birth,integer,,administration,2425,2425
BiBBS_CohortInfo.mother.gender,BiBBS_CohortInfo.mother,BiBBS_CohortInfo,mother,gender,Mother gender,categorical,[1 Female],gender,2425,2425
BiBBS_CohortInfo.mother.recruitment_date,BiBBS_CohortInfo.mother,BiBBS_CohortInfo,mother,recruitment_date,Date of index pregnancy recruitment,date,,,2425,2425
BiBBS_CohortInfo.mother.m_recruitment_year,BiBBS_CohortInfo.mother,BiBBS_CohortInfo,mother,m_recruitment_year,Mother year of index pregnancy recruitment,integer,,administration,2425,2425
BiBBS_CohortInfo.mother.m_recruitment_month,BiBBS_CohortInfo.mother,BiBBS_CohortInfo,mother,m_recruitment_month,Mother month of index pregnancy recruitment,integer,,administration,2425,2425
BiBBS_CohortInfo.mother.m_age_at_recruitment,BiBBS_CohortInfo.mother,BiBBS_CohortInfo,mother,m_age_at_recruitment,Mother age at index pregnancy recruitment,integer,,age,2425,2425
BiBBS_CohortInfo.mother.n_pregnancies,BiBBS_CohortInfo.mother,BiBBS_CohortInfo,mother,n_pregnancies,Number of pregnancies in this cohort,integer,,administration,2425,2425
BiBBS_CohortInfo.mother.n_children,BiBBS_CohortInfo.mother,BiBBS_CohortInfo,mother,n_children,Number of children in this cohort,integer,,administration,2425,2425
