variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiBBS_CohortInfo.partner.BiBBSPersonID,BiBBS_CohortInfo.partner,BiBBS_CohortInfo,partner,BiBBSPersonID,,text,,,264,264
BiBBS_CohortInfo.partner.date_of_birth,BiBBS_CohortInfo.partner,BiBBS_CohortInfo,partner,date_of_birth,Partner date of birth,date,,,264,264
BiBBS_CohortInfo.partner.p_birth_year,BiBBS_CohortInfo.partner,BiBBS_CohortInfo,partner,p_birth_year,Partner year of birth,integer,,administration,264,264
BiBBS_CohortInfo.partner.p_birth_month,BiBBS_CohortInfo.partner,BiBBS_CohortInfo,partner,p_birth_month,Partner month of birth,integer,,administration,264,264
BiBBS_CohortInfo.partner.gender,BiBBS_CohortInfo.partner,BiBBS_CohortInfo,partner,gender,Partner gender,categorical,[1 Male] [2 Female],gender,264,264
BiBBS_CohortInfo.partner.recruitment_date,BiBBS_CohortInfo.partner,BiBBS_CohortInfo,partner,recruitment_date,Date of index pregnancy recruitment,date,,,264,264
BiBBS_CohortInfo.partner.p_recruitment_year,BiBBS_CohortInfo.partner,BiBBS_CohortInfo,partner,p_recruitment_year,Partner year of index pregnancy recruitment,integer,,administration,264,264
BiBBS_CohortInfo.partner.p_recruitment_month,BiBBS_CohortInfo.partner,BiBBS_CohortInfo,partner,p_recruitment_month,Partner month of index pregnancy recruitment,integer,,administration,264,264
BiBBS_CohortInfo.partner.p_age_at_recruitment,BiBBS_CohortInfo.partner,BiBBS_CohortInfo,partner,p_age_at_recruitment,Partner age at index pregnancy recruitment,integer,,age,264,264
BiBBS_CohortInfo.partner.n_pregnancies,BiBBS_CohortInfo.partner,BiBBS_CohortInfo,partner,n_pregnancies,Number of pregnancies in this cohort,integer,,administration,264,264
