project,table,variable
BiBBS_CohortInfo,recruitment,pseudo_patient_id
BiBBS_CohortInfo,recruitment,pseudo_pregnancy_number
BiBBS_CohortInfo,recruitment,medway_booking
BiBBS_CohortInfo,recruitment,medway_booking_y
BiBBS_CohortInfo,recruitment,medway_booking_m
BiBBS_CohortInfo,recruitment,medway_edd
BiBBS_CohortInfo,recruitment,medway_edd_y
BiBBS_CohortInfo,recruitment,medway_edd_m
BiBBS_CohortInfo,recruitment,BiBBSRecruitmentID
BiBBS_CohortInfo,recruitment,BiBBSPersonID
BiBBS_CohortInfo,recruitment,BiBBSPregnancyID
BiBBS_CohortInfo,recruitment,eligible
BiBBS_CohortInfo,recruitment,not_eligible
BiBBS_CohortInfo,recruitment,not_eligible_area
BiBBS_CohortInfo,recruitment,not_eligible_other
BiBBS_CohortInfo,recruitment,not_yet_recruited
BiBBS_CohortInfo,recruitment,not_recruited
BiBBS_CohortInfo,recruitment,not_recruited_not_informed
BiBBS_CohortInfo,recruitment,not_recruited_informed
BiBBS_CohortInfo,recruitment,not_recruited_declined
BiBBS_CohortInfo,recruitment,recruited
BiBBS_CohortInfo,recruitment,has_survey
