project,table,variable
BiBBS_Dental,bibbs_dental_activity,BiBBSPersonID
BiBBS_Dental,bibbs_dental_activity,Cohort
BiBBS_Dental,bibbs_dental_activity,Gender
BiBBS_Dental,bibbs_dental_activity,Ethnicity5_cat
BiBBS_Dental,bibbs_dental_activity,Month_Birth
BiBBS_Dental,bibbs_dental_activity,Year_Birth
BiBBS_Dental,bibbs_dental_activity,ParticipantType
BiBBS_Dental,bibbs_dental_activity,Date_Acceptance
BiBBS_Dental,bibbs_dental_activity,Date_Completion_LastVisit
BiBBS_Dental,bibbs_dental_activity,Treatment_Referral
BiBBS_Dental,bibbs_dental_activity,Date_Referral
BiBBS_Dental,bibbs_dental_activity,Date_Assessment
BiBBS_Dental,bibbs_dental_activity,Date_Appliance_Fitted
BiBBS_Dental,bibbs_dental_activity,Incomplete_Treatment_Flag
BiBBS_Dental,bibbs_dental_activity,SP_Flag
BiBBS_Dental,bibbs_dental_activity,FV_Flag
BiBBS_Dental,bibbs_dental_activity,FS_Flag
BiBBS_Dental,bibbs_dental_activity,Rads_Flag
BiBBS_Dental,bibbs_dental_activity,Endo_Flag
BiBBS_Dental,bibbs_dental_activity,Perm_Fill_Flag
BiBBS_Dental,bibbs_dental_activity,Extr_Flag
BiBBS_Dental,bibbs_dental_activity,Crowns_Flag
BiBBS_Dental,bibbs_dental_activity,Up_Dent_Ac_Flag
BiBBS_Dental,bibbs_dental_activity,Low_Dent_Ac_Flag
BiBBS_Dental,bibbs_dental_activity,Up_Dent_Met_Flag
BiBBS_Dental,bibbs_dental_activity,Low_Dent_Met_Flag
BiBBS_Dental,bibbs_dental_activity,Veneer_Flag
BiBBS_Dental,bibbs_dental_activity,Bridges_Flag
BiBBS_Dental,bibbs_dental_activity,Ref_AMS_Flag
BiBBS_Dental,bibbs_dental_activity,Exam_Flag
BiBBS_Dental,bibbs_dental_activity,Anti_Pres_Flag
BiBBS_Dental,bibbs_dental_activity,Other_Trt_Flag
BiBBS_Dental,bibbs_dental_activity,Best_Prac_Flag
BiBBS_Dental,bibbs_dental_activity,Free_Repair_Flag
BiBBS_Dental,bibbs_dental_activity,Further_Trt_Flag
BiBBS_Dental,bibbs_dental_activity,Dom_Visit_Flag
BiBBS_Dental,bibbs_dental_activity,Sed_Flag
BiBBS_Dental,bibbs_dental_activity,Flex_Comm_Flag
BiBBS_Dental,bibbs_dental_activity,Exemption_Remission
BiBBS_Dental,bibbs_dental_activity,Exemp_Rem_Evidence
BiBBS_Dental,bibbs_dental_activity,Patient_Charge_Collected
BiBBS_Dental,bibbs_dental_activity,Patient_Charge_Collected_Cat
BiBBS_Dental,bibbs_dental_activity,Treatment_Charge_Band
BiBBS_Dental,bibbs_dental_activity,Treatment_Sub_Charge_Band
BiBBS_Dental,bibbs_dental_activity,Comb_Trt_Sub_Chg_Band
BiBBS_Dental,bibbs_dental_activity,Decayed_Perm
BiBBS_Dental,bibbs_dental_activity,Missing_Perm
BiBBS_Dental,bibbs_dental_activity,Filled_Perm
BiBBS_Dental,bibbs_dental_activity,Decayed_Dec
BiBBS_Dental,bibbs_dental_activity,Missing_Dec
BiBBS_Dental,bibbs_dental_activity,Filled_Dec
BiBBS_Dental,bibbs_dental_activity,AGP
BiBBS_Dental,bibbs_dental_activity,NICE_Rec_Grp
BiBBS_Dental,bibbs_dental_activity,Ortho_Ass_Acc_Flag
BiBBS_Dental,bibbs_dental_activity,Ortho_Ass_Refuse_Flag
BiBBS_Dental,bibbs_dental_activity,Ortho_Ass_Review_Flag
BiBBS_Dental,bibbs_dental_activity,Ortho_Trt_Completed_Flag
BiBBS_Dental,bibbs_dental_activity,Ortho_Extr_Flag
BiBBS_Dental,bibbs_dental_activity,Fixed_Lower_Flag
BiBBS_Dental,bibbs_dental_activity,Fixed_Upper_Flag
BiBBS_Dental,bibbs_dental_activity,Functional_Flag
BiBBS_Dental,bibbs_dental_activity,Rem_Lower_Flag
BiBBS_Dental,bibbs_dental_activity,Rem_Upper_Flag
BiBBS_Dental,bibbs_dental_activity,Retainer_Low_Flag
BiBBS_Dental,bibbs_dental_activity,Retainer_Up_Flag
BiBBS_Dental,bibbs_dental_activity,IOTN_Description
BiBBS_Dental,bibbs_dental_activity,Aesthetic_Component
BiBBS_Dental,bibbs_dental_activity,Abn_FTR_Count
BiBBS_Dental,bibbs_dental_activity,Abn_Pat_Count
BiBBS_Dental,bibbs_dental_activity,Trt_Discont_Count
BiBBS_Dental,bibbs_dental_activity,Trt_Completed_Count
BiBBS_Dental,bibbs_dental_activity,PAR_Calc_Count
BiBBS_Dental,bibbs_dental_activity,Repair_App_Count
BiBBS_Dental,bibbs_dental_activity,Reg11_Replace_Count
BiBBS_Dental,bibbs_dental_activity,Contract_Number
BiBBS_Dental,bibbs_dental_activity,Performer_Number
BiBBS_Dental,bibbs_dental_activity,TRT_Location_Postcode
BiBBS_Dental,bibbs_dental_activity,Fissure_Sealants
BiBBS_Dental,bibbs_dental_activity,Radiographs
BiBBS_Dental,bibbs_dental_activity,Endodontic_Teeth
BiBBS_Dental,bibbs_dental_activity,Inlays
BiBBS_Dental,bibbs_dental_activity,Extractions_General
BiBBS_Dental,bibbs_dental_activity,Crowns
BiBBS_Dental,bibbs_dental_activity,Veneers
BiBBS_Dental,bibbs_dental_activity,Bridges
BiBBS_Dental,bibbs_dental_activity,Cust_App_Hard_Bite
BiBBS_Dental,bibbs_dental_activity,Cust_App_Soft_Bite
BiBBS_Dental,bibbs_dental_activity,Denture_Add_Rel_Base
BiBBS_Dental,bibbs_dental_activity,Phased_Treatment
BiBBS_Dental,bibbs_dental_activity,Arrest_of_Bleeding
BiBBS_Dental,bibbs_dental_activity,Removal_of_Sutures
BiBBS_Dental,bibbs_dental_activity,Bridge_Repair
BiBBS_Dental,bibbs_dental_activity,Denture_Repair
BiBBS_Dental,bibbs_dental_activity,DCP_Type
BiBBS_Dental,bibbs_dental_activity,Pre_Formed_Crowns
BiBBS_Dental,bibbs_dental_activity,Adv_Perio
BiBBS_Dental,bibbs_dental_activity,High_BPE_Score_Ind
BiBBS_Dental,bibbs_dental_activity,Upper_Acrylic
BiBBS_Dental,bibbs_dental_activity,Lower_Acrylic
BiBBS_Dental,bibbs_dental_activity,Upper_Metal
BiBBS_Dental,bibbs_dental_activity,Lower_Metal
BiBBS_Dental,bibbs_dental_activity,Antibiotics
BiBBS_Dental,bibbs_dental_activity,Extract_Ortho_Tooth_Count
BiBBS_Dental,bibbs_dental_activity,Extract_Ortho_Teeth
BiBBS_Dental,bibbs_dental_activity,Ortho_Ass_Deb_Flag
BiBBS_Dental,bibbs_dental_activity,Photographs
BiBBS_Dental,bibbs_dental_activity,Perm_Fill
BiBBS_Dental,bibbs_dental_activity,Untreat_Decay
BiBBS_Dental,bibbs_dental_activity,Pre_Treatment_Par_Score
BiBBS_Dental,bibbs_dental_activity,Post_Treatment_Par_Score
BiBBS_Dental,bibbs_dental_activity,TRT_Postcode_District
BiBBS_Dental,bibbs_dental_activity,pseudo_contract_number
