project,table,variable
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,property_id
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,iq_2021_inspection_date
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,iq_2021_construction_age_band
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,iq_2021_built_form
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,iq_2021_property_type
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,iq_2021_floor_level
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,iq_2021_flat_storey_count
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,iq_2021_flat_top_storey
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,iq_2021_total_floor_area
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,iq_2021_floor_height
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,iq_2021_number_heated_rooms
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,iq_2021_number_habitable_rooms
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,iq_2021_extension_count
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,iq_2021_glazed_area
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,iq_2021_glazed_type
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,iq_2021_energy_use_current
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,iq_2021_energy_use_potential
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,iq_2021_hot_water_cost_current
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,iq_2021_heating_cost_current
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,iq_2021_lighting_cost_current
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,iq_2021_potential_energy_effcncy
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,iq_2021_current_energy_effcncy
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,iq_2021_potential_energy_rating
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,iq_2021_current_energy_rating
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,iq_2021_transaction_type
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,iq_2021_tenure_type
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,be_2021_footprint_a
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,be_2021_height_a
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,be_2021_volume_a
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,be_2021_floorarea_a
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,be_2021_fsi_c
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,be_2021_gsi_c
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,be_2021_osr_c
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,be_2021_l_c
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,be_2021_blockarea_c
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,be_2021_footprint_c_sum
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,be_2021_height_c_mean
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,be_2021_floorarea_c_sum
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,be_2021_volume_c_sum
BiBBS_Geographic,bibbs_geog_built_env_indoor_qual,be_2021_volume_density_c
