variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiBBS_Geographic.bibbs_geog_green_space.property_id,BiBBS_Geographic.bibbs_geog_green_space,BiBBS_Geographic,bibbs_geog_green_space,property_id,Unique ID of property (BiB generated),text,,,6531,6531
BiBBS_Geographic.bibbs_geog_green_space.gg_2021_acs_count_e_4_0_001,BiBBS_Geographic.bibbs_geog_green_space,BiBBS_Geographic,bibbs_geog_green_space,gg_2021_acs_count_e_4_0_001,Distance decay weighted (0.001) count of allotments/comm growing spaces,float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_green_space.gg_2021_acs_count_e_4_0_003,BiBBS_Geographic.bibbs_geog_green_space,BiBBS_Geographic,bibbs_geog_green_space,gg_2021_acs_count_e_4_0_003,Distance decay weighted (0.003) count of allotments/comm growing spaces,float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_green_space.gg_2021_acs_count_e_4_0_005,BiBBS_Geographic.bibbs_geog_green_space,BiBBS_Geographic,bibbs_geog_green_space,gg_2021_acs_count_e_4_0_005,Distance decay weighted (0.005) count of allotments/comm growing spaces,float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_green_space.gg_2021_acs_count_e_4_0_007,BiBBS_Geographic.bibbs_geog_green_space,BiBBS_Geographic,bibbs_geog_green_space,gg_2021_acs_count_e_4_0_007,Distance decay weighted (0.007) count of allotments/comm growing spaces,float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_green_space.gg_2021_acs_count_e_4_0_01,BiBBS_Geographic.bibbs_geog_green_space,BiBBS_Geographic,bibbs_geog_green_space,gg_2021_acs_count_e_4_0_01,Distance decay weighted (0.01) count of allotments/comm growing spaces,float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_green_space.gg_2021_acs_area_e_4_0_001,BiBBS_Geographic.bibbs_geog_green_space,BiBBS_Geographic,bibbs_geog_green_space,gg_2021_acs_area_e_4_0_001,Distance decay weighted (0.001) area of allotments/comm growing spaces,float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_green_space.gg_2021_acs_area_e_4_0_003,BiBBS_Geographic.bibbs_geog_green_space,BiBBS_Geographic,bibbs_geog_green_space,gg_2021_acs_area_e_4_0_003,Distance decay weighted (0.003) area of allotments/comm growing spaces,float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_green_space.gg_2021_acs_area_e_4_0_005,BiBBS_Geographic.bibbs_geog_green_space,BiBBS_Geographic,bibbs_geog_green_space,gg_2021_acs_area_e_4_0_005,Distance decay weighted (0.005) area of allotments/comm growing spaces,float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_green_space.gg_2021_acs_area_e_4_0_007,BiBBS_Geographic.bibbs_geog_green_space,BiBBS_Geographic,bibbs_geog_green_space,gg_2021_acs_area_e_4_0_007,Distance decay weighted (0.007) area of allotments/comm growing spaces,float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_green_space.gg_2021_acs_area_e_4_0_01,BiBBS_Geographic.bibbs_geog_green_space,BiBBS_Geographic,bibbs_geog_green_space,gg_2021_acs_area_e_4_0_01,Distance decay weighted (0.01) area of allotments/comm growing spaces,float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_green_space.gg_2021_acs_count_f_2_300,BiBBS_Geographic.bibbs_geog_green_space,BiBBS_Geographic,bibbs_geog_green_space,gg_2021_acs_count_f_2_300,Count of allotments/comm growing spaces within street network 300m,integer,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_green_space.gg_2021_acs_count_f_2_500,BiBBS_Geographic.bibbs_geog_green_space,BiBBS_Geographic,bibbs_geog_green_space,gg_2021_acs_count_f_2_500,Count of allotments/comm growing spaces within street network of 500m,integer,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_green_space.gg_2021_all_distance_f_2_mean,BiBBS_Geographic.bibbs_geog_green_space,BiBBS_Geographic,bibbs_geog_green_space,gg_2021_all_distance_f_2_mean,Mean distance to all green spaces,float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_green_space.gg_2021_all_closest_d_2,BiBBS_Geographic.bibbs_geog_green_space,BiBBS_Geographic,bibbs_geog_green_space,gg_2021_all_closest_d_2,Distance to closest green space,float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_green_space.gg_2021_acs_count_f_2_1000,BiBBS_Geographic.bibbs_geog_green_space,BiBBS_Geographic,bibbs_geog_green_space,gg_2021_acs_count_f_2_1000,Count of allotments/comm growing spaces within street network of 1000m,integer,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_green_space.gg_2021_acs_count_f_2_2000,BiBBS_Geographic.bibbs_geog_green_space,BiBBS_Geographic,bibbs_geog_green_space,gg_2021_acs_count_f_2_2000,Count of allotments/comm growing spaces within street network of 2000m,integer,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_green_space.gg_2021_acs_count_2ha_f_2_300,BiBBS_Geographic.bibbs_geog_green_space,BiBBS_Geographic,bibbs_geog_green_space,gg_2021_acs_count_2ha_f_2_300,Count of allotments/comm growing spaces ≥ 2ha within street network 300m,integer,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_green_space.gg_2021_acs_count_20ha_f_2_2000,BiBBS_Geographic.bibbs_geog_green_space,BiBBS_Geographic,bibbs_geog_green_space,gg_2021_acs_count_20ha_f_2_2000,Count of allotments/comm growing spaces ≥ 20ha within street network of 2000m,integer,,environmental_exposure,5819,5819
