project,table,variable
BiBBS_Geographic,bibbs_geog_lsoa,LSOA11CD
BiBBS_Geographic,bibbs_geog_lsoa,IMD_2010_decile
BiBBS_Geographic,bibbs_geog_lsoa,IMD_2010_score
BiBBS_Geographic,bibbs_geog_lsoa,IMD_2019_decile
BiBBS_Geographic,bibbs_geog_lsoa,IMD_2019_score
BiBBS_Geographic,bibbs_geog_lsoa,IMD_2019_decile_bfd
BiBBS_Geographic,bibbs_geog_lsoa,IDACI_2019_decile
BiBBS_Geographic,bibbs_geog_lsoa,IDACI_2019_score
BiBBS_Geographic,bibbs_geog_lsoa,TDI_2011_score
BiBBS_Geographic,bibbs_geog_lsoa,TDI_2011_quintile
BiBBS_Geographic,bibbs_geog_lsoa,carstairs_index_2011
