variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiBBS_Geographic.bibbs_geog_ndvi_longitudinal.property_id,BiBBS_Geographic.bibbs_geog_ndvi_longitudinal,BiBBS_Geographic,bibbs_geog_ndvi_longitudinal,property_id,Unique ID of property (BiB generated),text,,,6531,6531
BiBBS_Geographic.bibbs_geog_ndvi_longitudinal.gg_2016_ndvi_g_1_100_mean,BiBBS_Geographic.bibbs_geog_ndvi_longitudinal,BiBBS_Geographic,bibbs_geog_ndvi_longitudinal,gg_2016_ndvi_g_1_100_mean,"Mean NDVI within 100m circular buffer of home address, 2016 USGS",float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_ndvi_longitudinal.gg_2016_ndvi_g_1_1000_mean,BiBBS_Geographic.bibbs_geog_ndvi_longitudinal,BiBBS_Geographic,bibbs_geog_ndvi_longitudinal,gg_2016_ndvi_g_1_1000_mean,"Mean NDVI within 100m circular buffer of home address, 2016 USGS",float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_ndvi_longitudinal.gg_2016_ndvi_g_1_1500_mean,BiBBS_Geographic.bibbs_geog_ndvi_longitudinal,BiBBS_Geographic,bibbs_geog_ndvi_longitudinal,gg_2016_ndvi_g_1_1500_mean,"Mean NDVI within 1500m circular buffer of home address, 2016 USGS",float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_ndvi_longitudinal.gg_2016_ndvi_g_1_2000_mean,BiBBS_Geographic.bibbs_geog_ndvi_longitudinal,BiBBS_Geographic,bibbs_geog_ndvi_longitudinal,gg_2016_ndvi_g_1_2000_mean,"Mean NDVI within 2000m circular buffer of home address, 2016 USGS",float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_ndvi_longitudinal.gg_2016_ndvi_g_1_300_mean,BiBBS_Geographic.bibbs_geog_ndvi_longitudinal,BiBBS_Geographic,bibbs_geog_ndvi_longitudinal,gg_2016_ndvi_g_1_300_mean,"Mean NDVI within 300m circular buffer of home address, 2016 USGS",float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_ndvi_longitudinal.gg_2016_ndvi_g_1_500_mean,BiBBS_Geographic.bibbs_geog_ndvi_longitudinal,BiBBS_Geographic,bibbs_geog_ndvi_longitudinal,gg_2016_ndvi_g_1_500_mean,"Mean NDVI within 500m circular buffer of home address, 2016 USGS",float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_ndvi_longitudinal.gg_2017_ndvi_g_1_100_mean,BiBBS_Geographic.bibbs_geog_ndvi_longitudinal,BiBBS_Geographic,bibbs_geog_ndvi_longitudinal,gg_2017_ndvi_g_1_100_mean,"Mean NDVI within 100m circular buffer of home address, 2017 USGS",float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_ndvi_longitudinal.gg_2017_ndvi_g_1_1000_mean,BiBBS_Geographic.bibbs_geog_ndvi_longitudinal,BiBBS_Geographic,bibbs_geog_ndvi_longitudinal,gg_2017_ndvi_g_1_1000_mean,"Mean NDVI within 100m circular buffer of home address, 2017 USGS",float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_ndvi_longitudinal.gg_2017_ndvi_g_1_1500_mean,BiBBS_Geographic.bibbs_geog_ndvi_longitudinal,BiBBS_Geographic,bibbs_geog_ndvi_longitudinal,gg_2017_ndvi_g_1_1500_mean,"Mean NDVI within 1500m circular buffer of home address, 2017 USGS",float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_ndvi_longitudinal.gg_2017_ndvi_g_1_2000_mean,BiBBS_Geographic.bibbs_geog_ndvi_longitudinal,BiBBS_Geographic,bibbs_geog_ndvi_longitudinal,gg_2017_ndvi_g_1_2000_mean,"Mean NDVI within 2000m circular buffer of home address, 2017 USGS",float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_ndvi_longitudinal.gg_2017_ndvi_g_1_300_mean,BiBBS_Geographic.bibbs_geog_ndvi_longitudinal,BiBBS_Geographic,bibbs_geog_ndvi_longitudinal,gg_2017_ndvi_g_1_300_mean,"Mean NDVI within 300m circular buffer of home address, 2017 USGS",float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_ndvi_longitudinal.gg_2017_ndvi_g_1_500_mean,BiBBS_Geographic.bibbs_geog_ndvi_longitudinal,BiBBS_Geographic,bibbs_geog_ndvi_longitudinal,gg_2017_ndvi_g_1_500_mean,"Mean NDVI within 500m circular buffer of home address, 2017 USGS",float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_ndvi_longitudinal.gg_2018_ndvi_g_1_100_mean,BiBBS_Geographic.bibbs_geog_ndvi_longitudinal,BiBBS_Geographic,bibbs_geog_ndvi_longitudinal,gg_2018_ndvi_g_1_100_mean,"Mean NDVI within 100m circular buffer of home address, 2018 USGS",float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_ndvi_longitudinal.gg_2018_ndvi_g_1_1000_mean,BiBBS_Geographic.bibbs_geog_ndvi_longitudinal,BiBBS_Geographic,bibbs_geog_ndvi_longitudinal,gg_2018_ndvi_g_1_1000_mean,"Mean NDVI within 100m circular buffer of home address, 2018 USGS",float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_ndvi_longitudinal.gg_2018_ndvi_g_1_1500_mean,BiBBS_Geographic.bibbs_geog_ndvi_longitudinal,BiBBS_Geographic,bibbs_geog_ndvi_longitudinal,gg_2018_ndvi_g_1_1500_mean,"Mean NDVI within 1500m circular buffer of home address, 2018 USGS",float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_ndvi_longitudinal.gg_2018_ndvi_g_1_2000_mean,BiBBS_Geographic.bibbs_geog_ndvi_longitudinal,BiBBS_Geographic,bibbs_geog_ndvi_longitudinal,gg_2018_ndvi_g_1_2000_mean,"Mean NDVI within 2000m circular buffer of home address, 2018 USGS",float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_ndvi_longitudinal.gg_2018_ndvi_g_1_300_mean,BiBBS_Geographic.bibbs_geog_ndvi_longitudinal,BiBBS_Geographic,bibbs_geog_ndvi_longitudinal,gg_2018_ndvi_g_1_300_mean,"Mean NDVI within 300m circular buffer of home address, 2018 USGS",float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_ndvi_longitudinal.gg_2018_ndvi_g_1_500_mean,BiBBS_Geographic.bibbs_geog_ndvi_longitudinal,BiBBS_Geographic,bibbs_geog_ndvi_longitudinal,gg_2018_ndvi_g_1_500_mean,"Mean NDVI within 500m circular buffer of home address, 2018 USGS",float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_ndvi_longitudinal.gg_2019_ndvi_g_1_100_mean,BiBBS_Geographic.bibbs_geog_ndvi_longitudinal,BiBBS_Geographic,bibbs_geog_ndvi_longitudinal,gg_2019_ndvi_g_1_100_mean,"Mean NDVI within 100m circular buffer of home address, 2019 USGS",float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_ndvi_longitudinal.gg_2019_ndvi_g_1_1000_mean,BiBBS_Geographic.bibbs_geog_ndvi_longitudinal,BiBBS_Geographic,bibbs_geog_ndvi_longitudinal,gg_2019_ndvi_g_1_1000_mean,"Mean NDVI within 100m circular buffer of home address, 2019 USGS",float,,environmental_exposure,5819,5819
