project,table,variable
BiBBS_Geographic,bibbs_geog_property,property_id
BiBBS_Geographic,bibbs_geog_property,UPRN
BiBBS_Geographic,bibbs_geog_property,x_coordinate_bng
BiBBS_Geographic,bibbs_geog_property,y_coordinate_bng
BiBBS_Geographic,bibbs_geog_property,x_coordinate_wgs84
BiBBS_Geographic,bibbs_geog_property,y_coordinate_wgs84
BiBBS_Geographic,bibbs_geog_property,postcode
BiBBS_Geographic,bibbs_geog_property,LSOA11CD
BiBBS_Geographic,bibbs_geog_property,WD21CD
BiBBS_Geographic,bibbs_geog_property,property_type
BiBBS_Geographic,bibbs_geog_property,is_in_bfd_la
BiBBS_Geographic,bibbs_geog_property,is_in_bibbs_area
BiBBS_Geographic,bibbs_geog_property,is_in_caz
