variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiBBS_Geographic.bibbs_geog_public_transport_traffic.property_id,BiBBS_Geographic.bibbs_geog_public_transport_traffic,BiBBS_Geographic,bibbs_geog_public_transport_traffic,property_id,Unique ID of property (BiB generated),text,,,6531,6531
BiBBS_Geographic.bibbs_geog_public_transport_traffic.pt_2021_air_count_e_4_0_001,BiBBS_Geographic.bibbs_geog_public_transport_traffic,BiBBS_Geographic,bibbs_geog_public_transport_traffic,pt_2021_air_count_e_4_0_001,Distance decay weighted (0.001) count of airports,float,,environmental_exposure,435,435
BiBBS_Geographic.bibbs_geog_public_transport_traffic.pt_2021_air_count_e_4_0_003,BiBBS_Geographic.bibbs_geog_public_transport_traffic,BiBBS_Geographic,bibbs_geog_public_transport_traffic,pt_2021_air_count_e_4_0_003,Distance decay weighted (0.003) count of airports,float,,environmental_exposure,435,435
BiBBS_Geographic.bibbs_geog_public_transport_traffic.pt_2021_air_count_e_4_0_005,BiBBS_Geographic.bibbs_geog_public_transport_traffic,BiBBS_Geographic,bibbs_geog_public_transport_traffic,pt_2021_air_count_e_4_0_005,Distance decay weighted (0.005) count of airports,float,,environmental_exposure,435,435
BiBBS_Geographic.bibbs_geog_public_transport_traffic.pt_2021_air_count_e_4_0_007,BiBBS_Geographic.bibbs_geog_public_transport_traffic,BiBBS_Geographic,bibbs_geog_public_transport_traffic,pt_2021_air_count_e_4_0_007,Distance decay weighted (0.007) count of airports,float,,environmental_exposure,435,435
BiBBS_Geographic.bibbs_geog_public_transport_traffic.pt_2021_air_count_e_4_0_01,BiBBS_Geographic.bibbs_geog_public_transport_traffic,BiBBS_Geographic,bibbs_geog_public_transport_traffic,pt_2021_air_count_e_4_0_01,Distance decay weighted (0.01) count of airports,float,,environmental_exposure,435,435
BiBBS_Geographic.bibbs_geog_public_transport_traffic.pt_2021_air_count_f_2_300,BiBBS_Geographic.bibbs_geog_public_transport_traffic,BiBBS_Geographic,bibbs_geog_public_transport_traffic,pt_2021_air_count_f_2_300,Count of airports within street network 300m,integer,,environmental_exposure,435,435
BiBBS_Geographic.bibbs_geog_public_transport_traffic.pt_2021_air_count_f_2500,BiBBS_Geographic.bibbs_geog_public_transport_traffic,BiBBS_Geographic,bibbs_geog_public_transport_traffic,pt_2021_air_count_f_2500,Count of airports within street network of 500m,integer,,environmental_exposure,435,435
BiBBS_Geographic.bibbs_geog_public_transport_traffic.pt_2021_air_count_f_2_1000,BiBBS_Geographic.bibbs_geog_public_transport_traffic,BiBBS_Geographic,bibbs_geog_public_transport_traffic,pt_2021_air_count_f_2_1000,Count of airports within street network of 1000m,integer,,environmental_exposure,435,435
BiBBS_Geographic.bibbs_geog_public_transport_traffic.pt_2021_air_count_f_2_2000,BiBBS_Geographic.bibbs_geog_public_transport_traffic,BiBBS_Geographic,bibbs_geog_public_transport_traffic,pt_2021_air_count_f_2_2000,Count of airports within street network of 2000m,integer,,environmental_exposure,435,435
BiBBS_Geographic.bibbs_geog_public_transport_traffic.pt_2021_air_distance_f_2_mean,BiBBS_Geographic.bibbs_geog_public_transport_traffic,BiBBS_Geographic,bibbs_geog_public_transport_traffic,pt_2021_air_distance_f_2_mean,Mean distance to all airports,float,,environmental_exposure,435,435
BiBBS_Geographic.bibbs_geog_public_transport_traffic.pt_2021_air_closest_d_2,BiBBS_Geographic.bibbs_geog_public_transport_traffic,BiBBS_Geographic,bibbs_geog_public_transport_traffic,pt_2021_air_closest_d_2,Distance to closest airport in meters,float,,environmental_exposure,435,435
