variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiBBS_Geographic.bibbs_geog_sc_walkability_lu.property_id,BiBBS_Geographic.bibbs_geog_sc_walkability_lu,BiBBS_Geographic,bibbs_geog_sc_walkability_lu,property_id,Unique ID of property (BiB generated),text,,,6531,6531
BiBBS_Geographic.bibbs_geog_sc_walkability_lu.sc_2021_btwn_r500_f32_300_max,BiBBS_Geographic.bibbs_geog_sc_walkability_lu,BiBBS_Geographic,bibbs_geog_sc_walkability_lu,sc_2021_btwn_r500_f32_300_max,Max value of angular betweenness centrality (r500m) within street network 300m,float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_sc_walkability_lu.sc_2021_btwn_r1000_f32_300_max,BiBBS_Geographic.bibbs_geog_sc_walkability_lu,BiBBS_Geographic,bibbs_geog_sc_walkability_lu,sc_2021_btwn_r1000_f32_300_max,Max value of angular betweenness centrality (r1000m) within street network 300m,float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_sc_walkability_lu.sc_2021_btwn_r1500_f32_300_max,BiBBS_Geographic.bibbs_geog_sc_walkability_lu,BiBBS_Geographic,bibbs_geog_sc_walkability_lu,sc_2021_btwn_r1500_f32_300_max,Max value of angular betweenness centrality (r1500m) within street network 300m,float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_sc_walkability_lu.sc_2021_btwn_r2000_f32_300_max,BiBBS_Geographic.bibbs_geog_sc_walkability_lu,BiBBS_Geographic,bibbs_geog_sc_walkability_lu,sc_2021_btwn_r2000_f32_300_max,Max value of angular betweenness centrality (r2000m) within street network 300m,float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_sc_walkability_lu.sc_2021_close_r500_f32_300_max,BiBBS_Geographic.bibbs_geog_sc_walkability_lu,BiBBS_Geographic,bibbs_geog_sc_walkability_lu,sc_2021_close_r500_f32_300_max,Max value of angular closeness centrality (r500m) within street network 300m,float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_sc_walkability_lu.sc_2021_close_r1000_f32_300_max,BiBBS_Geographic.bibbs_geog_sc_walkability_lu,BiBBS_Geographic,bibbs_geog_sc_walkability_lu,sc_2021_close_r1000_f32_300_max,Max value of angular closeness centrality (r1000m) within street network 300m,float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_sc_walkability_lu.sc_2021_close_r1500_f32_300_max,BiBBS_Geographic.bibbs_geog_sc_walkability_lu,BiBBS_Geographic,bibbs_geog_sc_walkability_lu,sc_2021_close_r1500_f32_300_max,Max value of angular closeness centrality (r1500m) within street network 300m,float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_sc_walkability_lu.sc_2021_close_r2000_f32_300_max,BiBBS_Geographic.bibbs_geog_sc_walkability_lu,BiBBS_Geographic,bibbs_geog_sc_walkability_lu,sc_2021_close_r2000_f32_300_max,Max value of angular closeness centrality (r2000m) within street network 300m,float,,environmental_exposure,5819,5819
BiBBS_Geographic.bibbs_geog_sc_walkability_lu.sc_2021_btwn_r500_f32_300_mean,BiBBS_Geographic.bibbs_geog_sc_walkability_lu,BiBBS_Geographic,bibbs_geog_sc_walkability_lu,sc_2021_btwn_r500_f32_300_mean,Mean value of angular betweenness centrality (r500m) within street network 300m,float,,environmental_exposure,5819,5819
