variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
BiBBS_Geographic.bibbs_geog_person.PersonID,BiBBS_Geographic.bibbs_geog_person,BiBBS_Geographic,bibbs_geog_person,PersonID,,text,,,83426,9432
BiBBS_Geographic.bibbs_geog_person.ParticipantType,BiBBS_Geographic.bibbs_geog_person,BiBBS_Geographic,bibbs_geog_person,ParticipantType,Participants relationship in the family,text,,administration,83426,9432
BiBBS_Geographic.bibbs_geog_person.age_m,BiBBS_Geographic.bibbs_geog_person,BiBBS_Geographic,bibbs_geog_person,age_m,Participants actual age (months),integer,,age,83426,9432
BiBBS_Geographic.bibbs_geog_person.age_closest_data_point,BiBBS_Geographic.bibbs_geog_person,BiBBS_Geographic,bibbs_geog_person,age_closest_data_point,Age at latest available address data (months),integer,,age,77972,9127
BiBBS_Geographic.bibbs_geog_person.date,BiBBS_Geographic.bibbs_geog_person,BiBBS_Geographic,bibbs_geog_person,date,Date at 6m period,date,,administration,83426,9432
BiBBS_Geographic.bibbs_geog_person.date_address_data_received,BiBBS_Geographic.bibbs_geog_person,BiBBS_Geographic,bibbs_geog_person,date_address_data_received,Date of latest available address data for this time point,date,,administration,77972,9127
BiBBS_Geographic.bibbs_geog_person.months_to_closest_data_received,BiBBS_Geographic.bibbs_geog_person,BiBBS_Geographic,bibbs_geog_person,months_to_closest_data_received,Time (months) to most recently received address data,integer,,administration,77972,9127
BiBBS_Geographic.bibbs_geog_person.property_id,BiBBS_Geographic.bibbs_geog_person,BiBBS_Geographic,bibbs_geog_person,property_id,Unique ID of property (BiB generated),text,,administration,83426,9432
BiBBS_Geographic.bibbs_geog_person.move_no,BiBBS_Geographic.bibbs_geog_person,BiBBS_Geographic,bibbs_geog_person,move_no,Cumulative number of times participant moved house including current data point,integer,,administration,83193,9364
BiBBS_Geographic.bibbs_geog_person.total_moves,BiBBS_Geographic.bibbs_geog_person,BiBBS_Geographic,bibbs_geog_person,total_moves,Total number of times participant has moved house within BiB study period,integer,,administration,83193,9364
