variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
COVID19_Survey.adult_bib_phase2.BiBPersonID,COVID19_Survey.adult_bib_phase2,COVID19_Survey,adult_bib_phase2,BiBPersonID,BiB ID,text,,,631,631
COVID19_Survey.adult_bib_phase2.Cohort,COVID19_Survey.adult_bib_phase2,COVID19_Survey,adult_bib_phase2,Cohort,Cohort,categorical,[1 BiB] [2 Better Start],administration_cv19,631,631
COVID19_Survey.adult_bib_phase2.Date,COVID19_Survey.adult_bib_phase2,COVID19_Survey,adult_bib_phase2,Date,Date of completion,date,,administration_cv19,631,631
COVID19_Survey.adult_bib_phase2.age_months,COVID19_Survey.adult_bib_phase2,COVID19_Survey,adult_bib_phase2,age_months,Age in months,integer,,demographics_cv19,631,631
COVID19_Survey.adult_bib_phase2.age_years,COVID19_Survey.adult_bib_phase2,COVID19_Survey,adult_bib_phase2,age_years,Age in years,integer,,demographics_cv19,631,631
COVID19_Survey.adult_bib_phase2.Gender,COVID19_Survey.adult_bib_phase2,COVID19_Survey,adult_bib_phase2,Gender,Gender,categorical,[1 Female] [2 Male],demographics_cv19,631,631
COVID19_Survey.adult_bib_phase2.ethnicity_mother_bib,COVID19_Survey.adult_bib_phase2,COVID19_Survey,adult_bib_phase2,ethnicity_mother_bib,Ethnic group (mother) BiB coding,categorical,[1 White British] [2 Pakistani] [3 Other],demographics_cv19,578,578
COVID19_Survey.adult_bib_phase2.ethnicity_father,COVID19_Survey.adult_bib_phase2,COVID19_Survey,adult_bib_phase2,ethnicity_father,Ethnic group (father),categorical,[1 White] [2 Mixed] [3 Black/Black British] [4 Asian/Asian British] [5 Chinese] [6 Other],demographics_cv19,34,34
COVID19_Survey.adult_bib_phase2.lsoacode,COVID19_Survey.adult_bib_phase2,COVID19_Survey,adult_bib_phase2,lsoacode,LSOA code (2011),text,,demographics_cv19,631,631
COVID19_Survey.adult_bib_phase2.ward,COVID19_Survey.adult_bib_phase2,COVID19_Survey,adult_bib_phase2,ward,Ward,text,,demographics_cv19,631,631
COVID19_Survey.adult_bib_phase2.imdrank,COVID19_Survey.adult_bib_phase2,COVID19_Survey,adult_bib_phase2,imdrank,Index of Multiple Deprivation Rank (1 = most deprived),integer,,employment_and_income_cv19,594,594
COVID19_Survey.adult_bib_phase2.imddecile,COVID19_Survey.adult_bib_phase2,COVID19_Survey,adult_bib_phase2,imddecile,Index of Multiple Deprivation Decile (1 = most deprived),integer,,employment_and_income_cv19,594,594
COVID19_Survey.adult_bib_phase2.imdquintile,COVID19_Survey.adult_bib_phase2,COVID19_Survey,adult_bib_phase2,imdquintile,Index of Multiple Deprivation Quintile (1 = most deprived),integer,,employment_and_income_cv19,594,594
COVID19_Survey.adult_bib_phase2.c19a2_yn_satf,COVID19_Survey.adult_bib_phase2,COVID19_Survey,adult_bib_phase2,c19a2_yn_satf,1) How satisfied or dissatisfied are you with the area you live in?             ,categorical,[1 1 = Very dissatisfied] [2 2] [3 3] [4 4] [5 5 = Very satisfied],housing_and_local_environment_cv19,629,629
COVID19_Survey.adult_bib_phase2.c19a2_yn_grnspce_satf,COVID19_Survey.adult_bib_phase2,COVID19_Survey,adult_bib_phase2,c19a2_yn_grnspce_satf,2) How satisfied or dissatisfied are you with the parks and green spaces in your,categorical,[1 1 = Very dissatisfied] [2 2] [3 3] [4 4] [5 5 = Very satisfied],housing_and_local_environment_cv19,620,620
COVID19_Survey.adult_bib_phase2.c19a2_yn_outdr_wint,COVID19_Survey.adult_bib_phase2,COVID19_Survey,adult_bib_phase2,c19a2_yn_outdr_wint,During the winter months (September-March),categorical,[0 5 times a week or more] [1 2 to 4 times a week] [2 Once a week] [3 1 to 3 times a month] [4 Less than once a month],housing_and_local_environment_cv19,623,623
COVID19_Survey.adult_bib_phase2.c19a2_yn_outdr_spr_sum,COVID19_Survey.adult_bib_phase2,COVID19_Survey,adult_bib_phase2,c19a2_yn_outdr_spr_sum,During the spring and summer months (April-August),categorical,[0 5 times a week or more] [1 2 to 4 times a week] [2 Once a week] [3 1 to 3 times a month] [4 Less than once a month],housing_and_local_environment_cv19,622,622
COVID19_Survey.adult_bib_phase2.c19a2_yn_othrs_area,COVID19_Survey.adult_bib_phase2,COVID19_Survey,adult_bib_phase2,c19a2_yn_othrs_area,"4) Thinking about your neighbourhood, to what extent do you agree with this stat",categorical,[1 Strongly agree] [2 Agree] [3 Neither agree nor disagree] [4 Disagree] [5 Strongly disagree],housing_and_local_environment_cv19,627,627
COVID19_Survey.adult_bib_phase2.c19a2_yn_outdr_ch,COVID19_Survey.adult_bib_phase2,COVID19_Survey,adult_bib_phase2,c19a2_yn_outdr_ch,5) Do children in your area have an outdoor space or facilities nearby where the,categorical,[0 No] [1 Yes],housing_and_local_environment_cv19,628,628
COVID19_Survey.adult_bib_phase2.c19a2_yn_neighbrhd_ch,COVID19_Survey.adult_bib_phase2,COVID19_Survey,adult_bib_phase2,c19a2_yn_neighbrhd_ch,6) How would you rate your neighbourhood as a place to bring up children?,categorical,[1 Excellent] [2 Very good] [3 Good] [4 Fair] [5 Poor],housing_and_local_environment_cv19,629,629
COVID19_Survey.adult_bib_phase2.c19a2_yn_sfe_day,COVID19_Survey.adult_bib_phase2,COVID19_Survey,adult_bib_phase2,c19a2_yn_sfe_day,During the day,categorical,[1 Very safe] [2 Fairly safe] [3 Neither safe or unsafe] [4 Fairly unsafe] [5 Very unsafe],housing_and_local_environment_cv19,626,626
COVID19_Survey.adult_bib_phase2.c19a2_yn_sfe_ngt,COVID19_Survey.adult_bib_phase2,COVID19_Survey,adult_bib_phase2,c19a2_yn_sfe_ngt,After dark,categorical,[1 Very safe] [2 Fairly safe] [3 Neither safe or unsafe] [4 Fairly unsafe] [5 Very unsafe],housing_and_local_environment_cv19,612,612
COVID19_Survey.adult_bib_phase2.c19a2_yn_ppl_trst,COVID19_Survey.adult_bib_phase2,COVID19_Survey,adult_bib_phase2,c19a2_yn_ppl_trst,"8) Generally speaking, would you say that most people can be trusted or you cant",categorical,[-2 Dont know] [1 Can be trusted] [2 Cant be too careful],family_and_social_networks_cv19,623,623
COVID19_Survey.adult_bib_phase2.c19a2_ymb_disc_rr,COVID19_Survey.adult_bib_phase2,COVID19_Survey,adult_bib_phase2,c19a2_ymb_disc_rr,9) How often do you personally feel discriminated against because of your race o,categorical,[-2 Dont know] [1 Never] [2 Rarely] [3 Sometimes] [4 Often] [5 Do not wish to answer],family_and_social_networks_cv19,624,624
COVID19_Survey.adult_bib_phase2.c19a2_ymb_disc_cv,COVID19_Survey.adult_bib_phase2,COVID19_Survey,adult_bib_phase2,c19a2_ymb_disc_cv,10) Since the Covid-19 pandemic do you feel discriminated against...,categorical,[1 Less often] [2 About the same] [3 More often],family_and_social_networks_cv19,582,582
