project,table,variable
COVID19_Survey,adult_bib_phase2,BiBPersonID
COVID19_Survey,adult_bib_phase2,Cohort
COVID19_Survey,adult_bib_phase2,Date
COVID19_Survey,adult_bib_phase2,age_months
COVID19_Survey,adult_bib_phase2,age_years
COVID19_Survey,adult_bib_phase2,Gender
COVID19_Survey,adult_bib_phase2,ethnicity_mother_bib
COVID19_Survey,adult_bib_phase2,ethnicity_father
COVID19_Survey,adult_bib_phase2,lsoacode
COVID19_Survey,adult_bib_phase2,ward
COVID19_Survey,adult_bib_phase2,imdrank
COVID19_Survey,adult_bib_phase2,imddecile
COVID19_Survey,adult_bib_phase2,imdquintile
COVID19_Survey,adult_bib_phase2,c19a2_yn_satf
COVID19_Survey,adult_bib_phase2,c19a2_yn_grnspce_satf
COVID19_Survey,adult_bib_phase2,c19a2_yn_outdr_wint
COVID19_Survey,adult_bib_phase2,c19a2_yn_outdr_spr_sum
COVID19_Survey,adult_bib_phase2,c19a2_yn_othrs_area
COVID19_Survey,adult_bib_phase2,c19a2_yn_outdr_ch
COVID19_Survey,adult_bib_phase2,c19a2_yn_neighbrhd_ch
COVID19_Survey,adult_bib_phase2,c19a2_yn_sfe_day
COVID19_Survey,adult_bib_phase2,c19a2_yn_sfe_ngt
COVID19_Survey,adult_bib_phase2,c19a2_yn_ppl_trst
COVID19_Survey,adult_bib_phase2,c19a2_ymb_disc_rr
COVID19_Survey,adult_bib_phase2,c19a2_ymb_disc_cv
COVID19_Survey,adult_bib_phase2,ywb_pplcount_c19a2
COVID19_Survey,adult_bib_phase2,ywb_pplcount_lcl_c19a2
COVID19_Survey,adult_bib_phase2,ywb_help_c19a2
COVID19_Survey,adult_bib_phase2,ywb_lonely_c19a2
COVID19_Survey,adult_bib_phase2,fl_suprtlearn_c19a2
COVID19_Survey,adult_bib_phase2,fl_skillsprnt_c19a2
COVID19_Survey,adult_bib_phase2,ywb_relshipq_c19a2
COVID19_Survey,adult_bib_phase2,c19a2_jsbc_covid___1
COVID19_Survey,adult_bib_phase2,c19a2_jsbc_covid___2
COVID19_Survey,adult_bib_phase2,c19a2_jsbc_covid___3
COVID19_Survey,adult_bib_phase2,jbsc_main_c19a2
COVID19_Survey,adult_bib_phase2,jbsc_main_crntly_c19a2
COVID19_Survey,adult_bib_phase2,jbsc_main_hmwfh_c19a2
COVID19_Survey,adult_bib_phase2,c19a2_jsbc_main_fur
COVID19_Survey,adult_bib_phase2,jbsc_main_wry_1_c19a2
COVID19_Survey,adult_bib_phase2,jbsc_main_wry_2_c19a2
COVID19_Survey,adult_bib_phase2,jbsc_main_wry_3_c19a2
COVID19_Survey,adult_bib_phase2,hhe_ddntlast_c19a2
COVID19_Survey,adult_bib_phase2,hhe_balancd_c19a2
COVID19_Survey,adult_bib_phase2,hhe_skip_c19a2
COVID19_Survey,adult_bib_phase2,c19a2_hhe_skipoftn_rev_1
