project,table,variable
COVID19_Survey,adult_bibbs_phase2,BiBBSPersonID
COVID19_Survey,adult_bibbs_phase2,Cohort
COVID19_Survey,adult_bibbs_phase2,Date
COVID19_Survey,adult_bibbs_phase2,Gender
COVID19_Survey,adult_bibbs_phase2,age_in_years
COVID19_Survey,adult_bibbs_phase2,ethnicity_mother_bibbs
COVID19_Survey,adult_bibbs_phase2,lsoacode
COVID19_Survey,adult_bibbs_phase2,ward
COVID19_Survey,adult_bibbs_phase2,imdrank
COVID19_Survey,adult_bibbs_phase2,imdquintile
COVID19_Survey,adult_bibbs_phase2,c19b2_yn_satf
COVID19_Survey,adult_bibbs_phase2,c19b2_yn_grnspce_satf
COVID19_Survey,adult_bibbs_phase2,c19b2_yn_outdr_wint
COVID19_Survey,adult_bibbs_phase2,c19b2_yn_outdr_spr_sum
COVID19_Survey,adult_bibbs_phase2,c19b2_yn_othrs_area
COVID19_Survey,adult_bibbs_phase2,c19b2_yn_outdr_ch
COVID19_Survey,adult_bibbs_phase2,c19b2_yn_neighbrhd_ch
COVID19_Survey,adult_bibbs_phase2,c19b2_yn_sfe_day
COVID19_Survey,adult_bibbs_phase2,c19b2_yn_sfe_ngt
COVID19_Survey,adult_bibbs_phase2,c19b2_yn_ppl_trst
COVID19_Survey,adult_bibbs_phase2,c19b2_ymb_disc_rr
COVID19_Survey,adult_bibbs_phase2,c19b2_ymb_disc_cv
COVID19_Survey,adult_bibbs_phase2,ywb_pplcount_c19b2
COVID19_Survey,adult_bibbs_phase2,ywb_pplcount_lcl_c19b2
COVID19_Survey,adult_bibbs_phase2,ywb_help_c19b2
COVID19_Survey,adult_bibbs_phase2,ywb_lonely_c19b2
COVID19_Survey,adult_bibbs_phase2,ywb_relshipq_c19b2
COVID19_Survey,adult_bibbs_phase2,c19b2_yn_wemwbs_1
COVID19_Survey,adult_bibbs_phase2,c19b2_yn_wemwbs_2
COVID19_Survey,adult_bibbs_phase2,c19b2_yn_wemwbs_3
COVID19_Survey,adult_bibbs_phase2,c19b2_yn_wemwbs_4
COVID19_Survey,adult_bibbs_phase2,c19b2_yn_wemwbs_5
COVID19_Survey,adult_bibbs_phase2,c19b2_yn_wemwbs_6
COVID19_Survey,adult_bibbs_phase2,c19b2_yn_wemwbs_7
COVID19_Survey,adult_bibbs_phase2,c19b2_yn_wemwbs_8
COVID19_Survey,adult_bibbs_phase2,c19b2_yn_wemwbs_9
COVID19_Survey,adult_bibbs_phase2,c19b2_yn_wemwbs_10
COVID19_Survey,adult_bibbs_phase2,c19b2_yn_wemwbs_11
COVID19_Survey,adult_bibbs_phase2,c19b2_yn_wemwbs_12
COVID19_Survey,adult_bibbs_phase2,c19b2_yn_wemwbs_13
COVID19_Survey,adult_bibbs_phase2,c19b2_yn_wemwbs_14
COVID19_Survey,adult_bibbs_phase2,c19b2_jsbc_covid___1
COVID19_Survey,adult_bibbs_phase2,c19b2_jsbc_covid___2
COVID19_Survey,adult_bibbs_phase2,c19b2_jsbc_covid___3
COVID19_Survey,adult_bibbs_phase2,jbsc_main_c19b2
COVID19_Survey,adult_bibbs_phase2,jbsc_main_crntly_c19b2_rev1
COVID19_Survey,adult_bibbs_phase2,jbsc_main_hmwfh_c19b2_rev1
COVID19_Survey,adult_bibbs_phase2,c19b2_jsbc_main_fur
COVID19_Survey,adult_bibbs_phase2,jbsc_main_wry_1_c19b2
COVID19_Survey,adult_bibbs_phase2,jbsc_main_wry_2_c19b2
COVID19_Survey,adult_bibbs_phase2,jbsc_main_wry_3_c19b2
COVID19_Survey,adult_bibbs_phase2,hhe_ddntlast_c19b2
COVID19_Survey,adult_bibbs_phase2,hhe_balancd_c19b2
COVID19_Survey,adult_bibbs_phase2,hhe_skip_c19b2
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_skipoftn_rev1
COVID19_Survey,adult_bibbs_phase2,hhe_eatless_c19b2
COVID19_Survey,adult_bibbs_phase2,hhe_food_dsc_c19b2
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_bnk___0
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_bnk___1
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_bnk___2
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_sch___0
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_sch___1
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_sch___2
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_comm___0
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_comm___1
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_comm___2
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_bfd___0
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_bfd___1
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_bfd___2
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_mow___0
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_mow___1
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_mow___2
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_fai___0
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_fai___1
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_fai___2
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_fri___0
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_fri___1
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_fri___2
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_fam___0
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_fam___1
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_fam___2
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_oth___0
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_oth___1
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_oth___2
COVID19_Survey,adult_bibbs_phase2,c19b2_hhe_fd_othexp
COVID19_Survey,adult_bibbs_phase2,hhe_finannow_c19b2
COVID19_Survey,adult_bibbs_phase2,hhe_bills_c19b2
COVID19_Survey,adult_bibbs_phase2,hhe_wrypay_c19b2
COVID19_Survey,adult_bibbs_phase2,hhe_wryevic_c19b2
COVID19_Survey,adult_bibbs_phase2,fh_genhealth_c19b2
COVID19_Survey,adult_bibbs_phase2,fl_physact_c19b2
COVID19_Survey,adult_bibbs_phase2,fl_physact_outdr_c19b2
COVID19_Survey,adult_bibbs_phase2,fl_sleephrs_c19b2
COVID19_Survey,adult_bibbs_phase2,c19b2_fh_eq5d_mob
COVID19_Survey,adult_bibbs_phase2,c19b2_fh_eq5d_selfcare
COVID19_Survey,adult_bibbs_phase2,c19b2_fh_eq5d_act
COVID19_Survey,adult_bibbs_phase2,c19b2_fh_eq5d_pain_disc
COVID19_Survey,adult_bibbs_phase2,c19b2_fh_eq5d_anx_dep
COVID19_Survey,adult_bibbs_phase2,c19b2_hw_cv_act_lvehome
COVID19_Survey,adult_bibbs_phase2,c19b2_hw_cv_shop
COVID19_Survey,adult_bibbs_phase2,c19b2_hw_cv_act_prk_grn
COVID19_Survey,adult_bibbs_phase2,c19b2_hw_cv_act_rstrnt
COVID19_Survey,adult_bibbs_phase2,c19b2_hw_cv_act_meet
COVID19_Survey,adult_bibbs_phase2,c19b2_hw_cv_act_wrk
COVID19_Survey,adult_bibbs_phase2,c19b2_hw_cv_act_chsch
COVID19_Survey,adult_bibbs_phase2,c19b2_fh_feeling
COVID19_Survey,adult_bibbs_phase2,c19b2_cv_wt_flu
COVID19_Survey,adult_bibbs_phase2,c19b2_hw_cv_vac
COVID19_Survey,adult_bibbs_phase2,c19b2_hw_cv_vac_rsn
COVID19_Survey,adult_bibbs_phase2,c19b2_hw_cv_vac_ch
COVID19_Survey,adult_bibbs_phase2,c19b2_hw_cv_vac_ch_rsn
COVID19_Survey,adult_bibbs_phase2,fh_gad_1_c19b2
