variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
COVID19_Survey.adult_bibbs_phase3.PersonID,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,PersonID,Person ID,text,,,224,224
COVID19_Survey.adult_bibbs_phase3.bibbs_covid19_questi_v_0,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,bibbs_covid19_questi_v_0,Survey Timestamp,text,,administration_cv19,224,224
COVID19_Survey.adult_bibbs_phase3.date_id,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,date_id,Please write todays date,date,,administration_cv19,215,215
COVID19_Survey.adult_bibbs_phase3.age_months,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,age_months,Age (Months),integer,,demographics_cv19,220,220
COVID19_Survey.adult_bibbs_phase3.age_years,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,age_years,Age (Years),integer,,demographics_cv19,220,220
COVID19_Survey.adult_bibbs_phase3.c19b2_yn_satf,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,c19b2_yn_satf,1) How satisfied or dissatisfied are you with the area you live in?,categorical,[1 1 = Very dissatisfied] [2 2] [3 3] [4 4] [5 5 = Very satisfied],housing_and_local_environment_cv19,223,223
COVID19_Survey.adult_bibbs_phase3.c19b2_yn_grnspce_satf,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,c19b2_yn_grnspce_satf,2) How satisfied/dissatisfied with parks/green space in local area?,categorical,[1 1 = Very dissatisfied] [2 2] [3 3] [4 4] [5 5 = Very satisfied],housing_and_local_environment_cv19,221,221
COVID19_Survey.adult_bibbs_phase3.c19b2_yn_outdr_wint,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,c19b2_yn_outdr_wint,3) How often do you visit green spaces during winter months?,categorical,[0 5 times a week or more] [1 2 to 4 times a week] [2 Once a week] [3 1 to 3 times a month] [4 Less than once a month],housing_and_local_environment_cv19,223,223
COVID19_Survey.adult_bibbs_phase3.c19b2_yn_outdr_spr_sum,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,c19b2_yn_outdr_spr_sum,3) How often do you visit green spaces during summer months?,categorical,[0 5 times a week or more] [1 2 to 4 times a week] [2 Once a week] [3 1 to 3 times a month] [4 Less than once a month],housing_and_local_environment_cv19,218,218
COVID19_Survey.adult_bibbs_phase3.c19b2_yn_othrs_area,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,c19b2_yn_othrs_area,4) Other people think your neighbourhood is a good area,categorical,[1 Strongly disagree] [2 Disagree] [3 Neither agree nor disagree] [4 Agree] [5 Strongly agree],housing_and_local_environment_cv19,224,224
COVID19_Survey.adult_bibbs_phase3.c19b2_yn_outdr_ch,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,c19b2_yn_outdr_ch,5) Do children have nearby facilities they can play safely?,categorical,[-2 Dont know] [0 No] [1 Yes],housing_and_local_environment_cv19,224,224
COVID19_Survey.adult_bibbs_phase3.c19b2_yn_neighbrhd_ch,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,c19b2_yn_neighbrhd_ch,6) Rate your neighbourhood as a place to bring up children,categorical,[1 Excellent] [2 Very good] [3 Good] [4 Fair] [5 Poor],housing_and_local_environment_cv19,224,224
COVID19_Survey.adult_bibbs_phase3.c19b2_yn_sfe_day,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,c19b2_yn_sfe_day,7) How safe do you feel outside in your area during the day?,categorical,[1 Very safe] [2 Fairly safe] [3 Neither safe or unsafe] [4 Fairly unsafe] [5 Very unsafe],housing_and_local_environment_cv19,221,221
COVID19_Survey.adult_bibbs_phase3.c19b2_yn_sfe_ngt,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,c19b2_yn_sfe_ngt,7) How safe do you feel outside in your area after dark?,categorical,[1 Very safe] [2 Fairly safe] [3 Neither safe or unsafe] [4 Fairly unsafe] [5 Very unsafe],housing_and_local_environment_cv19,211,211
COVID19_Survey.adult_bibbs_phase3.c19b2_yn_wemwbs_1,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,c19b2_yn_wemwbs_1,8) I've been feeling optimistic about the future,categorical,[0 None of the time] [1 Rarely] [2 Some of the time] [3 Often] [4 All of the time],mental_health_and_mental_processes_cv19,222,222
COVID19_Survey.adult_bibbs_phase3.c19b2_yn_wemwbs_2,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,c19b2_yn_wemwbs_2,8) I've been feeling useful,categorical,[0 None of the time] [1 Rarely] [2 Some of the time] [3 Often] [4 All of the time],mental_health_and_mental_processes_cv19,219,219
COVID19_Survey.adult_bibbs_phase3.c19b2_yn_wemwbs_3,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,c19b2_yn_wemwbs_3,8) I've been feeling relaxed,categorical,[0 None of the time] [1 Rarely] [2 Some of the time] [3 Often] [4 All of the time],mental_health_and_mental_processes_cv19,222,222
COVID19_Survey.adult_bibbs_phase3.c19b2_yn_wemwbs_4,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,c19b2_yn_wemwbs_4,8) I've been feeling interested in other people,categorical,[0 None of the time] [1 Rarely] [2 Some of the time] [3 Often] [4 All of the time],mental_health_and_mental_processes_cv19,220,220
COVID19_Survey.adult_bibbs_phase3.c19b2_yn_wemwbs_5,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,c19b2_yn_wemwbs_5,8) I've had energy to spare,categorical,[0 None of the time] [1 Rarely] [2 Some of the time] [3 Often] [4 All of the time],mental_health_and_mental_processes_cv19,221,221
COVID19_Survey.adult_bibbs_phase3.c19b2_yn_wemwbs_6,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,c19b2_yn_wemwbs_6,8) I've been dealing with problems well,categorical,[0 None of the time] [1 Rarely] [2 Some of the time] [3 Often] [4 All of the time],mental_health_and_mental_processes_cv19,221,221
COVID19_Survey.adult_bibbs_phase3.c19b2_yn_wemwbs_7,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,c19b2_yn_wemwbs_7,8) I've been thinking clearly,categorical,[0 None of the time] [1 Rarely] [2 Some of the time] [3 Often] [4 All of the time],mental_health_and_mental_processes_cv19,223,223
COVID19_Survey.adult_bibbs_phase3.c19b2_yn_wemwbs_8,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,c19b2_yn_wemwbs_8,8) I've been feeling good about myself,categorical,[0 None of the time] [1 Rarely] [2 Some of the time] [3 Often] [4 All of the time],mental_health_and_mental_processes_cv19,222,222
COVID19_Survey.adult_bibbs_phase3.c19b2_yn_wemwbs_9,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,c19b2_yn_wemwbs_9,8) I've been feeling close to other people,categorical,[0 None of the time] [1 Rarely] [2 Some of the time] [3 Often] [4 All of the time],mental_health_and_mental_processes_cv19,220,220
COVID19_Survey.adult_bibbs_phase3.c19b2_yn_wemwbs_10,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,c19b2_yn_wemwbs_10,8) I've been feeling confident,categorical,[0 None of the time] [1 Rarely] [2 Some of the time] [3 Often] [4 All of the time],mental_health_and_mental_processes_cv19,221,221
COVID19_Survey.adult_bibbs_phase3.c19b2_yn_wemwbs_11,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,c19b2_yn_wemwbs_11,8) I've been able to make up my own mind about things,categorical,[0 None of the time] [1 Rarely] [2 Some of the time] [3 Often] [4 All of the time],mental_health_and_mental_processes_cv19,220,220
COVID19_Survey.adult_bibbs_phase3.c19b2_yn_wemwbs_12,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,c19b2_yn_wemwbs_12,8) I've been feeling loved,categorical,[0 None of the time] [1 Rarely] [2 Some of the time] [3 Often] [4 All of the time],mental_health_and_mental_processes_cv19,222,222
COVID19_Survey.adult_bibbs_phase3.c19b2_yn_wemwbs_13,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,c19b2_yn_wemwbs_13,8) I've been interested in new things,categorical,[0 None of the time] [1 Rarely] [2 Some of the time] [3 Often] [4 All of the time],mental_health_and_mental_processes_cv19,222,222
COVID19_Survey.adult_bibbs_phase3.c19b2_jsbc_covid___1,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,c19b2_jsbc_covid___1,9) Household member lost job since pandemic? (Me),categorical,[0 Unchecked] [1 Checked],employment_and_income_cv19,224,224
COVID19_Survey.adult_bibbs_phase3.c19b2_jsbc_covid___2,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,c19b2_jsbc_covid___2,9) Household member lost job since pandemic? (My partner),categorical,[0 Unchecked] [1 Checked],employment_and_income_cv19,224,224
COVID19_Survey.adult_bibbs_phase3.c19b2_jsbc_covid___3,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,c19b2_jsbc_covid___3,9) Household member lost job since pandemic? (Other),categorical,[0 Unchecked] [1 Checked],employment_and_income_cv19,224,224
COVID19_Survey.adult_bibbs_phase3.jbsc_main_c19b2,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,jbsc_main_c19b2,10) Who is the main earner in the household?,categorical,[1 Me] [2 My partner] [3 Other household member] [4 Me and my partner earn the same amount],employment_and_income_cv19,216,216
COVID19_Survey.adult_bibbs_phase3.jbsc_main_crntly_c19b2_rev1,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,jbsc_main_crntly_c19b2_rev1,11) Is the main earner in your household currently...,categorical,[-2 Dont know] [1 Employed] [2 Employed but not working (on furlough)] [3 Employed on the wage subsidy scheme (e.g. working less hours with wage topped up by the Government)] [4 Self employed and working] [5 Self employed and not working] [6 Unemployed],employment_and_income_cv19,217,217
COVID19_Survey.adult_bibbs_phase3.jbsc_main_hmwfh_c19b2_rev1,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,jbsc_main_hmwfh_c19b2_rev1,12) Main earner working from home/going out to work?,categorical,[1 Working from home] [2 Going out to work],employment_and_income_cv19,182,182
COVID19_Survey.adult_bibbs_phase3.jbsc_main_wry_1_c19b2,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,jbsc_main_wry_1_c19b2,13) I worry about the job security of main earner,categorical,[1 Strongly disagree] [2 Disagree] [3 Neither agree nor disagree] [4 Agree] [5 Strongly agree],employment_and_income_cv19,196,196
COVID19_Survey.adult_bibbs_phase3.jbsc_main_wry_3_c19b2,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,jbsc_main_wry_3_c19b2,"14) In 12m, do you expect main earner to still have job?",categorical,[-2 Dont know] [0 No] [1 Yes],employment_and_income_cv19,194,194
COVID19_Survey.adult_bibbs_phase3.hhe_ddntlast_c19b2,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,hhe_ddntlast_c19b2,"15) Food bought didn't last, didn't have money for more",categorical,[-2 Dont know] [-1 Do not wish to answer] [1 Never true] [2 Sometimes true] [3 Often true],employment_and_income_cv19,222,222
COVID19_Survey.adult_bibbs_phase3.hhe_balancd_c19b2,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,hhe_balancd_c19b2,15) I/we couldn't afford to eat balanced meals,categorical,[-2 Dont know] [-1 Do not wish to answer] [1 Never true] [2 Sometimes true] [3 Often true],employment_and_income_cv19,220,220
COVID19_Survey.adult_bibbs_phase3.hhe_skip_c19b2,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,hhe_skip_c19b2,16) Household skip/reduce meal size due to not enough money?,categorical,[-2 Dont know] [-1 Do not wish to answer] [0 No] [1 Yes],employment_and_income_cv19,223,223
COVID19_Survey.adult_bibbs_phase3.c19b2_hhe_skipoftn_rev1,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,c19b2_hhe_skipoftn_rev1,16) How often skip/reduce meal size?,categorical,[-2 Dont know] [-1 Do not wish to answer] [1 Less than once a month but a few times] [2 Not every week but at least once a month] [3 Every week],employment_and_income_cv19,36,36
COVID19_Survey.adult_bibbs_phase3.hhe_eatless_c19b2,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,hhe_eatless_c19b2,17) Household members eat less due to not enough money?,categorical,[-2 Dont know] [-1 Do not wish to answer] [0 No] [1 Yes],employment_and_income_cv19,221,221
COVID19_Survey.adult_bibbs_phase3.hhe_food_dsc_c19b2,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,hhe_food_dsc_c19b2,18) Hungry but didn't eat due to not enough money?,categorical,[-2 Dont know] [-1 Do not wish to answer] [0 No] [1 Yes],employment_and_income_cv19,222,222
COVID19_Survey.adult_bibbs_phase3.hhe_fd_bnk___0,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,hhe_fd_bnk___0,19) Food banks (Choice = Pre-pandemic),categorical,[0 Unchecked] [1 Checked],employment_and_income_cv19,224,224
COVID19_Survey.adult_bibbs_phase3.hhe_fd_bnk___1,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,hhe_fd_bnk___1,19) Food banks (Choice = During first lockdown),categorical,[0 Unchecked] [1 Checked],employment_and_income_cv19,224,224
COVID19_Survey.adult_bibbs_phase3.hhe_fd_bnk___2,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,hhe_fd_bnk___2,19) Food banks (Choice = During latest lockdown),categorical,[0 Unchecked] [1 Checked],employment_and_income_cv19,224,224
COVID19_Survey.adult_bibbs_phase3.hhe_fd_bnk___3,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,hhe_fd_bnk___3,19) Food banks (Choice = Now),categorical,[0 Unchecked] [1 Checked],employment_and_income_cv19,224,224
COVID19_Survey.adult_bibbs_phase3.hhe_fd_sch___0,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,hhe_fd_sch___0,19) Free food provided by schools (Pre-Pandemic),categorical,[0 Unchecked] [1 Checked],employment_and_income_cv19,224,224
COVID19_Survey.adult_bibbs_phase3.hhe_fd_sch___1,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,hhe_fd_sch___1,19) Free food provided by schools (During first lockdown),categorical,[0 Unchecked] [1 Checked],employment_and_income_cv19,224,224
COVID19_Survey.adult_bibbs_phase3.hhe_fd_sch___2,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,hhe_fd_sch___2,19) Free food provided by schools (During latest lockdown),categorical,[0 Unchecked] [1 Checked],employment_and_income_cv19,224,224
COVID19_Survey.adult_bibbs_phase3.hhe_fd_sch___3,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,hhe_fd_sch___3,19) Free food provided by schools (Now),categorical,[0 Unchecked] [1 Checked],employment_and_income_cv19,224,224
COVID19_Survey.adult_bibbs_phase3.hhe_fd_comm___0,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,hhe_fd_comm___0,19) Food provided by organisations (Pre-pandemic),categorical,[0 Unchecked] [1 Checked],employment_and_income_cv19,224,224
COVID19_Survey.adult_bibbs_phase3.hhe_fd_comm___1,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,hhe_fd_comm___1,19) Food provided by organisations (During first lockdown),categorical,[0 Unchecked] [1 Checked],employment_and_income_cv19,224,224
COVID19_Survey.adult_bibbs_phase3.hhe_fd_comm___2,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,hhe_fd_comm___2,19) Food provided by organisations (During latest lockdown),categorical,[0 Unchecked] [1 Checked],employment_and_income_cv19,224,224
COVID19_Survey.adult_bibbs_phase3.hhe_fd_comm___3,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,hhe_fd_comm___3,19) Food provided by organisations (Now),categorical,[0 Unchecked] [1 Checked],employment_and_income_cv19,224,224
COVID19_Survey.adult_bibbs_phase3.hhe_fd_fai___0,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,hhe_fd_fai___0,19) Food from faith-based organisations (Pre-pandemic),categorical,[0 Unchecked] [1 Checked],employment_and_income_cv19,224,224
COVID19_Survey.adult_bibbs_phase3.hhe_fd_fai___1,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,hhe_fd_fai___1,19) Food from faith-based organisations (During first lockdown),categorical,[0 Unchecked] [1 Checked],employment_and_income_cv19,224,224
COVID19_Survey.adult_bibbs_phase3.hhe_fd_fai___2,COVID19_Survey.adult_bibbs_phase3,COVID19_Survey,adult_bibbs_phase3,hhe_fd_fai___2,19) Food from faith-based organisations (During latest lockdown),categorical,[0 Unchecked] [1 Checked],employment_and_income_cv19,224,224
