variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
COVID19_Survey.adult_bibplus_phase3.BBRPersonID,COVID19_Survey.adult_bibplus_phase3,COVID19_Survey,adult_bibplus_phase3,BBRPersonID,,text,,administration_cv19,1954,1954
COVID19_Survey.adult_bibplus_phase3.GrowingUpID,COVID19_Survey.adult_bibplus_phase3,COVID19_Survey,adult_bibplus_phase3,GrowingUpID,Growing Up participant identifier,text,,administration_cv19,1954,1954
COVID19_Survey.adult_bibplus_phase3.BiBPersonID,COVID19_Survey.adult_bibplus_phase3,COVID19_Survey,adult_bibplus_phase3,BiBPersonID,BiB participant identifier,text,,administration_cv19,1954,1954
COVID19_Survey.adult_bibplus_phase3.ParticipantType,COVID19_Survey.adult_bibplus_phase3,COVID19_Survey,adult_bibplus_phase3,ParticipantType,Participant type,categorical,[1 General public] [2 Growing Up],administration_cv19,1954,1954
COVID19_Survey.adult_bibplus_phase3.QuestionnaireType,COVID19_Survey.adult_bibplus_phase3,COVID19_Survey,adult_bibplus_phase3,QuestionnaireType,Questionnaire type,categorical,[1 Paper] [2 Online],administration_cv19,1954,1954
COVID19_Survey.adult_bibplus_phase3.sex,COVID19_Survey.adult_bibplus_phase3,COVID19_Survey,adult_bibplus_phase3,sex,1.000000,categorical,[1 Male] [2 Female] [3 Prefer to use my own term] [4 Prefer not to say],demographics_cv19,1135,1135
COVID19_Survey.adult_bibplus_phase3.age,COVID19_Survey.adult_bibplus_phase3,COVID19_Survey,adult_bibplus_phase3,age,1.000000,categorical,[1 18-24] [2 25-34] [3 35-44] [4 45-54] [5 55-64] [6 65+] [7 Prefer not to say],demographics_cv19,1135,1135
COVID19_Survey.adult_bibplus_phase3.ethnicity,COVID19_Survey.adult_bibplus_phase3,COVID19_Survey,adult_bibplus_phase3,ethnicity,Ethnicity - 16 categories,categorical,"[1 English, Welsh, Scottish, Northern Irish or British] [2 Irish] [3 Any other White background] [4 White and Black Caribbean] [5 White and Black African] [6 White and Asian] [7 Any other Mixed background] [8 Indian] [9 Pakistani] [10 Bangladeshi] [11 Chinese] [12 Any other Asian background] [13 African] [14 Caribbean] [15 Other Black, African or Caribbean background] [16 Any other ethnic group]",demographics_cv19,1104,1104
COVID19_Survey.adult_bibplus_phase3.date,COVID19_Survey.adult_bibplus_phase3,COVID19_Survey,adult_bibplus_phase3,date,Todays date,date,,administration_cv19,1954,1954
COVID19_Survey.adult_bibplus_phase3.bre1_aq_bfd,COVID19_Survey.adult_bibplus_phase3,COVID19_Survey,adult_bibplus_phase3,bre1_aq_bfd,3) What do you think about the air quality in Bradford generally?,categorical,[1 Very Poor] [2 Poor] [3 Fair] [4 Good] [5 Excellent],housing_and_local_environment_cv19,1938,1938
