project,table,variable
COVID19_Survey,adult_bibplus_phase3,BBRPersonID
COVID19_Survey,adult_bibplus_phase3,GrowingUpID
COVID19_Survey,adult_bibplus_phase3,BiBPersonID
COVID19_Survey,adult_bibplus_phase3,ParticipantType
COVID19_Survey,adult_bibplus_phase3,QuestionnaireType
COVID19_Survey,adult_bibplus_phase3,sex
COVID19_Survey,adult_bibplus_phase3,age
COVID19_Survey,adult_bibplus_phase3,ethnicity
COVID19_Survey,adult_bibplus_phase3,date
COVID19_Survey,adult_bibplus_phase3,bre1_aq_bfd
COVID19_Survey,adult_bibplus_phase3,bre1_aq_uk
COVID19_Survey,adult_bibplus_phase3,bre1_aq_bfd_con
COVID19_Survey,adult_bibplus_phase3,bre1_aq_oth
COVID19_Survey,adult_bibplus_phase3,bre1_aq_imp
COVID19_Survey,adult_bibplus_phase3,bre1_aq_res___1
COVID19_Survey,adult_bibplus_phase3,bre1_aq_res___2
COVID19_Survey,adult_bibplus_phase3,bre1_aq_res___3
COVID19_Survey,adult_bibplus_phase3,bre1_aq_res___4
COVID19_Survey,adult_bibplus_phase3,bre1_aq_res___5
COVID19_Survey,adult_bibplus_phase3,bre1_aq_res___6
COVID19_Survey,adult_bibplus_phase3,bre1_aq_res_oth
COVID19_Survey,adult_bibplus_phase3,bre1_aq_pan
COVID19_Survey,adult_bibplus_phase3,bre1_caz_bfd
COVID19_Survey,adult_bibplus_phase3,bre1_caz_gi
COVID19_Survey,adult_bibplus_phase3,bre1_caz_pro
COVID19_Survey,adult_bibplus_phase3,bre1_caz_area
COVID19_Survey,adult_bibplus_phase3,bre1_caz_red
COVID19_Survey,adult_bibplus_phase3,bre1_caz_vhch_1
COVID19_Survey,adult_bibplus_phase3,bre1_caz_vhch_2
COVID19_Survey,adult_bibplus_phase3,bre1_caz_vhch_3
COVID19_Survey,adult_bibplus_phase3,bre1_caz_vhch_4
COVID19_Survey,adult_bibplus_phase3,bre1_caz_vhch_5
COVID19_Survey,adult_bibplus_phase3,bre1_caz_tx
COVID19_Survey,adult_bibplus_phase3,bre1_caz_tx_grnt
COVID19_Survey,adult_bibplus_phase3,bre1_caz_hlth_1
COVID19_Survey,adult_bibplus_phase3,bre1_caz_hlth_2
COVID19_Survey,adult_bibplus_phase3,bre1_caz_gen
COVID19_Survey,adult_bibplus_phase3,jbsc_main_bre1
COVID19_Survey,adult_bibplus_phase3,jbsc_main_crntly_rev1_bre1
COVID19_Survey,adult_bibplus_phase3,jbsc_main_crntly_oth
COVID19_Survey,adult_bibplus_phase3,jbsc_main_hmwfh_bre1
COVID19_Survey,adult_bibplus_phase3,jbsc_covid_bre1___1
COVID19_Survey,adult_bibplus_phase3,jbsc_covid_bre1___2
COVID19_Survey,adult_bibplus_phase3,jbsc_covid_bre1___3
COVID19_Survey,adult_bibplus_phase3,jbsc_covid_bre1___4
COVID19_Survey,adult_bibplus_phase3,jbsc_main_wry_1_bre1
COVID19_Survey,adult_bibplus_phase3,jbsc_main_wry_2_bre1
COVID19_Survey,adult_bibplus_phase3,jbsc_main_wry_3_bre1
COVID19_Survey,adult_bibplus_phase3,bre1_main_ear
COVID19_Survey,adult_bibplus_phase3,bre1_main_ear_oth
COVID19_Survey,adult_bibplus_phase3,bre1_hshd_dr_1
COVID19_Survey,adult_bibplus_phase3,bre1_hshd_dr_2
COVID19_Survey,adult_bibplus_phase3,bre1_hshd_dr_3
COVID19_Survey,adult_bibplus_phase3,bre1_tr_w_1___1
COVID19_Survey,adult_bibplus_phase3,bre1_tr_w_1___2
COVID19_Survey,adult_bibplus_phase3,bre1_tr_w_1___3
COVID19_Survey,adult_bibplus_phase3,bre1_tr_w_1___4
COVID19_Survey,adult_bibplus_phase3,bre1_tr_w_1___5
COVID19_Survey,adult_bibplus_phase3,bre1_tr_w_1___6
COVID19_Survey,adult_bibplus_phase3,bre1_tr_w_1___7
COVID19_Survey,adult_bibplus_phase3,bre1_tr_w_1___8
COVID19_Survey,adult_bibplus_phase3,bre1_tr_w_1___9
COVID19_Survey,adult_bibplus_phase3,bre1_tr_w_1___10
COVID19_Survey,adult_bibplus_phase3,bre1_tr_w_1_oth
COVID19_Survey,adult_bibplus_phase3,bre1_tr_w_2___1
COVID19_Survey,adult_bibplus_phase3,bre1_tr_w_2___2
COVID19_Survey,adult_bibplus_phase3,bre1_tr_w_2___3
COVID19_Survey,adult_bibplus_phase3,bre1_tr_w_2___4
COVID19_Survey,adult_bibplus_phase3,bre1_tr_w_2___5
COVID19_Survey,adult_bibplus_phase3,bre1_tr_w_2___6
COVID19_Survey,adult_bibplus_phase3,bre1_tr_w_2___7
COVID19_Survey,adult_bibplus_phase3,bre1_tr_w_2___8
COVID19_Survey,adult_bibplus_phase3,bre1_tr_w_2___9
COVID19_Survey,adult_bibplus_phase3,bre1_tr_w_2___10
COVID19_Survey,adult_bibplus_phase3,bre1_tr_w_2_oth
COVID19_Survey,adult_bibplus_phase3,bre1_tr_sch_1___1
COVID19_Survey,adult_bibplus_phase3,bre1_tr_sch_1___2
COVID19_Survey,adult_bibplus_phase3,bre1_tr_sch_1___3
COVID19_Survey,adult_bibplus_phase3,bre1_tr_sch_1___4
COVID19_Survey,adult_bibplus_phase3,bre1_tr_sch_1___5
COVID19_Survey,adult_bibplus_phase3,bre1_tr_sch_1___6
COVID19_Survey,adult_bibplus_phase3,bre1_tr_sch_1___7
COVID19_Survey,adult_bibplus_phase3,bre1_tr_sch_1___8
COVID19_Survey,adult_bibplus_phase3,bre1_tr_sch_1___9
COVID19_Survey,adult_bibplus_phase3,bre1_tr_sch_1___10
COVID19_Survey,adult_bibplus_phase3,bre1_tr_sch_1_oth
COVID19_Survey,adult_bibplus_phase3,bre1_tr_sch_2___1
COVID19_Survey,adult_bibplus_phase3,bre1_tr_sch_2___2
COVID19_Survey,adult_bibplus_phase3,bre1_tr_sch_2___3
COVID19_Survey,adult_bibplus_phase3,bre1_tr_sch_2___4
COVID19_Survey,adult_bibplus_phase3,bre1_tr_sch_2___5
COVID19_Survey,adult_bibplus_phase3,bre1_tr_sch_2___6
COVID19_Survey,adult_bibplus_phase3,bre1_tr_sch_2___7
COVID19_Survey,adult_bibplus_phase3,bre1_tr_sch_2___8
COVID19_Survey,adult_bibplus_phase3,bre1_tr_sch_2___9
COVID19_Survey,adult_bibplus_phase3,bre1_tr_sch_2___10
COVID19_Survey,adult_bibplus_phase3,bre1_tr_sch_2_oth
COVID19_Survey,adult_bibplus_phase3,bre1_tr_gen_1___1
COVID19_Survey,adult_bibplus_phase3,bre1_tr_gen_1___2
COVID19_Survey,adult_bibplus_phase3,bre1_tr_gen_1___3
COVID19_Survey,adult_bibplus_phase3,bre1_tr_gen_1___4
COVID19_Survey,adult_bibplus_phase3,bre1_tr_gen_1___5
COVID19_Survey,adult_bibplus_phase3,bre1_tr_gen_1___6
COVID19_Survey,adult_bibplus_phase3,bre1_tr_gen_1___7
COVID19_Survey,adult_bibplus_phase3,bre1_tr_gen_1___8
COVID19_Survey,adult_bibplus_phase3,bre1_tr_gen_1___9
COVID19_Survey,adult_bibplus_phase3,bre1_tr_gen_1_oth
COVID19_Survey,adult_bibplus_phase3,bre1_tr_gen_2___1
COVID19_Survey,adult_bibplus_phase3,bre1_tr_gen_2___2
COVID19_Survey,adult_bibplus_phase3,bre1_tr_gen_2___3
COVID19_Survey,adult_bibplus_phase3,bre1_tr_gen_2___4
COVID19_Survey,adult_bibplus_phase3,bre1_tr_gen_2___5
COVID19_Survey,adult_bibplus_phase3,bre1_tr_gen_2___6
COVID19_Survey,adult_bibplus_phase3,bre1_tr_gen_2___7
COVID19_Survey,adult_bibplus_phase3,bre1_tr_gen_2___8
COVID19_Survey,adult_bibplus_phase3,bre1_tr_gen_2___9
COVID19_Survey,adult_bibplus_phase3,bre1_tr_gen_2_oth
COVID19_Survey,adult_bibplus_phase3,bre1_tr_cov
COVID19_Survey,adult_bibplus_phase3,bre1_tr_hcos_1
COVID19_Survey,adult_bibplus_phase3,bre1_tr_hcos_2
COVID19_Survey,adult_bibplus_phase3,bre1_tr_hcos_3
COVID19_Survey,adult_bibplus_phase3,bre1_tr_hcos_4
COVID19_Survey,adult_bibplus_phase3,bre1_tr_car
COVID19_Survey,adult_bibplus_phase3,hhe_ddntlast_bre1
COVID19_Survey,adult_bibplus_phase3,hhe_balancd_bre1
COVID19_Survey,adult_bibplus_phase3,hhe_skip_bre1
COVID19_Survey,adult_bibplus_phase3,hhe_skipoftn_rev1_bre1
COVID19_Survey,adult_bibplus_phase3,hhe_eatless_bre1
COVID19_Survey,adult_bibplus_phase3,hhe_food_dsc_bre1
COVID19_Survey,adult_bibplus_phase3,hhe_fd_bank_bre1___0
COVID19_Survey,adult_bibplus_phase3,hhe_fd_bank_bre1___1
COVID19_Survey,adult_bibplus_phase3,hhe_fd_bank_bre1___2
COVID19_Survey,adult_bibplus_phase3,hhe_fd_bank_bre1___3
