variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
COVID19_Survey.child_phase2_covid.id,COVID19_Survey.child_phase2_covid,COVID19_Survey,child_phase2_covid,id,,text,,,633,633
COVID19_Survey.child_phase2_covid.Cohort,COVID19_Survey.child_phase2_covid,COVID19_Survey,child_phase2_covid,Cohort,Cohort,text,,administration_cv19,633,633
COVID19_Survey.child_phase2_covid.Gender,COVID19_Survey.child_phase2_covid,COVID19_Survey,child_phase2_covid,Gender,Child's gender,categorical,[1 Male] [2 Female],demographics_cv19,620,620
COVID19_Survey.child_phase2_covid.date_est,COVID19_Survey.child_phase2_covid,COVID19_Survey,child_phase2_covid,date_est,Estimated date of survey completion,date,,administration_cv19,633,633
COVID19_Survey.child_phase2_covid.age_months_est,COVID19_Survey.child_phase2_covid,COVID19_Survey,child_phase2_covid,age_months_est,Estimated age in months at survey completion,integer,,demographics_cv19,633,633
COVID19_Survey.child_phase2_covid.age_years_est,COVID19_Survey.child_phase2_covid,COVID19_Survey,child_phase2_covid,age_years_est,Estimated age in years at survey completion,integer,,demographics_cv19,633,633
COVID19_Survey.child_phase2_covid.ethnicity_mother,COVID19_Survey.child_phase2_covid,COVID19_Survey,child_phase2_covid,ethnicity_mother,Ethnic group (mother),categorical,[1 White British] [2 Pakistani] [3 Other],demographics_cv19,618,618
COVID19_Survey.child_phase2_covid.ward,COVID19_Survey.child_phase2_covid,COVID19_Survey,child_phase2_covid,ward,Ward as at March 2020,text,,demographics_cv19,633,633
COVID19_Survey.child_phase2_covid.imdrank,COVID19_Survey.child_phase2_covid,COVID19_Survey,child_phase2_covid,imdrank,IMD 2019 National Rank (1 = most deprived),integer,,employment_and_income_cv19,633,633
COVID19_Survey.child_phase2_covid.imddecile,COVID19_Survey.child_phase2_covid,COVID19_Survey,child_phase2_covid,imddecile,IMD 2019 National Decile (1 = most deprived),integer,,employment_and_income_cv19,633,633
COVID19_Survey.child_phase2_covid.edcont_ethnic_origin,COVID19_Survey.child_phase2_covid,COVID19_Survey,child_phase2_covid,edcont_ethnic_origin,Child Ethnic Origin Code,categorical,[1 Bangladeshi] [2 Indian] [3 Pakistani] [4 Chinese/ Other Asian] [5 African] [6 Black Carribbean/ Black Other] [7 Mixed] [8 White British] [9 White Other] [10 Other Ethnic Groups],demographics_cv19,600,600
COVID19_Survey.child_phase2_covid.edcont_eal,COVID19_Survey.child_phase2_covid,COVID19_Survey,child_phase2_covid,edcont_eal,Whether English is an adittional language,categorical,[1 No] [2 Unknown] [3 Yes],demographics_cv19,601,601
COVID19_Survey.child_phase2_covid.edcont_fsm,COVID19_Survey.child_phase2_covid,COVID19_Survey,child_phase2_covid,edcont_fsm,Whether child in receipt of freee school meals,categorical,[1 No] [2 Yes],employment_and_income_cv19,604,604
COVID19_Survey.child_phase2_covid.edcont_sen,COVID19_Survey.child_phase2_covid,COVID19_Survey,child_phase2_covid,edcont_sen,Special educational needs catagory,categorical,[1 EHCP] [2 Not SEN] [3 SEN Support] [4 School Action] [5 School Action Plus] [6 Statement],education_cv19,599,599
COVID19_Survey.child_phase2_covid.chys_7timesleep_c19c2,COVID19_Survey.child_phase2_covid,COVID19_Survey,child_phase2_covid,chys_7timesleep_c19c2,Q1A) In the last 7 days what time have you normally fallen asleep?,text,,health_behaviour_cv19,633,633
COVID19_Survey.child_phase2_covid.chys_7wknp_c19c2,COVID19_Survey.child_phase2_covid,COVID19_Survey,child_phase2_covid,chys_7wknp_c19c2,Q1B) In the last 7 days what time have you normaly woken up?,text,,health_behaviour_cv19,633,633
COVID19_Survey.child_phase2_covid.chfl_7physactwkdy_c19c2,COVID19_Survey.child_phase2_covid,COVID19_Survey,child_phase2_covid,chfl_7physactwkdy_c19c2,"Q2A) In the last 7 days, how much physical activity did you do on a weekday?",categorical,[1 No activity (0 minutes)] [2 Small amount of activity (1 to 30 minutes)] [3 Small to Moderate amount activity (31 to 60 minutes)] [4 Moderate to Large amount of activity (1 to 2 hours)] [5 Large amount of activity (more than 2 hours)],health_behaviour_cv19,624,624
COVID19_Survey.child_phase2_covid.chfl_7physactwknd_c19c2,COVID19_Survey.child_phase2_covid,COVID19_Survey,child_phase2_covid,chfl_7physactwknd_c19c2,"Q2B) In the last 7 days, how much physical activity did you do a weekend",categorical,[1 No activity (0 minutes)] [2 Small amount of activity (1 to 30 minutes)] [3 Small to Moderate amount activity (31 to 60 minutes)] [4 Moderate to Large amount of activity (1 to 2 hours)] [5 Large amount of activity (more than 2 hours)],health_behaviour_cv19,625,625
