project,table,variable
COVID19_Survey,child_phase3_covid,id
COVID19_Survey,child_phase3_covid,date_est
COVID19_Survey,child_phase3_covid,age_months_est
COVID19_Survey,child_phase3_covid,age_years_est
COVID19_Survey,child_phase3_covid,chys_7timesleep_c19c2
COVID19_Survey,child_phase3_covid,chys_7wknp_c19c2
COVID19_Survey,child_phase3_covid,chfl_7physactwkdy_c19c2
COVID19_Survey,child_phase3_covid,chfl_7physactwknd_c19c2
COVID19_Survey,child_phase3_covid,c19c2_chfl_acttrvl_mor
COVID19_Survey,child_phase3_covid,c19c2_chfl_brktme_act
COVID19_Survey,child_phase3_covid,c19c2_chfl_lchtme_act
COVID19_Survey,child_phase3_covid,c19c2_chfl_acttrvl_aft
COVID19_Survey,child_phase3_covid,c19c2_chfl_actsprt_aftscl
COVID19_Survey,child_phase3_covid,c19c2_chfl_actsprt_eve
COVID19_Survey,child_phase3_covid,c19c2_chfl_actsprt_wknd
COVID19_Survey,child_phase3_covid,chtss_7timesitly_c19c2
COVID19_Survey,child_phase3_covid,chtss_7timesitlyactt
COVID19_Survey,child_phase3_covid,chtss_7timesitlyactv
COVID19_Survey,child_phase3_covid,chtss_7timesitlyactc
COVID19_Survey,child_phase3_covid,chtss_7timesitlyactm
COVID19_Survey,child_phase3_covid,chtss_7timesitlyacts
COVID19_Survey,child_phase3_covid,c19c2_yhw_hdache
COVID19_Survey,child_phase3_covid,c19c2_yhw_sache
COVID19_Survey,child_phase3_covid,c19c2_yhw_bkache
COVID19_Survey,child_phase3_covid,c19c2_yhw_low
COVID19_Survey,child_phase3_covid,c19c2_yhw_irri
COVID19_Survey,child_phase3_covid,c19c2_yhw_nerv
COVID19_Survey,child_phase3_covid,c19c2_yhw_difslp
COVID19_Survey,child_phase3_covid,c19c2_yhw_diz
COVID19_Survey,child_phase3_covid,c19c2_yhw_gnrlhth
COVID19_Survey,child_phase3_covid,yhw_flhppy_c19c2
COVID19_Survey,child_phase3_covid,yhw_flsad_c19c2
COVID19_Survey,child_phase3_covid,chch_frnds_c19c2
COVID19_Survey,child_phase3_covid,chch_bstfrnds_c19c2
COVID19_Survey,child_phase3_covid,chch_lftout_c19c2
COVID19_Survey,child_phase3_covid,c19c2_chch_mnothrs_rev1
COVID19_Survey,child_phase3_covid,chwk_2cybrblyng_c19c2
COVID19_Survey,child_phase3_covid,choftnhppn_bly_c19c2
COVID19_Survey,child_phase3_covid,chwk_2cybrblyngu_c19c2
COVID19_Survey,child_phase3_covid,chfm_fun_c19c2
COVID19_Survey,child_phase3_covid,chfm_gtalong_c19c2
COVID19_Survey,child_phase3_covid,chfm_siblngs_c19c2
COVID19_Survey,child_phase3_covid,chwd_dudo_c19c2
COVID19_Survey,child_phase3_covid,chwd_dudo_c19c2___7
COVID19_Survey,child_phase3_covid,chwd_hard_c19c2
COVID19_Survey,child_phase3_covid,chwr_lstfd_c19c2
COVID19_Survey,child_phase3_covid,chwr_lsteat_c19c2
COVID19_Survey,child_phase3_covid,chwr_lstprtsfood_c19c2
COVID19_Survey,child_phase3_covid,chwr_lsthngry_c19c2
COVID19_Survey,child_phase3_covid,chwr_lsteatlt_c19c2
COVID19_Survey,child_phase3_covid,chwr_lstmny_c19c2
COVID19_Survey,child_phase3_covid,ch_wrynow_1_c19c2
COVID19_Survey,child_phase3_covid,ch_wrynow_2_c19c2
COVID19_Survey,child_phase3_covid,ch_wrynow_3_c19c2
COVID19_Survey,child_phase3_covid,ch_easier_1_c19c2
COVID19_Survey,child_phase3_covid,ch_easier_2_c19c2
COVID19_Survey,child_phase3_covid,ch_easier_3_c19c2
COVID19_Survey,child_phase3_covid,end_data_entry_notes
COVID19_Survey,child_phase3_covid,end_submit
COVID19_Survey,child_phase3_covid,child_complete
