variable_id,table_id,project,table,variable,label,value_type,categories,topic,n_complete,n_entities_complete
COVID19_Survey.adult_phase1.CohortPersonID,COVID19_Survey.adult_phase1,COVID19_Survey,adult_phase1,CohortPersonID,Survey Identifier,text,,,2144,2144
COVID19_Survey.adult_phase1.Cohort,COVID19_Survey.adult_phase1,COVID19_Survey,adult_phase1,Cohort,Cohort,categorical,[1 BiB] [2 Better Start],administration_cv19,2144,2144
COVID19_Survey.adult_phase1.BiBPersonID,COVID19_Survey.adult_phase1,COVID19_Survey,adult_phase1,BiBPersonID,BiB participant study ID,text,,administration_cv19,2144,2144
COVID19_Survey.adult_phase1.BiBBSPersonID,COVID19_Survey.adult_phase1,COVID19_Survey,adult_phase1,BiBBSPersonID,,text,,administration_cv19,2144,2144
COVID19_Survey.adult_phase1.BiBParticipantType,COVID19_Survey.adult_phase1,COVID19_Survey,adult_phase1,BiBParticipantType,BiB Participant Type,text,,administration_cv19,2144,2144
COVID19_Survey.adult_phase1.Date,COVID19_Survey.adult_phase1,COVID19_Survey,adult_phase1,Date,Date of COVID-19 Adult Wave 1 survey,date,,administration_cv19,2144,2144
COVID19_Survey.adult_phase1.age_months,COVID19_Survey.adult_phase1,COVID19_Survey,adult_phase1,age_months,Age in months,integer,,demographics_cv19,1570,1570
COVID19_Survey.adult_phase1.age_years,COVID19_Survey.adult_phase1,COVID19_Survey,adult_phase1,age_years,Age in years,integer,,demographics_cv19,1570,1570
COVID19_Survey.adult_phase1.ethnicity,COVID19_Survey.adult_phase1,COVID19_Survey,adult_phase1,ethnicity,Ethnic group combined from different cohort data sources,categorical,[1 White British] [2 Pakistani] [3 Other],demographics_cv19,1973,1973
COVID19_Survey.adult_phase1.country,COVID19_Survey.adult_phase1,COVID19_Survey,adult_phase1,country,Country,text,,demographics_cv19,2144,2144
COVID19_Survey.adult_phase1.region,COVID19_Survey.adult_phase1,COVID19_Survey,adult_phase1,region,Region,text,,demographics_cv19,2144,2144
COVID19_Survey.adult_phase1.ladistrictcode2019,COVID19_Survey.adult_phase1,COVID19_Survey,adult_phase1,ladistrictcode2019,Local Authority District code (2019),text,,demographics_cv19,2144,2144
COVID19_Survey.adult_phase1.ladistrictname2019,COVID19_Survey.adult_phase1,COVID19_Survey,adult_phase1,ladistrictname2019,Local Authority District name (2019),text,,demographics_cv19,2144,2144
